		12.5fmol_C1	12.5fmol_C10	12.5fmol_C2	12.5fmol_C3	12.5fmol_C4	12.5fmol_C5	12.5fmol_C8	12.5fmol_C9	12.5fmol_Ro	25fmol_semtumor_S09	25fmol_semtumor_S36	25fmol_semtumor_S40	25fmol_semtumor_S49	25fmol_semtumor_S55	25fmol_semtumor_S57	25fmol_semtumor_S61	25fmol_semtumor_S64	25fmol_semtumor_S68	25fmol_semtumor_T16	50fmol_T1T2_S17	50fmol_T1T2_S57	50fmol_T1T2_S77	50fmol_T1T2_S78	50fmol_T1T2_S79	50fmol_T1T2_T12	50fmol_T1T2_T20	50fmol_T1T2_T22	50fmol_T1T2_T23
		12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol
P00330_ADH1	P00330_ADH1	27.64286	26.94257	27.21178	26.51147	26.74214	28.15132	27.16997	27.45591	25.98553	29.43968	28.93061	28.28251	28.02226	28.18914	29.4544	28.77533	28.68706	27.46754	28.54668	29.89729	29.18987	29.61393	30.22101	30.28074	30.94077	30.61395	29.87291	29.72109
P00489_GPB	P00489_GPB	28.37638	27.25521	27.77643	26.92762	27.68392	29.11235	27.76958	28.16524	27.56326	29.70484	28.83503	28.76338	28.26137	28.70491	29.81075	29.2541	29.32002	27.90644	28.83732	29.78958	29.19084	29.5549	30.44904	30.42702	31.13259	30.75947	29.99645	29.87395
P02769_BSA	P02769_BSA	28.57409	26.90896	27.83792	25.69331	26.90793	28.07755	27.44095	27.50074	26.49899	29.32907	28.73538	28.16164	27.50347	27.60067	29.03005	28.11912	28.50294	27.26329	28.06825	29.33426	28.54399	29.19667	29.85442	29.68944	30.74383	30.22688	29.81546	29.58604
P00924_ENO1	P00924_ENO1	28.03391	27.15846	28.03449	26.87455	27.09628	28.97897	26.86997	28.09914	27.13497	28.95494	27.91957	28.43678	27.60215	27.96747	29.26676	28.24744	28.82077	27.44711	28.55921	28.99518	28.31445	28.38035	29.51228	29.19737	30.54858	30.05349	29.01172	29.44902
P01036_CST4	P01036_CST4	31.44756	29.17662	32.92541	31.94789	31.52468	32.08372	31.52122	32.4501	32.29096	28.15393	0	21.03905	26.64733	0	28.47154	31.21558	31.69971	28.50726	28.94266	28.54422	28.69992	32.17706	31.46772	30.19589	30.77698	30.93227	30.19108	28.55175
Q9NZL9_MAT2B	Q9NZL9_MAT2B	27.13516	26.62422	27.12228	26.37181	26.72143	27.21632	26.52782	26.83244	26.9257	0	26.8962	26.01389	25.67295	27.04635	26.19729	25.76797	26.78344	26.43411	26.12159	25.67484	26.24706	25.87514	25.26703	26.12877	25.05507	26.1842	25.47602	24.17889
P02787_TF	P02787_TF	27.94207	27.67633	26.66546	28.03554	28.36536	27.66851	29.06337	29.1726	28.96983	31.34197	31.46636	30.27531	29.12886	30.21153	30.31019	29.63355	28.19601	29.197	30.56347	28.94604	29.84172	29.68291	28.62519	28.09456	29.91812	29.31862	29.1938	31.0803
Q99879_HIST1H2BM	Q99879_HIST1H2BM	25.1882	26.74445	26.40368	25.90327	27.43889	25.29411	26.29088	26.56352	26.65349	22.77678	23.01711	23.6634	24.65414	24.59167	23.64768	21.52411	25.02433	26.08499	24.50682	25.60346	24.30549	24.09563	22.13119	24.61874	20.56486	26.6245	25.60382	0
P01023_A2M	P01023_A2M	26.97727	27.26705	25.55508	25.68992	26.96091	25.62101	29.06792	26.29856	26.50503	31.26573	31.43659	28.78818	29.61126	30.39948	28.43102	27.95333	27.33211	27.69962	28.91519	30.17474	28.36653	28.78179	27.81958	26.9428	28.78672	28.13888	29.63689	29.52971
P01037_CST1	P01037_CST1	29.33211	28.13399	31.67645	31.26841	30.88351	31.07482	29.5495	31.08727	29.4862	27.26982	0	0	25.30973	0	27.09275	30.2867	30.81772	26.91969	27.66966	27.74291	27.02147	29.99375	30.44658	28.80082	28.82793	29.79911	28.40434	27.39877
P00738_HP	P00738_HP	28.00977	28.82848	26.36256	27.33108	27.09476	26.23655	29.26172	28.48101	27.90024	29.94712	31.32475	30.46344	29.69126	29.7502	29.20515	29.38317	28.79185	29.24654	31.31889	31.62888	29.64552	30.53018	28.50733	27.00806	30.29154	28.85784	27.7213	29.611
P09228_CST2	P09228_CST2	27.12218	28.07352	29.63289	28.22564	28.97858	27.73344	26.28685	28.65414	26.58935	25.4567	0	0	21.67288	0	25.48379	26.1764	29.16749	23.99731	21.22535	24.47271	25.35548	27.96631	28.104	25.13434	28.0238	25.88339	26.99291	22.73287
