"X","X.1","out$p.value"
"A0A087WZH9","A0A087WZH9",6.375146503775e-06
"P07195_LDHB","P07195_LDHB",0.000176300924197334
"REV__Q8NDM7","REV__Q8NDM7",0.00020255165937199
"P09960_LTA4H","P09960_LTA4H",0.000279944165315955
"Q9UBX7_3_KLK11","Q9UBX7_3_KLK11",0.00139775044538876
"P04004_VTN","P04004_VTN",0.00326622742085931
"Q9NQ38_3_SPINK5","Q9NQ38_3_SPINK5",0.0035759457241057
"CON__P35527_KRT9","CON__P35527_KRT9",0.0043873475452786
"P01036_CST4","P01036_CST4",0.00465775774996271
"P01037_CST1","P01037_CST1",0.00536268855353758
"E5RHG6_TBCA","E5RHG6_TBCA",0.00568263836621393
"CON__P19013","CON__P19013",0.00583235720408672
"P12429_ANXA3","P12429_ANXA3",0.00597249877074852
"P05089_2_ARG1","P05089_2_ARG1",0.00785547431061327
"P04438","P04438",0.00884510013745568
"P14550_AKR1A1","P14550_AKR1A1",0.0108670677775599
"P06331","P06331",0.0115167275819916
"P01598","P01598",0.0131216103987692
"P40925_3_MDH1","P40925_3_MDH1",0.0136980624260061
"Q14508_WFDC2","Q14508_WFDC2",0.0180730714356727
"P05386_RPLP1","P05386_RPLP1",0.0203892929183337
"Q8TD19_NEK9","Q8TD19_NEK9",0.0224982364789037
"P11413_2_G6PD","P11413_2_G6PD",0.0225376806324949
"P02760_AMBP","P02760_AMBP",0.0237772381782515
"P61586_RHOA","P61586_RHOA",0.0247798255515595
"P09228_CST2","P09228_CST2",0.0251942980465459
"P07858_CTSB","P07858_CTSB",0.0257814694496151
"P16070_CD44","P16070_CD44",0.0269165560605947
"REV__P04280","REV__P04280",0.0275077141115394
"A0A0A0MS15","A0A0A0MS15",0.0320783681280085
"P01042_2_KNG1","P01042_2_KNG1",0.033424985629931
"P35321_SPRR1A","P35321_SPRR1A",0.037316425683441
"P18206_VCL","P18206_VCL",0.0413502401191187
"P04280_PRB1","P04280_PRB1",0.044913676181689
"A0A087WV23_SH3BGRL3","A0A087WV23_SH3BGRL3",0.0450825004131504
"P00491_PNP","P00491_PNP",0.0458895011468765
"Q9UBC9_SPRR3","Q9UBC9_SPRR3",0.0462310978894074
