"","thresholds","double_cross_error","N"
"1",0,0.50625,297
"2",0,0.58125,297
"3",0,0.479166666666667,297
"4",0,0.53125,297
"5",0,0.5625,297
"6",0,0.572916666666667,297
"7",0,0.5625,297
"8",0,0.541666666666667,297
"9",0.0193145986823639,0.5875,297
"10",0,0.53125,297
"11",0,0.525,297
"12",0,0.525,297
"13",0.0392719359868515,0.61875,297
"14",0.132425153458295,0.49375,294
"15",0.159361322326935,0.6,290
"16",0,0.59375,297
"17",0,0.5,297
"18",0,0.54375,297
"19",0,0.525,297
"20",0,0.53125,297
"21",0,0.53125,297
"22",0,0.50625,297
"23",0,0.5875,297
"24",0,0.5125,297
"25",0.108843897645065,0.525,296
"26",0.0240617094306611,0.5125,297
"27",0.391456807732132,0.552083333333333,218
"28",0,0.552083333333333,297
"29",0,0.5625,297
"30",0,0.525,297
"31",0,0.5625,297
"32",0,0.58125,297
"33",0.066001128246998,0.55625,297
"34",0.169811266548048,0.59375,289
"35",0,0.53125,297
"36",0,0.5,297
"37",0,0.54375,297
"38",0,0.55625,297
"39",0,0.53125,297
"40",0,0.525,297
"41",0,0.56875,297
"42",0,0.50625,297
"43",0.191827681920975,0.541666666666667,281
"44",0,0.6125,297
"45",0,0.525,297
"46",0,0.58125,297
"47",0,0.5625,297
"48",0,0.61875,297
"49",0,0.54375,297
"50",0,0.5625,297
"51",0,0.60625,297
"52",0,0.54375,297
"53",0,0.55625,297
"54",0.0336064859475572,0.53125,297
"55",0,0.58125,297
"56",0,0.59375,297
"57",0,0.5875,297
"58",0,0.5,297
"59",0,0.5125,297
"60",0,0.6625,297
"61",0,0.5875,297
"62",0,0.53125,297
"63",0,0.525,297
"64",0,0.51875,297
"65",0.0507783570939066,0.5625,297
"66",0.570214168697634,0.50625,162
"67",0,0.489583333333333,297
"68",0,0.61875,297
"69",0,0.49375,297
"70",0,0.525,297
"71",0,0.49375,297
"72",0,0.6,297
"73",0,0.50625,297
"74",0,0.55,297
"75",0.345247498670849,0.55625,229
"76",0,0.5625,297
"77",0,0.5625,297
"78",0,0.541666666666667,297
"79",0,0.5,297
"80",0,0.56875,297
"81",0,0.525,297
"82",0,0.6375,297
"83",0,0.5375,297
"84",0,0.520833333333333,297
"85",0,0.54375,297
"86",0.203193518910213,0.59375,273
"87",0,0.58125,297
"88",0,0.53125,297
"89",0,0.63125,297
"90",0.473863050368206,0.55625,192
"91",0.758483439511669,0.541666666666667,105
"92",0,0.56875,297
"93",0,0.51875,297
"94",0,0.5375,297
"95",0,0.53125,297
"96",0,0.55,297
"97",0,0.54375,297
"98",0,0.5625,297
"99",0,0.53125,297
"100",0,0.5,297
