"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"1","A0A087WZH9","A0A087WZH9","0.2786","0.1892","0.2355","-0.7676"
"2","P09960_LTA4H","P09960_LTA4H","0.1904","0.1875","0.2316","-0.6623"
"3","REV__Q8NDM7","REV__Q8NDM7","0.1518","-0.6126","0.2397","0.1722"
"4","P04438","P04438","-0.1648","-0.2344","-0.1123","0.5461"
"5","P07195_LDHB","P07195_LDHB","-0.2331","0.384","0.3721","-0.5405"
"6","CON__P19013","CON__P19013","0.1643","0.503","-0.3415","-0.3036"
"7","P04004_VTN","P04004_VTN","0.3023","-0.0441","0.1763","-0.4943"
"8","Q9NQ38_3_SPINK5","Q9NQ38_3_SPINK5","-0.4908","0.3698","0.078","0.0946"
"9","P00491_PNP","P00491_PNP","0.1367","0.147","0.1273","-0.444"
"10","P18206_VCL","P18206_VCL","0.2356","0.1664","0.0096","-0.4423"
"11","Q9UBX7_3_KLK11","Q9UBX7_3_KLK11","-0.4396","0.3878","0.2272","-0.149"
"12","P11413_2_G6PD","P11413_2_G6PD","0.284","0.046","0.0582","-0.431"
"13","E5RHG6_TBCA","E5RHG6_TBCA","-0.4273","-0.0137","0.2489","0.2144"
"14","Q14508_WFDC2","Q14508_WFDC2","-0.4206","0.156","0.1393","0.1605"
"15","P61586_RHOA","P61586_RHOA","0.0674","0.0406","0.2685","-0.4184"
"16","P05089_2_ARG1","P05089_2_ARG1","-0.1194","0.2441","0.2741","-0.4181"
"17","Q9UG63_2_ABCF2","Q9UG63_2_ABCF2","0.4127","-0.223","-0.242","0.0309"
"18","P01042_2_KNG1","P01042_2_KNG1","0.2252","-0.0916","0.2223","-0.4118"
"19","P06331","P06331","-0.4093","0.215","0.208","0.0115"
"20","P01036_CST4","P01036_CST4","-0.2366","0.4073","-0.4077","0.3176"
"21","CON__P35527_KRT9","CON__P35527_KRT9","0.2222","-0.1762","0.2969","-0.4077"
"22","P01037_CST1","P01037_CST1","-0.231","0.407","-0.3923","0.2942"
"23","P05386_RPLP1","P05386_RPLP1","0.1405","0.4053","-0.3337","-0.188"
"24","Q8TD19_NEK9","Q8TD19_NEK9","0.2953","-0.0579","-0.4051","0.1814"
"25","P07858_CTSB","P07858_CTSB","-0.4012","0.1509","0.1385","0.1447"
"26","P09228_CST2","P09228_CST2","-0.1729","0.3756","-0.3951","0.2634"
"27","Q9UBC9_SPRR3","Q9UBC9_SPRR3","0.1384","0.0901","-0.393","0.1963"
"28","P12429_ANXA3","P12429_ANXA3","0.357","0.2785","-0.3878","-0.2439"
"29","A0A0A0MS15","A0A0A0MS15","-0.3844","0.1279","0.1584","0.1264"
"30","P06737_PYGL","P06737_PYGL","0.0824","0.229","0.0544","-0.3829"
"31","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","0.1218","-0.3776","0.1767","0.0417"
"32","P02760_AMBP","P02760_AMBP","0.1225","-0.3678","0.3079","-0.1164"
"33","P14550_AKR1A1","P14550_AKR1A1","0.3071","-0.0457","-0.3672","0.1132"
"34","A0A087WV23_SH3BGRL3","A0A087WV23_SH3BGRL3","-0.3648","0.1768","0.1223","0.0959"
"35","Q96KP4_CNDP2","Q96KP4_CNDP2","0.0311","0.1618","0.1447","-0.3595"
"36","P00450_CP","P00450_CP","0.1609","-0.3542","0.1209","0.0372"
"37","P35321_SPRR1A","P35321_SPRR1A","0.0326","0.0275","-0.3482","0.3275"
"38","P04280_PRB1","P04280_PRB1","-0.2949","-0.1398","0.1104","0.3474"
"39","O75594_PGLYRP1","O75594_PGLYRP1","-0.0202","0.1452","0.1975","-0.3446"
"40","Q9UIV8_SERPINB13","Q9UIV8_SERPINB13","-0.3423","0.1559","0.0175","0.2096"
"41","P52907_CAPZA1","P52907_CAPZA1","0.1194","0.0901","0.1048","-0.3423"
"42","B5MDF5_RAN","B5MDF5_RAN","0.1093","0.1039","0.101","-0.3405"
"43","P37802_2_TAGLN2","P37802_2_TAGLN2","-0.0436","0.1936","0.1735","-0.3398"
"44","Q99879_HIST1H2BM","Q99879_HIST1H2BM","0.1079","0.231","-0.0136","-0.3371"
"45","REV__P04280","REV__P04280","-0.2349","0.3369","0.1988","-0.2963"
"46","V9HW75_NUCB2","V9HW75_NUCB2","-0.2225","0.3358","-0.0356","-0.0454"
"47","P00330_ADH1","P00330_ADH1","0.2015","-0.3347","-0.0809","0.199"
"48","P16070_CD44","P16070_CD44","0.3343","0.1274","-0.1992","-0.2794"
"49","P01622","P01622","-0.3331","0.0554","0.2496","0.0386"
"50","P40925_3_MDH1","P40925_3_MDH1","-0.3329","0.2643","-0.1152","0.2399"
"51","P01598","P01598","0.2984","0.1962","-0.3327","-0.1577"
"52","P17174_GOT1","P17174_GOT1","-0.3027","0.3266","0.0991","-0.0976"
"53","P28325_CST5","P28325_CST5","-0.1141","0.1398","-0.3002","0.3264"
"54","A0A024R6X1_CES2","A0A024R6X1_CES2","-0.1237","0.326","-0.2533","0.0981"
"55","P21333_FLNA","P21333_FLNA","0.3241","-0.1236","-0.0736","-0.1582"
"56","P04217_A1BG","P04217_A1BG","0.083","-0.3205","0.1457","0.0633"
"57","P18669_PGAM1","P18669_PGAM1","0.0928","0.1069","0.0952","-0.3184"
"58","B7Z6Z4_MYL6","B7Z6Z4_MYL6","0.1348","0.1644","4e-04","-0.3165"
"59","Q96DA0_ZG16B","Q96DA0_ZG16B","0.2891","0.1302","-0.1266","-0.313"
"60","P04209","P04209","-0.2582","0.053","0.3079","-0.1089"
"61","P19961_AMY2B","P19961_AMY2B","-0.3059","0.1282","0.1733","0.021"
"62","P19823_ITIH2","P19823_ITIH2","-0.0064","-0.1006","0.3054","-0.2358"
"63","Q07654_TFF3","Q07654_TFF3","0.1502","0.218","-0.3039","-0.0451"
"64","P32119_PRDX2","P32119_PRDX2","0.16","0.0839","-0.303","0.077"
"65","P23381_WARS","P23381_WARS","-0.066","0.1724","0.1812","-0.302"
"66","P62805_HIST1H4A","P62805_HIST1H4A","0.139","0.1484","-0.0026","-0.3019"
"67","P07108_6_DBI","P07108_6_DBI","-0.0666","0.2084","0.149","-0.3012"
"68","P30838_ALDH3A1","P30838_ALDH3A1","0.0278","0.3006","-0.1666","-0.1444"
"69","P08571_CD14","P08571_CD14","-0.1141","0.3004","0.0303","-0.2061"
"70","P22532_SPRR2D","P22532_SPRR2D","-0.1995","-0.0331","-0.0378","0.3001"
"71","P08238_HSP90AB1","P08238_HSP90AB1","0.2986","-0.1787","0.0179","-0.1774"
"72","P12814_3_ACTN1","P12814_3_ACTN1","0.1301","0.1054","0.0392","-0.2959"
"73","P68431_HIST1H3A","P68431_HIST1H3A","0.1441","0.1014","0.0271","-0.294"
"74","Q32Q12_NME1_NME2","Q32Q12_NME1_NME2","0.1605","0.0268","0.0723","-0.2887"
"75","Q9UKR3_KLK13","Q9UKR3_KLK13","-0.2883","0.288","-0.049","0.0915"
"76","CON__Q3MHH8","CON__Q3MHH8","-0.2082","0.1651","0.2852","-0.2516"
"77","Q9Y6R7_FCGBP","Q9Y6R7_FCGBP","-0.1785","-0.0699","-0.0107","0.2827"
"78","P03973_SLPI","P03973_SLPI","0.0578","0.1692","-0.2802","0.0811"
"79","P01033_TIMP1","P01033_TIMP1","-0.0564","0.188","0.1378","-0.2796"
"80","P08603_CFH","P08603_CFH","-0.0114","-0.1662","0.2795","-0.1354"
"81","P63313_TMSB10","P63313_TMSB10","-0.2791","0.0817","0.1515","0.0619"
"82","Q8TAX7_MUC7","Q8TAX7_MUC7","0.0725","0.1474","-0.2748","0.0802"
"83","Q14CN2_CLCA4","Q14CN2_CLCA4","0.0623","0.2742","-0.2159","-0.1014"
"84","P13688_CEACAM1","P13688_CEACAM1","0.0555","0.0049","0.1825","-0.2726"
"85","P09382_LGALS1","P09382_LGALS1","0.2725","-0.1631","0.1069","-0.2638"
"86","P11215_2_ITGAM","P11215_2_ITGAM","0.1086","0.1981","-0.2713","-0.015"
"87","P61160_ACTR2","P61160_ACTR2","0.1537","-0.0561","0.1371","-0.2711"
"88","A0A087WT59_TTR","A0A087WT59_TTR","0.0939","-0.2704","0.0685","0.0877"
"89","P30101_PDIA3","P30101_PDIA3","0.1845","0.202","-0.2693","-0.1065"
"90","P31025_LCN1","P31025_LCN1","-0.2679","0.1531","-0.0088","0.1581"
"91","B1AK88_CAPZB","B1AK88_CAPZB","0.0364","-0.0195","0.2174","-0.2662"
"92","P68032_ACTC1","P68032_ACTC1","0.1297","-0.265","0.1072","-0.0016"
"93","P68371_TUBB4B","P68371_TUBB4B","0.2063","0.1415","-0.2645","-0.076"
"94","P01008_SERPINC1","P01008_SERPINC1","-0.0826","-0.0409","0.2643","-0.1634"
"95","P07900_2_HSP90AA1","P07900_2_HSP90AA1","0.0563","0.2091","-0.0078","-0.2638"
"96","P06576_ATP5B","P06576_ATP5B","0.1586","-0.0986","0.1635","-0.2637"
"97","P35579_MYH9","P35579_MYH9","0.2044","0.097","-0.0577","-0.262"
"98","CON__P13646_1","CON__P13646_1","0.0965","0.2527","-0.262","-0.0665"
"99","P0C0S8_HIST1H2AG","P0C0S8_HIST1H2AG","0.0997","0.1061","0.0373","-0.2602"
"100","P00489_PYGM","P00489_PYGM","0.1908","-0.2596","-0.0946","0.1513"
"101","O00391_QSOX1","O00391_QSOX1","0.1971","0.2596","-0.2349","-0.2171"
"102","Q8TDL5_BPIFB1","Q8TDL5_BPIFB1","0.1294","0.2009","-0.0775","-0.2594"
"103","P10412_HIST1H1E","P10412_HIST1H1E","0.0924","-0.2591","0.0546","0.0937"
"104","Q08188_TGM3","Q08188_TGM3","0.1079","0.142","-0.0064","-0.2562"
"105","P80511_S100A12","P80511_S100A12","-0.0455","0.2551","-0.0383","-0.1608"
"106","B7ZKJ8_ITIH4","B7ZKJ8_ITIH4","0.2008","-0.1431","0.1524","-0.2543"
"107","P01767","P01767","-0.0375","0.1294","0.1435","-0.2486"
"108","P55786_NPEPPS","P55786_NPEPPS","0.1954","-0.0076","0.0295","-0.2453"
"109","Q14697_2_GANAB","Q14697_2_GANAB","0.03","0.002","0.1853","-0.2443"
"110","CON__P08779_KRT16","CON__P08779_KRT16","0.1928","0.0971","-0.0641","-0.242"
"111","Q6P5S2_C6orf58","Q6P5S2_C6orf58","0.0061","0.1279","-0.2417","0.1372"
"112","P01023_A2M","P01023_A2M","0.0108","-0.241","0.1481","0.0623"
"113","O43707_ACTN4","O43707_ACTN4","0.2397","-0.0815","-0.0925","-0.0841"
"114","P01593","P01593","-0.1382","-0.1724","0.0804","0.2375"
"115","CON__P02769_ALB","CON__P02769_ALB","0.1653","-0.2363","-0.1017","0.1648"
"116","Q06830_PRDX1","Q06830_PRDX1","0.1234","0.1242","-0.0239","-0.2361"
"117","Q9HD89_RETN","Q9HD89_RETN","0.2292","-0.0365","0.0122","-0.2351"
"118","E7EQR4_EZR","E7EQR4_EZR","0.2205","-0.0249","0.0054","-0.2292"
"119","P07996_THBS1","P07996_THBS1","0.0674","0.228","-0.1285","-0.1593"
"120","CON__P13647_KRT5","CON__P13647_KRT5","0.2044","0.1313","-0.225","-0.1081"
"121","P31949_S100A11","P31949_S100A11","0.1328","-0.2249","0.0355","0.0355"
"122","P04792_HSPB1","P04792_HSPB1","0.1376","0.0794","-0.2233","0.017"
