"","all_N","double_error"
"1",2,0.475
"2",27,0.5375
"3",2,0.48125
"4",2,0.375
"5",1,0.50625
"6",2,0.4875
"7",2,0.35
"8",7,0.4125
"9",4,0.40625
"10",4,0.49375
"11",2,0.31875
"12",2,0.35
"13",3,0.4
"14",3,0.40625
"15",5,0.34375
"16",9,0.5625
"17",2,0.525
"18",2,0.44375
"19",1,0.427083333333333
"20",3,0.5125
"21",3,0.35
"22",3,0.40625
"23",2,0.51875
"24",2,0.29375
"25",12,0.59375
"26",4,0.60625
"27",2,0.33125
"28",2,0.46875
"29",2,0.41875
"30",2,0.45625
"31",2,0.425
"32",8,0.5625
"33",17,0.520833333333333
"34",2,0.354166666666667
"35",3,0.39375
"36",2,0.475
"37",3,0.3625
"38",4,0.40625
"39",3,0.36875
"40",4,0.46875
"41",4,0.45
"42",4,0.40625
"43",2,0.44375
"44",16,0.416666666666667
"45",3,0.48125
"46",1,0.475
"47",2,0.5875
"48",1,0.4625
"49",3,0.4625
"50",1,0.4125
"51",3,0.5625
"52",2,0.45
"53",12,0.3
"54",2,0.479166666666667
"55",3,0.55
"56",3,0.45
"57",3,0.3625
"58",2,0.36875
"59",3,0.46875
"60",3,0.49375
"61",2,0.44375
"62",3,0.3375
"63",3,0.45625
"64",21,0.46875
"65",2,0.48125
"66",2,0.4625
"67",2,0.5375
"68",2,0.525
"69",9,0.5
"70",2,0.4125
"71",3,0.5375
"72",2,0.46875
"73",6,0.475
"74",3,0.325
"75",14,0.55
"76",2,0.4
"77",3,0.475
"78",3,0.4375
"79",3,0.5875
"80",3,0.46875
"81",3,0.50625
"82",3,0.44375
"83",41,0.4375
"84",1,0.385416666666667
"85",2,0.40625
"86",3,0.56875
"87",3,0.4625
"88",3,0.44375
"89",12,0.475
"90",2,0.39375
"91",11,0.54375
"92",3,0.46875
"93",2,0.45
"94",1,0.55625
"95",2,0.40625
"96",1,0.50625
"97",2,0.55
"98",2,0.46875
"99",2,0.510416666666667
"100",2,0.3375
