protein,complete_train_p_value,total_freq,p-value_orig_vs_random,original,original,original,original,original,original,original,original,permuted,permuted,permuted,permuted,permuted,permuted,permuted,permuted
A0A024R6X1_CES2     ,0.0108815433947525  ,14540               ,0.00656165010312273 ,1528                ,666                 ,1254                ,1921                ,1448                ,3136                ,2744                ,1843                ,0                   ,0                   ,0                   ,56                  ,0                   ,2339                ,0                   ,11                  
A0A075B6L0_IGLC3    ,0.549564599831643   ,2                   ,0.488142933739699   ,0                   ,0                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,14                  ,0                   ,0                   ,33                  ,0                   ,0                   
A0A087WVW2_IGHG3    ,0.00576672560280498 ,21593               ,0.000553534765668591,2120                ,2743                ,3136                ,2092                ,3097                ,2535                ,2744                ,3126                ,0                   ,0                   ,0                   ,70                  ,0                   ,0                   ,0                   ,0                   
P06331              ,0.324374225215863   ,1096                ,0.694598076982301   ,89                  ,114                 ,0                   ,0                   ,764                 ,0                   ,129                 ,0                   ,3                   ,4                   ,0                   ,0                   ,0                   ,316                 ,110                 ,0                   
A0A075B6R9          ,0.874650179253519   ,1                   ,0.488142933739699   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,10                  ,0                   ,248                 
P06310              ,0.261993939892382   ,401                 ,0.0248607888674232  ,0                   ,44                  ,7                   ,20                  ,76                  ,11                  ,63                  ,180                 ,202                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
A0A087WSX4          ,0.861625966401626   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,58                  ,343                 ,0                   ,0                   ,0                   ,61                  
A0A087WT59_TTR      ,0.911384484422289   ,0                   ,0.170903520230797   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,92                  ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   
P19823_ITIH2        ,0.596537567155793   ,0                   ,0.170903520230797   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,7                   ,20                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
A0A087WZM5_FKBP1A   ,0.865032944154043   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,113                 ,79                  ,6                   ,0                   ,0                   ,0                   ,0                   
