protein,complete_train_p_value,total_freq,p-value_orig_vs_random,1,2,3,4,5,permuted,permuted,permuted,permuted,permuted,1,2,3,4,5,cv_inner,cv_inner,cv_inner,cv_inner,cv_inner
A0A024R6X1_CES2     ,0.0195641572326814  ,6589                ,0.0116673123433194  ,1683                ,1489                ,924                 ,924                 ,1569                ,6                   ,0                   ,2                   ,121                 ,0                   ,0.571428571428571   ,0.625               ,0.285714285714286   ,0.625               ,0.75                ,74.1935483870968    ,60                  ,64.5161290322581    ,53.3333333333333    ,66.6666666666667    
A0A075B6L0_IGLC3    ,0.456669959752463   ,0                   ,0.423710797166793   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,33                  ,0                   ,0                   ,0.285714285714286   ,0.75                ,0.142857142857143   ,0.75                ,0.5                 ,54.8387096774194    ,43.3333333333333    ,45.1612903225806    ,40                  ,53.3333333333333    
A0A087WVW2_IGHG3    ,0.00265445866321954 ,16025               ,0.00793650793650794 ,3537                ,2874                ,3584                ,2894                ,3136                ,8                   ,1367                ,0                   ,482                 ,6                   ,0.857142857142857   ,0.5                 ,0.142857142857143   ,0.625               ,0.25                ,74.1935483870968    ,43.3333333333333    ,6.45161290322581    ,56.6666666666667    ,16.6666666666667    
P06331              ,0.316187961551514   ,451                 ,1                   ,0                   ,0                   ,400                 ,0                   ,51                  ,26                  ,0                   ,25                  ,0                   ,6                   ,0.285714285714286   ,0.75                ,0.285714285714286   ,0.75                ,0.625               ,51.6129032258064    ,50                  ,67.741935483871     ,36.6666666666667    ,33.3333333333333    
A0A075B6R9          ,0.691661132998375   ,13                  ,0.19451080638285    ,8                   ,0                   ,0                   ,5                   ,0                   ,8                   ,95                  ,553                 ,0                   ,2                   ,0.285714285714286   ,0.75                ,0.142857142857143   ,0.625               ,0.5                 ,41.9354838709677    ,60                  ,54.8387096774194    ,50                  ,50                  
P06310              ,0.385288254023325   ,204                 ,0.332111977901723   ,12                  ,0                   ,192                 ,0                   ,0                   ,70                  ,579                 ,57                  ,3                   ,0                   ,0.285714285714286   ,0.75                ,0.142857142857143   ,0.625               ,0.5                 ,54.8387096774194    ,43.3333333333333    ,51.6129032258064    ,33.3333333333333    ,43.3333333333333    
A0A087WSX4          ,0.873157623658286   ,0                   ,0.179712494879      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,142                 ,0                   ,56                  ,0                   ,0.285714285714286   ,0.75                ,0.142857142857143   ,0.625               ,0.5                 ,51.6129032258064    ,66.6666666666667    ,48.3870967741936    ,40                  ,46.6666666666667    
A0A087WT59_TTR      ,0.906141992192063   ,0                   ,0.179712494879      ,0                   ,0                   ,0                   ,0                   ,0                   ,231                 ,0                   ,0                   ,0                   ,67                  ,0.285714285714286   ,0.75                ,0.142857142857143   ,0.625               ,0.5                 ,54.8387096774194    ,50                  ,54.8387096774194    ,46.6666666666667    ,43.3333333333333    
P19823_ITIH2        ,0.766663010719284   ,0                   ,0.179712494879      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,126                 ,29                  ,0.285714285714286   ,0.75                ,0.142857142857143   ,0.625               ,0.5                 ,41.9354838709677    ,63.3333333333333    ,48.3870967741936    ,40                  ,53.3333333333333    
A0A087WZM5_FKBP1A   ,0.900083735421135   ,0                   ,0.072005657555498   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,35                  ,0                   ,2                   ,2533                ,0.285714285714286   ,0.75                ,0.142857142857143   ,0.625               ,0.5                 ,51.6129032258064    ,46.6666666666667    ,48.3870967741936    ,53.3333333333333    ,53.3333333333333    
O75626_PRDM1        ,0.58134260152105    ,104                 ,0.655836496590659   ,1                   ,19                  ,0                   ,84                  ,0                   ,54                  ,0                   ,0                   ,0                   ,6                   ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.5                 ,45.1612903225806    ,50                  ,58.0645161290323    ,43.3333333333333    ,53.3333333333333    
A0A087WX49_IGLL5    ,0.937027579895019   ,2                   ,0.518605016428726   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,532                 ,2                   ,0                   ,0                   ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.5                 ,48.3870967741936    ,66.6666666666667    ,45.1612903225806    ,40                  ,43.3333333333333    
A0A0A0MS15          ,0.451118587311599   ,1189                ,0.823664389211061   ,0                   ,0                   ,16                  ,1173                ,0                   ,2                   ,149                 ,0                   ,0                   ,377                 ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.75                ,0.625               ,54.8387096774194    ,50                  ,64.5161290322581    ,40                  ,46.6666666666667    
A0A087WV47_IGHG1    ,0.0188628764673838  ,7901                ,0.0593270609465235  ,655                 ,140                 ,3230                ,2742                ,1134                ,0                   ,78                  ,0                   ,2223                ,21                  ,0.428571428571429   ,0.875               ,0.285714285714286   ,0.75                ,0.625               ,67.741935483871     ,43.3333333333333    ,77.4193548387097    ,56.6666666666667    ,66.6666666666667    
A0A087WVN6          ,0.0919545076746907  ,3117                ,0.204500533325642   ,1278                ,1199                ,585                 ,52                  ,3                   ,0                   ,1310                ,0                   ,0                   ,11                  ,0.428571428571429   ,0.625               ,0.285714285714286   ,0.625               ,0.5                 ,45.1612903225806    ,66.6666666666667    ,70.9677419354839    ,46.6666666666667    ,63.3333333333333    
A0A087WW89          ,0.251151940720085   ,320                 ,0.15793931050013    ,134                 ,0                   ,121                 ,0                   ,65                  ,0                   ,0                   ,0                   ,6                   ,0                   ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.625               ,61.2903225806452    ,53.3333333333333    ,54.8387096774194    ,40                  ,53.3333333333333    
P06753_2_TPM3       ,0.533633826885927   ,2                   ,0.15793931050013    ,2                   ,0                   ,0                   ,0                   ,0                   ,384                 ,5                   ,0                   ,407                 ,0                   ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.625               ,48.3870967741936    ,53.3333333333333    ,45.1612903225806    ,46.6666666666667    ,50                  
Q9Y6R7_FCGBP        ,0.647106023213638   ,0                   ,0.179712494879      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,30                  ,0                   ,1494                ,0                   ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.625               ,41.9354838709677    ,46.6666666666667    ,45.1612903225806    ,50                  ,30                  
Q96KP4_CNDP2        ,0.737587675682871   ,13                  ,0.607235543774111   ,0                   ,0                   ,0                   ,13                  ,0                   ,0                   ,0                   ,52                  ,1                   ,0                   ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.625               ,41.9354838709677    ,46.6666666666667    ,58.0645161290323    ,40                  ,50                  
A0A087WZH9          ,0.0324427273684856  ,4582                ,0.13879173842361    ,366                 ,927                 ,364                 ,1505                ,1420                ,25                  ,0                   ,0                   ,2401                ,0                   ,0.285714285714286   ,0.75                ,0.285714285714286   ,0.625               ,0.625               ,67.741935483871     ,56.6666666666667    ,54.8387096774194    ,50                  ,60                  
A0A087WZM2_RNASET2  ,0.0634884186618786  ,2017                ,0.00749495751693525 ,174                 ,251                 ,86                  ,516                 ,990                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0.285714285714286   ,0.875               ,0.142857142857143   ,0.5                 ,0.75                ,51.6129032258064    ,43.3333333333333    ,58.0645161290323    ,53.3333333333333    ,50                  
A0A087WZW8          ,0.237207887345747   ,478                 ,1                   ,431                 ,0                   ,47                  ,0                   ,0                   ,0                   ,1                   ,524                 ,0                   ,0                   ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.625               ,77.4193548387097    ,56.6666666666667    ,54.8387096774194    ,36.6666666666667    ,33.3333333333333    
A0A087X130          ,0.838785623401298   ,0                   ,0.0253698598220537  ,0                   ,0                   ,0                   ,0                   ,0                   ,229                 ,0                   ,46                  ,3                   ,63                  ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.625               ,38.7096774193548    ,60                  ,48.3870967741936    ,43.3333333333333    ,53.3333333333333    
A0A075B6P5          ,0.377355515200907   ,138                 ,0.518605016428726   ,0                   ,136                 ,0                   ,2                   ,0                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0.285714285714286   ,0.875               ,0.142857142857143   ,0.75                ,0.625               ,38.7096774193548    ,56.6666666666667    ,54.8387096774194    ,43.3333333333333    ,43.3333333333333    
A0A087X2C0          ,0.187885295591118   ,1203                ,0.161237591834016   ,781                 ,2                   ,197                 ,0                   ,223                 ,0                   ,0                   ,97                  ,41                  ,0                   ,0.428571428571429   ,0.75                ,0.142857142857143   ,0.625               ,0.75                ,70.9677419354839    ,60                  ,58.0645161290323    ,43.3333333333333    ,53.3333333333333    
Q06830_PRDX1        ,0.0156197914999153  ,6959                ,0.0119252335930176  ,2096                ,388                 ,735                 ,3136                ,604                 ,23                  ,4                   ,2                   ,0                   ,0                   ,0.571428571428571   ,0.875               ,0.285714285714286   ,0.25                ,0.75                ,77.4193548387097    ,53.3333333333333    ,67.741935483871     ,33.3333333333333    ,60                  
P13797_PLS3         ,0.760459662446094   ,117                 ,0.480176889906077   ,0                   ,117                 ,0                   ,0                   ,0                   ,0                   ,2                   ,54                  ,0                   ,10                  ,0.285714285714286   ,0.75                ,0.142857142857143   ,0.625               ,0.625               ,38.7096774193548    ,63.3333333333333    ,58.0645161290323    ,40                  ,53.3333333333333    
A8K2U0_A2ML1        ,0.402330578720389   ,82                  ,0.797169693133742   ,34                  ,0                   ,0                   ,0                   ,48                  ,312                 ,0                   ,0                   ,0                   ,0                   ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.625               ,41.9354838709677    ,56.6666666666667    ,48.3870967741936    ,40                  ,50                  
P08670_VIM          ,0.475624491711691   ,52                  ,0.823664389211061   ,16                  ,0                   ,31                  ,0                   ,5                   ,0                   ,0                   ,0                   ,599                 ,14                  ,0.285714285714286   ,0.625               ,0.142857142857143   ,0.625               ,0.75                ,51.6129032258064    ,50                  ,64.5161290322581    ,40                  ,50                  
