protein,protein frequency
A0A024R6X1_CES2    ,6                  
A0A075B6L0_IGLC3   ,0                  
A0A087WVW2_IGHG3   ,8                  
P06331             ,26                 
A0A075B6R9         ,8                  
P06310             ,70                 
A0A087WSX4         ,0                  
A0A087WT59_TTR     ,231                
P19823_ITIH2       ,0                  
A0A087WZM5_FKBP1A  ,0                  
O75626_PRDM1       ,54                 
A0A087WX49_IGLL5   ,0                  
A0A0A0MS15         ,2                  
A0A087WV47_IGHG1   ,0                  
A0A087WVN6         ,0                  
A0A087WW89         ,0                  
P06753_2_TPM3      ,384                
Q9Y6R7_FCGBP       ,0                  
Q96KP4_CNDP2       ,0                  
A0A087WZH9         ,25                 
A0A087WZM2_RNASET2 ,0                  
A0A087WZW8         ,0                  
A0A087X130         ,229                
A0A075B6P5         ,0                  
A0A087X2C0         ,0                  
Q06830_PRDX1       ,23                 
P13797_PLS3        ,0                  
A8K2U0_A2ML1       ,312                
P08670_VIM         ,0                  
P15153_RAC2        ,1424               
P09429_HMGB1       ,0                  
B4E1Z4_CFB         ,0                  
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,77                 
B7ZKJ8_ITIH4       ,1976               
P40925_3_MDH1      ,395                
C9JC84_FGG         ,0                  
P19971_2_TYMP      ,0                  
Q9UG63_2_ABCF2     ,15                 
P30838_ALDH3A1     ,18                 
C9JV77_AHSG        ,282                
CON__P00761        ,0                  
CON__P01966        ,497                
CON__P02538_KRT6A  ,0                  
CON__P02768_1_ALB  ,1638               
CON__P02769_ALB    ,0                  
CON__P08779_KRT16  ,0                  
CON__P13645_KRT10  ,0                  
CON__P13646_1      ,84                 
CON__P13647_KRT5   ,0                  
CON__P19013        ,48                 
CON__P35527_KRT9   ,0                  
CON__P60712_ACTB   ,103                
CON__Q3MHH8        ,0                  
D6RF35_GC          ,192                
E5RHG6_TBCA        ,3107               
E7EQR4_EZR         ,2821               
P02788_LTF         ,0                  
E7EX29_YWHAZ       ,0                  
P11413_2_G6PD      ,144                
Q9H0U4_RAB1B       ,31                 
P55786_NPEPPS      ,0                  
O00764_PDXK        ,0                  
P0C0L5_C4B         ,0                  
P22079_LPO         ,0                  
F5H5D3_TUBA1C      ,62                 
Q14697_2_GANAB     ,1501               
P30040_ERP29       ,56                 
P09382_LGALS1      ,205                
Q8TD19_NEK9        ,0                  
P16070_CD44        ,1660               
P06576_ATP5B       ,86                 
P00441_SOD1        ,0                  
J3KPA1_CRISP3      ,0                  
P68431_HIST1H3A    ,0                  
K7ELL7_PRKCSH      ,63                 
O00299_CLIC1       ,0                  
O00391_QSOX1       ,176                
O15511_2_ARPC5     ,0                  
O43707_ACTN4       ,176                
O60888_2_CUTA      ,0                  
O75594_PGLYRP1     ,75                 
O95336_PGLS        ,6                  
P00330_ADH1        ,0                  
P00338_3_LDHA      ,15                 
P00352_ALDH1A1     ,504                
P00450_CP          ,106                
P00489_PYGM        ,0                  
P00491_PNP         ,3584               
P00558_PGK1        ,6                  
P00738_HP          ,208                
P00924_ENO1        ,0                  
P01008_SERPINC1    ,3                  
P01009_SERPINA1    ,7                  
P01023_A2M         ,0                  
P01024_C3          ,111                
P01033_TIMP1       ,0                  
P01034_CST3        ,0                  
P01036_CST4        ,0                  
P01037_CST1        ,0                  
P01042_2_KNG1      ,0                  
P01591_IGJ         ,67                 
P01593             ,4                  
P01598             ,0                  
P01616             ,0                  
P01622             ,0                  
P01623             ,0                  
P06314_IGKV4_1     ,0                  
P01714             ,0                  
P01717             ,526                
P01763             ,6                  
P01767             ,0                  
P01779             ,422                
P04438             ,0                  
P01833_PIGR        ,2                  
P01859_IGHG2       ,0                  
P01861_IGHG4       ,0                  
P01876_IGHA1       ,29                 
P01877_IGHA2       ,28                 
P02647_APOA1       ,0                  
P02671_FGA         ,0                  
P02675_FGB         ,0                  
P02750_LRG1        ,0                  
P02753_RBP4        ,3584               
P02760_AMBP        ,0                  
P02763_ORM1        ,8                  
P02787_TF          ,632                
P02790_HPX         ,176                
P02814_SMR3B       ,0                  
P03973_SLPI        ,656                
P04004_VTN         ,0                  
P04040_CAT         ,28                 
P04075_2_ALDOA     ,1328               
P04080_CSTB        ,0                  
P04083_ANXA1       ,0                  
P04196_HRG         ,0                  
P04209             ,0                  
P04217_A1BG        ,963                
P04264_KRT1        ,0                  
P04280_PRB1        ,0                  
P04406_GAPDH       ,2                  
P04745_AMY1A       ,12                 
P04792_HSPB1       ,43                 
P04899_4_GNAI2     ,168                
P05089_2_ARG1      ,3584               
P05109_S100A8      ,58                 
P05164_3_MPO       ,0                  
P05386_RPLP1       ,0                  
P06396_GSN         ,308                
P06702_S100A9      ,40                 
P06733_ENO1        ,0                  
P06737_PYGL        ,0                  
A0A0A0MTS2_GPI     ,947                
P06870_KLK1        ,0                  
P07108_6_DBI       ,0                  
P07195_LDHB        ,16                 
P07237_P4HB        ,36                 
P07339_CTSD        ,0                  
P07737_PFN1        ,132                
P07858_CTSB        ,0                  
P07900_2_HSP90AA1  ,6                  
P07996_THBS1       ,2                  
P08107_HSPA1A      ,169                
P08238_HSP90AB1    ,0                  
P08246_ELANE       ,0                  
P08311_CTSG        ,883                
P08571_CD14        ,12                 
P08603_CFH         ,0                  
P09211_GSTP1       ,0                  
P09228_CST2        ,0                  
P09960_LTA4H       ,602                
P0C0S8_HIST1H2AG   ,0                  
P10412_HIST1H1E    ,201                
P10599_TXN         ,0                  
P10909_2_CLU       ,0                  
P11021_HSPA5       ,0                  
P11142_HSPA8       ,46                 
P11215_2_ITGAM     ,0                  
P12273_PIP         ,33                 
P12429_ANXA3       ,0                  
P12814_3_ACTN1     ,456                
P13688_CEACAM1     ,670                
P13796_LCP1        ,471                
P14174_MIF         ,903                
P14550_AKR1A1      ,0                  
P14618_PKM2        ,0                  
P14780_MMP9        ,1771               
P16401_HIST1H1B    ,41                 
P16402_HIST1H1D    ,1031               
P16403_HIST1H1C    ,0                  
P17174_GOT1        ,0                  
P17931_LGALS3      ,425                
P18206_VCL         ,0                  
P18510_2_IL1RN     ,0                  
P18669_PGAM1       ,269                
P19961_AMY2B       ,0                  
P20061_TCN1        ,0                  
P20160_AZU1        ,0                  
P20618_PSMB1       ,0                  
P22314_UBA1        ,223                
Q32Q12_NME1_NME2   ,0                  
P22532_SPRR2D      ,0                  
P22894_MMP8        ,26                 
P23280_CA6         ,64                 
P23284_PPIB        ,99                 
P23381_WARS        ,0                  
E9PK25_CFL1        ,1094               
P24158_PRTN3       ,0                  
P25311_AZGP1       ,0                  
P26038_MSN         ,467                
P28325_CST5        ,0                  
P29401_2_TKT       ,2628               
P29508_SERPINB3    ,957                
P30044_PRDX5       ,0                  
P30101_PDIA3       ,32                 
P30740_SERPINB1    ,38                 
P31025_LCN1        ,10                 
P31146_CORO1A      ,6                  
P31151_S100A7      ,66                 
P31946_YWHAB       ,0                  
P31947_SFN         ,0                  
P31949_S100A11     ,0                  
P32119_PRDX2       ,381                
P32926_DSG3        ,0                  
P35321_SPRR1A      ,2                  
P35579_MYH9        ,0                  
