"","rank","freq","gene","avg_cv_acc_after_nsc"
"1",1,12,NA,-1
"2",2,10,NA,0.2
"3",3,10,NA,0.666666666666667
"4",4,9,NA,0.6
"5",5,9,NA,0.5
"6",6,7,NA,0.666666666666667
"7",7,7,NA,0.4
"8",8,7,NA,0.666666666666667
"9",9,7,NA,0.5
"10",10,6,NA,0.5
"11",11,6,NA,0.5
"12",12,6,NA,0.666666666666667
"13",13,5,NA,0.75
"14",14,5,NA,0.666666666666667
"15",15,5,NA,0.666666666666667
"16",16,5,NA,0.5
"17",17,5,NA,0.4
"18",18,5,NA,0.4
"19",19,5,NA,0.8
"20",20,5,NA,0.6
"21",21,5,NA,0.833333333333333
"22",22,5,NA,0.8
"23",23,5,NA,0.4
"24",24,5,NA,0.333333333333333
"25",25,5,"X50fmol_T1T2_T12",1
"26",26,5,"X12.5fmol_C1",1
"27",27,4,NA,0.666666666666667
"28",28,4,NA,0.5
"29",29,4,NA,0.666666666666667
"30",30,4,NA,0.6
"31",31,4,NA,0.8
"32",32,4,NA,0.75
"33",33,4,NA,0.833333333333333
"34",34,4,NA,0.6
"35",35,4,NA,0.8
"36",36,4,NA,0.666666666666667
"37",37,4,NA,0.75
"38",38,4,NA,0.6
"39",39,4,NA,0.6
"40",40,4,NA,0.8
"41",41,4,NA,0.666666666666667
"42",42,4,NA,0.833333333333333
"43",43,4,NA,0.5
"44",44,4,NA,0.5
"45",45,4,NA,0.666666666666667
"46",46,4,NA,0.833333333333333
"47",47,4,NA,0.5
"48",48,4,NA,0.5
"49",49,4,NA,0.666666666666667
"50",50,4,NA,0.666666666666667
"51",51,4,NA,0.833333333333333
"52",52,4,NA,0.8
"53",53,4,NA,0.6
"54",54,4,"X50fmol_T1T2_T23",0.8
"55",55,4,"X50fmol_T1T2_T20",0.5
"56",56,4,"X25fmol_semtumor_S68",0.333333333333333
"57",57,4,"X12.5fmol_C8",0.666666666666667
"58",58,3,NA,1
"59",59,3,NA,0.833333333333333
"60",60,3,NA,0.833333333333333
"61",61,3,NA,0.6
"62",62,3,NA,0.666666666666667
"63",63,3,NA,0.6
"64",64,3,NA,0.666666666666667
"65",65,3,NA,0.666666666666667
"66",66,3,NA,0.4
"67",67,3,NA,0.4
"68",68,3,NA,0.666666666666667
"69",69,3,NA,0.4
"70",70,3,NA,0.6
"71",71,3,NA,0.666666666666667
"72",72,3,NA,0.5
"73",73,3,NA,0.333333333333333
"74",74,3,NA,0.166666666666667
"75",75,3,NA,0.833333333333333
"76",76,3,NA,0.833333333333333
"77",77,3,NA,0.666666666666667
"78",78,3,NA,1
"79",79,3,NA,0.333333333333333
"80",80,3,NA,0.6
"81",81,3,NA,0.5
"82",82,3,NA,0.333333333333333
"83",83,3,NA,0.666666666666667
"84",84,3,NA,0.666666666666667
"85",85,3,NA,0.666666666666667
"86",86,3,NA,0.2
"87",87,3,NA,0.4
"88",88,3,NA,0.5
"89",89,3,NA,0.5
"90",90,3,NA,0.666666666666667
"91",91,3,NA,0.6
"92",92,3,NA,0.8
"93",93,3,NA,0.2
"94",94,3,NA,0.333333333333333
