"","presence_in_folds_and_repetitions","acc","signature"
"1",0.1,0.426666666666667,"A0A024R6X1_CES2, A0A087WVW2_IGHG3, P06331, A0A075B6R9, A0A087WSX4, A0A087WT59_TTR, P19823_ITIH2, A0A087WV47_IGHG1, Q9Y6R7_FCGBP, A0A087WZM2_RNASET2, A0A087X130, A0A075B6P5, A0A087X2C0, Q06830_PRDX1, P13797_PLS3, A8K2U0_A2ML1, P15153_RAC2, P09429_HMGB1, P62258_YWHAE, B4E1Z4_CFB, B5MDF5_RAN, B7Z6Z4_MYL6, P06454_PTMA, P40925-3_MDH1, P51149_RAB7A, C9JC84_FGG, Q9UG63-2_ABCF2, P30838_ALDH3A1, C9JV77_AHSG, O15145_ARPC3, CON__P00761, CON__P01966, CON__P02538_KRT6A, CON__P02768-1_ALB, P02769_BSA, CON__P08779_KRT16, CON__P13646-1, CON__P35527_KRT9, CON__P60712_ACTB, CON__Q3MHH8, O75083_WDR1, D6RF35_GC, E5RHG6_TBCA, E7EQR4_EZR, E7EX29_YWHAZ, P04406_GAPDH, P11413-2_G6PD, P55786_NPEPPS, O00764_PDXK, P0C0L5_C4B, Q14697-2_GANAB, P06576_ATP5B, Q9NZL9_MAT2B, P68431_HIST1H3A, O00299_CLIC1, O00391_QSOX1, O15511-2_ARPC5, O43707_ACTN4, O60888-2_CUTA, O75594_PGLYRP1, O95274_LYPD3, O95336_PGLS, P00330_ADH1, P00450_CP, P00489_GPB, P00491_PNP, P00738_HP, P00924_ENO1, P01008_SERPINC1, P01009_SERPINA1, P01023_A2M, P01024_C3, P01033_TIMP1, P01036_CST4, P01037_CST1, P01042-2_KNG1, P01593, P01598, P01616, P01624, P01717, P01767, P01780, P01859_IGHG2, P01861_IGHG4, P01876_IGHA1, P01877_IGHA2, P02647_APOA1, P02671_FGA, P02750_LRG1, P02753_RBP4, P02760_AMBP, P02763_ORM1, P02787_TF, P02790_HPX, P02814_SMR3B, P03973_SLPI, P04004_VTN, P04040_CAT, P04083_ANXA1, P04196_HRG, P04217_A1BG, P04280_PRB1, P04792_HSPB1, P04899-4_GNAI2, P05164-3_MPO, P05386_RPLP1, A0A0A0MTS2_GPI, P06870_KLK1, P07108-6_DBI, P07339_CTSD, P07900-2_HSP90AA1, P07996_THBS1, P08246_ELANE, P08311_CTSG, P08603_CFH, P09228_CST2, P09960_LTA4H, P0C0S8_HIST1H2AG, P10412_HIST1H1E, P10909-2_CLU, P11215-2_ITGAM, P12273_PIP, P12429_ANXA3, P12814-3_ACTN1, P13688_CEACAM1, P14174_MIF, P14550_AKR1A1, P16401_HIST1H1B, P16402_HIST1H1D, P17174_GOT1, P17931_LGALS3, P18510-2_IL1RN, P18669_PGAM1, P19961_AMY2B, P20061_TCN1, P20160_AZU1, P20618_PSMB1, P21333_FLNA, P22314_UBA1, Q32Q12_NME1-NME2, P22532_SPRR2D, P22894_MMP8, P23280_CA6, P23284_PPIB, P23381_WARS, P28325_CST5, P29401-2_TKT, P29508_SERPINB3, P30044_PRDX5, P30101_PDIA3, P31146_CORO1A, P31946-2, P31947_SFN, P31949_S100A11, P35321_SPRR1A, P35579_MYH9, P36952_SERPINB5, P37802-2_TAGLN2, P40121_CAPG, B1AK88_CAPZB, P52566_ARHGDIB, P52907_CAPZA1, P53634_CTSC, P55058_PLTP, P59665_DEFA1, P61158_ACTR3, P61586_RHOA, P61626_LYZ, P61769_B2M, P62805_HIST1H4A, P62937_PPIA, P62942_FKBP1A, P68032_ACTC1, P68371_TUBB4B, P69905_HBA1, P78417_GSTO1, Q02413_DSG1, Q02487_DSC2, Q07654_TFF3, Q08188_TGM3, Q14508_WFDC2, Q14847_LASP1, Q14974_KPNB1, Q14CN2_CLCA4, H0YBX6_UBE2V2, Q6P5S2_C6orf58, Q8N4F0_BPIFB2, Q8TAX7_MUC7, Q8TDL5_BPIFB1, Q96DA0_ZG16B, Q99536_VAT1, Q99879_HIST1H2BM, Q9BRA2_TXNDC17, Q9BRF8_CPPED1, Q9HC84_MUC5B, Q9HD89_RETN, Q9NQ38-3_SPINK5, Q9UBC9_SPRR3, Q9UBG3_CRNN, Q9UBX7-3_KLK11, Q9UIV8_SERPINB13, Q9UKR3_KLK13, V9HW75_NUCB2"
"2",0.2,0.65,"A0A024R6X1_CES2, A0A087WT59_TTR, A0A087X130, P15153_RAC2, P09429_HMGB1, B4E1Z4_CFB, B7Z6Z4_MYL6, P40925-3_MDH1, P51149_RAB7A, P30838_ALDH3A1, CON__P13646-1, CON__P35527_KRT9, CON__Q3MHH8, O75083_WDR1, O00764_PDXK, O00391_QSOX1, O60888-2_CUTA, O75594_PGLYRP1, O95274_LYPD3, P01009_SERPINA1, P01033_TIMP1, P01036_CST4, P01037_CST1, P01042-2_KNG1, P01598, P01624, P01780, P01861_IGHG4, P02671_FGA, P02760_AMBP, P02814_SMR3B, P04004_VTN, P04196_HRG, P04280_PRB1, P05386_RPLP1, P07108-6_DBI, P09228_CST2, P09960_LTA4H, P11215-2_ITGAM, P12429_ANXA3, P14550_AKR1A1, P18669_PGAM1, P28325_CST5, P35321_SPRR1A, P37802-2_TAGLN2, P52907_CAPZA1, P53634_CTSC, P61586_RHOA, P68371_TUBB4B, Q08188_TGM3, Q14CN2_CLCA4, Q6P5S2_C6orf58, Q8TAX7_MUC7, Q96DA0_ZG16B, Q99879_HIST1H2BM, Q9BRF8_CPPED1, Q9NQ38-3_SPINK5"
"3",0.3,0.74,"A0A024R6X1_CES2, P15153_RAC2, P40925-3_MDH1, P51149_RAB7A, P30838_ALDH3A1, O75083_WDR1, O00391_QSOX1, P01009_SERPINA1, P01036_CST4, P01037_CST1, P01624, P02671_FGA, P02760_AMBP, P02814_SMR3B, P04004_VTN, P04196_HRG, P04280_PRB1, P05386_RPLP1, P09228_CST2, P09960_LTA4H, P12429_ANXA3, P28325_CST5, P53634_CTSC, P61586_RHOA, Q08188_TGM3, Q14CN2_CLCA4"
"4",0.4,0.526666666666667,"O00391_QSOX1, P01036_CST4, P01037_CST1, P01624, P02760_AMBP, P04280_PRB1, P05386_RPLP1, P09228_CST2, P12429_ANXA3"
"5",0.5,0.54,"P01036_CST4, P01037_CST1, P04280_PRB1, P05386_RPLP1, P09228_CST2"
"6",0.6,0.52,"P01036_CST4, P01037_CST1, P04280_PRB1, P05386_RPLP1, P09228_CST2"
"7",0.7,-1,"P09228_CST2"
"8",0.8,-1,""
"9",0.9,-1,""
"10",1,-1,""
