"","id","name","12.5fmol-score","25fmol-score","50fmol-score"
"1","P09228_CST2","P09228_CST2","0.3533","-0.5018","0.2043"
"2","P01037_CST1","P01037_CST1","0.3285","-0.4848","0.2102"
"3","P05386_RPLP1","P05386_RPLP1","0.4808","-0.3676","-0.0724"
"4","P01036_CST4","P01036_CST4","0.3064","-0.4398","0.1823"
"5","O00391_QSOX1","O00391_QSOX1","0.4241","-0.2681","-0.1262"
"6","P04004_VTN","P04004_VTN","0.1142","0.2754","-0.4203"
"7","P04280_PRB1","P04280_PRB1","-0.404","0.009","0.394"
"8","P01009_SERPINA1","P01009_SERPINA1","-0.402","0.19","0.1909"
"9","P12429_ANXA3","P12429_ANXA3","0.3847","-0.3134","-0.0364"
"10","P53634_CTSC","P53634_CTSC","-0.0131","0.3485","-0.3741"
"11","P01624","P01624","-0.3721","0.179","0.1732"
"12","P09960_LTA4H","P09960_LTA4H","0.0646","0.2699","-0.3645"
"13","P51149_RAB7A","P51149_RAB7A","-0.3559","0.2578","0.0695"
"14","B7Z6Z4_MYL6","B7Z6Z4_MYL6","0.2486","0.0941","-0.3532"
"15","P30838_ALDH3A1","P30838_ALDH3A1","0.3521","-0.0997","-0.2413"
"16","P28325_CST5","P28325_CST5","0.1094","-0.3446","0.2735"
"17","P15153_RAC2","P15153_RAC2","-0.3345","0.1749","0.1402"
"18","P07108-6_DBI","P07108-6_DBI","0.3275","-0.0654","-0.2548"
"19","P02814_SMR3B","P02814_SMR3B","-0.3247","0.0584","0.2598"
"20","Q08188_TGM3","Q08188_TGM3","0.2299","0.0846","-0.3238"
"21","A0A087X130","A0A087X130","0.1589","0.1476","-0.3229"
"22","P02760_AMBP","P02760_AMBP","-0.319","0.2334","0.0598"
"23","Q14CN2_CLCA4","Q14CN2_CLCA4","0.3109","-0.1222","-0.1751"
"24","P14550_AKR1A1","P14550_AKR1A1","0.1099","-0.3079","0.2323"
"25","P61586_RHOA","P61586_RHOA","0.0429","0.2382","-0.3076"
"26","P11215-2_ITGAM","P11215-2_ITGAM","0.3053","-0.2464","-0.0315"
"27","A0A024R6X1_CES2","A0A024R6X1_CES2","0.3049","-0.2074","-0.0745"
"28","O95274_LYPD3","O95274_LYPD3","0.3044","-0.0454","-0.254"
"29","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","0.296","-0.1383","-0.1423"
"30","P09429_HMGB1","P09429_HMGB1","0.1675","-0.2936","0.1587"
"31","P04196_HRG","P04196_HRG","-0.2641","0.2886","-0.0566"
"32","P02671_FGA","P02671_FGA","-0.2832","0.1183","0.1518"
"33","O60888-2_CUTA","O60888-2_CUTA","0.0454","0.2121","-0.2811"
"34","P07996_THBS1","P07996_THBS1","0.2766","-0.1808","-0.0757"
"35","P01008_SERPINC1","P01008_SERPINC1","-0.2715","0.1256","0.132"
