"","presence_in_folds_and_repetitions","acc","signature"
"1",0.1,0.76,"A0A024R6X1_CES2, A0A075B6L0_IGLC3, A0A087WVW2_IGHG3, A0A087WSX4, A0A087WT59_TTR, A0A0A0MS15, A0A087WW89, P06753-2_TPM3, Q9Y6R7_FCGBP, A0A087WZH9, A0A087WZW8, A0A087X130, A0A075B6P5, A0A087X2C0, Q06830_PRDX1, P15153_RAC2, P09429_HMGB1, B7Z6Z4_MYL6, P40925-3_MDH1, P51149_RAB7A, C9JC84_FGG, P19971-2_TYMP, P30838_ALDH3A1, O15145_ARPC3, CON__P00761, CON__P01966, CON__P02538_KRT6A, P02769_BSA, CON__P13645_KRT10, CON__P35527_KRT9, CON__Q3MHH8, O75083_WDR1, D6RF35_GC, E5RHG6_TBCA, E7EQR4_EZR, P02788_LTF, P04406_GAPDH, P55786_NPEPPS, O00764_PDXK, P22079_LPO, P61160-2_ACTR2, P06576_ATP5B, Q9NZL9_MAT2B, O15511-2_ARPC5, O43707_ACTN4, O60888-2_CUTA, O75594_PGLYRP1, O95274_LYPD3, P00330_ADH1, P00450_CP, P00489_GPB, P00738_HP, P00924_ENO1, P01008_SERPINC1, P01009_SERPINA1, P01023_A2M, P01024_C3, P01033_TIMP1, P01036_CST4, P01037_CST1, P01591_IGJ, P01598, P01616, P01622, P01624, P01714, P01763, P01780, P01859_IGHG2, P01876_IGHA1, P01877_IGHA2, P02671_FGA, P02675_FGB, P02750_LRG1, P02753_RBP4, P02760_AMBP, P02763_ORM1, P02787_TF, P02814_SMR3B, P03973_SLPI, P04004_VTN, P04080_CSTB, P04083_ANXA1, P04196_HRG, P04217_A1BG, P04264_KRT1, P04280_PRB1, P04792_HSPB1, P05109_S100A8, P05164-3_MPO, P05386_RPLP1, P06396_GSN, P06733_ENO1, A0A0A0MTS2_GPI, P06870_KLK1, P07108-6_DBI, P07237_P4HB, P07339_CTSD, P07737_PFN1, P07858_CTSB, P08311_CTSG, P08571_CD14, P09211_GSTP1, P09228_CST2, P09960_LTA4H, P10412_HIST1H1E, P10599_TXN, P11142_HSPA8, P11215-2_ITGAM, P12273_PIP, P12429_ANXA3, P13688_CEACAM1, P14174_MIF, P14550_AKR1A1, P14780_MMP9, P16401_HIST1H1B, P17174_GOT1, P18669_PGAM1, P19961_AMY2B, P20061_TCN1, P22314_UBA1, Q32Q12_NME1-NME2, P22532_SPRR2D, P23280_CA6, E9PK25_CFL1, P28325_CST5, P29401-2_TKT, P31025_LCN1, P31146_CORO1A, P31151_S100A7, P31946-2, P31947_SFN, P52566_ARHGDIB, P53634_CTSC, P59665_DEFA1, P60174_TPI1, P61586_RHOA, P61626_LYZ, P62937_PPIA, P62942_FKBP1A, P63261_ACTG1, P68371_TUBB4B, P78417_GSTO1, Q01518_CAP1, Q07654_TFF3, Q08188_TGM3, Q14508_WFDC2, Q14CN2_CLCA4, H0YBX6_UBE2V2, A0A087WV23_SH3BGRL3, Q8N4F0_BPIFB2, Q8TAX7_MUC7, Q99536_VAT1, Q9BQR3_PRSS27, Q9HC84_MUC5B, Q9HD89_RETN, Q9UBG3_CRNN, V9HW75_NUCB2"
"2",0.2,0.933333333333333,"A0A075B6L0_IGLC3, A0A087WVW2_IGHG3, A0A0A0MS15, A0A087WZH9, A0A087X130, A0A075B6P5, A0A087X2C0, Q06830_PRDX1, P15153_RAC2, P09429_HMGB1, P30838_ALDH3A1, CON__P00761, P02769_BSA, D6RF35_GC, P02788_LTF, P04406_GAPDH, P22079_LPO, Q9NZL9_MAT2B, O43707_ACTN4, O60888-2_CUTA, P00330_ADH1, P00489_GPB, P00738_HP, P00924_ENO1, P01008_SERPINC1, P01009_SERPINA1, P01023_A2M, P01024_C3, P01036_CST4, P01037_CST1, P01591_IGJ, P01616, P01714, P01876_IGHA1, P01877_IGHA2, P02750_LRG1, P04004_VTN, P04280_PRB1, P04792_HSPB1, P05164-3_MPO, P05386_RPLP1, A0A0A0MTS2_GPI, P06870_KLK1, P07108-6_DBI, P08311_CTSG, P09228_CST2, P11142_HSPA8, P11215-2_ITGAM, P12273_PIP, P12429_ANXA3, P13688_CEACAM1, P14174_MIF, P14550_AKR1A1, P19961_AMY2B, P29401-2_TKT, P31946-2, P53634_CTSC, P62937_PPIA, P68371_TUBB4B, Q07654_TFF3, H0YBX6_UBE2V2, Q9HC84_MUC5B, Q9UBG3_CRNN"
"3",0.3,0.96,"A0A087WVW2_IGHG3, A0A087WZH9, A0A075B6P5, A0A087X2C0, Q06830_PRDX1, P09429_HMGB1, P30838_ALDH3A1, CON__P00761, P02769_BSA, D6RF35_GC, P22079_LPO, O43707_ACTN4, P00330_ADH1, P00489_GPB, P00738_HP, P00924_ENO1, P01008_SERPINC1, P01009_SERPINA1, P01023_A2M, P01037_CST1, P01591_IGJ, P01616, P01714, P01877_IGHA2, P02750_LRG1, P04004_VTN, P04280_PRB1, P04792_HSPB1, P05386_RPLP1, A0A0A0MTS2_GPI, P06870_KLK1, P07108-6_DBI, P08311_CTSG, P09228_CST2, P11142_HSPA8, P12429_ANXA3, P14550_AKR1A1, P19961_AMY2B, P29401-2_TKT, P31946-2, P53634_CTSC, P62937_PPIA, P68371_TUBB4B, H0YBX6_UBE2V2"
"4",0.4,0.966666666666667,"A0A087WZH9, A0A087X2C0, Q06830_PRDX1, P09429_HMGB1, CON__P00761, P02769_BSA, P00330_ADH1, P00489_GPB, P00924_ENO1, P01009_SERPINA1, P01023_A2M, P01616, P01714, P04792_HSPB1, P11142_HSPA8, P14550_AKR1A1, P29401-2_TKT, P62937_PPIA"
"5",0.5,0.92,"A0A087WZH9, Q06830_PRDX1, P09429_HMGB1, CON__P00761, P02769_BSA, P00330_ADH1, P00489_GPB, P00924_ENO1, P01023_A2M, P29401-2_TKT"
"6",0.6,0.933333333333333,"Q06830_PRDX1, CON__P00761, P02769_BSA, P00330_ADH1, P00489_GPB"
"7",0.7,0.886666666666667,"CON__P00761, P00330_ADH1"
"8",0.8,0.82,"P00330_ADH1"
"9",0.9,0.82,"P00330_ADH1"
"10",1,0.82,"P00330_ADH1"
