"","presence_in_folds_and_repetitions","acc","signature"
"1",0.1,0.683333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P01036_CST4, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P05386_RPLP1, B7Z6Z4_MYL6"
"2",0.2,0.753333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P01036_CST4, P01023_A2M, P01037_CST1, P09228_CST2, P05386_RPLP1"
"3",0.3,0.7,"P00330_ADH1, P00489_GPB, P02769_BSA, P01036_CST4, P01037_CST1, P09228_CST2, P05386_RPLP1"
"4",0.4,0.62,"P00330_ADH1, P01036_CST4, P01037_CST1, P09228_CST2"
"5",0.5,0.586666666666667,"P00330_ADH1, P01037_CST1, P09228_CST2"
"6",0.6,0.733333333333333,"P00330_ADH1, P01037_CST1, P09228_CST2"
"7",0.7,0.793333333333333,"P00330_ADH1, P09228_CST2"
"8",0.8,0.7,"P00330_ADH1, P09228_CST2"
"9",0.9,-1,"P00330_ADH1"
"10",1,-1,"P00330_ADH1"
