"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"1",1,15,"P00330_ADH1",0.833333333333333
"2",2,14,"CON__P00761",0.883333333333333
"3",3,13,"P00489_GPB",0.886666666666667
"4",4,10,"Q06830_PRDX1",0.96
"5",5,10,"P02769_BSA",0.96
"6",6,9,"P12429_ANXA3",0.92
"7",7,9,"P01024_C3",0.933333333333333
"8",8,9,"P05386_RPLP1",1
"9",9,8,"A0A087WZH9",0.966666666666667
"10",10,8,"P02675_FGB",0.926666666666667
"11",11,8,"P62937_PPIA",0.966666666666667
"12",12,8,"P04792_HSPB1",0.966666666666667
"13",13,7,"P04083_ANXA1",0.96
"14",14,7,"P31946-2",0.966666666666667
"15",15,7,"P30838_ALDH3A1",0.96
"16",16,7,"P00924_ENO1",0.96
"17",17,6,"P02760_AMBP",0.966666666666667
"18",18,6,"P01714",0.926666666666667
"19",19,6,"P23280_CA6",0.926666666666667
"20",20,6,"A0A0A0MTS2_GPI",0.966666666666667
"21",21,6,"P22314_UBA1",0.92
"22",22,6,"P01009_SERPINA1",0.933333333333333
"23",23,6,"P18669_PGAM1",0.966666666666667
"24",24,6,"B4E1Z4_CFB",0.966666666666667
"25",25,6,"P00450_CP",0.933333333333333
"26",26,6,"D6RF35_GC",0.933333333333333
"27",27,6,"P01859_IGHG2",0.933333333333333
"28",28,6,"P01023_A2M",0.893333333333333
"29",29,6,"P02787_TF",0.926666666666667
"30",30,6,"P01036_CST4",0.853333333333333
"31",31,5,"P02671_FGA",0.9
"32",32,5,"P07996_THBS1",0.893333333333333
"33",33,5,"P07237_P4HB",0.886666666666667
"34",34,5,"P05164-3_MPO",0.826666666666667
"35",35,5,"P01042-2_KNG1",0.86
"36",36,5,"P04196_HRG",0.85
"37",37,5,"P02647_APOA1",0.853333333333333
"38",38,5,"O00391_QSOX1",0.793333333333333
"39",39,5,"P28325_CST5",0.82
"40",40,5,"P04217_A1BG",0.853333333333333
"41",41,5,"P02790_HPX",0.866666666666667
"42",42,5,"P02750_LRG1",0.893333333333333
"43",43,5,"A0A087WV47_IGHG1",0.866666666666667
"44",44,5,"B7Z6Z4_MYL6",0.813333333333333
"45",45,5,"A0A087WVW2_IGHG3",0.866666666666667
"46",46,5,"P01008_SERPINC1",0.816666666666667
"47",47,5,"P09228_CST2",0.883333333333333
"48",48,5,"P00738_HP",0.86
"49",49,5,"P01037_CST1",0.82
"50",50,5,"Q9NZL9_MAT2B",0.82
"51",51,4,"Q08188_TGM3",0.866666666666667
"52",52,4,"P02763_ORM1",0.773333333333333
"53",53,4,"P62258_YWHAE",0.82
"54",54,4,"CON__P02768-1_ALB",0.826666666666667
"55",55,4,"Q9NQ38-3_SPINK5",0.9
"56",56,4,"P07339_CTSD",0.733333333333333
"57",57,4,"Q99879_HIST1H2BM",0.733333333333333
