"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"1",1,15,"P00330_ADH1",0.826666666666667
"2",2,6,"CON__P00761",0.9
"3",3,5,"P00489_GPB",0.886666666666667
"4",4,4,"Q06830_PRDX1",0.966666666666667
"5",5,3,"P05386_RPLP1",1
"6",6,3,"P02769_BSA",0.933333333333333
"7",7,2,"P23280_CA6",0.96
"8",8,2,"A0A087WZH9",1
"9",9,2,"P62937_PPIA",0.96
"10",10,2,"P04792_HSPB1",0.966666666666667
"11",11,2,"Q9NZL9_MAT2B",0.92
"12",12,1,"P02671_FGA",0.893333333333333
"13",13,1,"P01714",0.853333333333333
"14",14,1,"P31946-2",0.853333333333333
"15",15,1,"P01042-2_KNG1",0.893333333333333
"16",16,1,"P04196_HRG",0.916666666666667
"17",17,1,"P22314_UBA1",0.926666666666667
"18",18,1,"P02675_FGB",0.866666666666667
"19",19,1,"P02763_ORM1",0.793333333333333
"20",20,1,"P28325_CST5",0.9
"21",21,1,"P02750_LRG1",0.82
"22",22,1,"P12429_ANXA3",0.9
"23",23,1,"P30838_ALDH3A1",0.713333333333333
"24",24,1,"P01009_SERPINA1",0.86
"25",25,1,"P00450_CP",0.86
"26",26,1,"P07339_CTSD",0.853333333333333
"27",27,1,"P01008_SERPINC1",0.82
"28",28,1,"P01023_A2M",0.933333333333333
"29",29,1,"P00924_ENO1",0.926666666666667
"30",30,0,"Q08188_TGM3",0.92
"31",31,0,"P02760_AMBP",0.75
"32",32,0,"P07996_THBS1",0.853333333333333
"33",33,0,"P07237_P4HB",0.88
"34",34,0,"P04083_ANXA1",0.78
"35",35,0,"A0A0A0MTS2_GPI",0.853333333333333
"36",36,0,"P05164-3_MPO",0.74
"37",37,0,"P02647_APOA1",0.673333333333333
"38",38,0,"O00391_QSOX1",0.746666666666667
"39",39,0,"P04217_A1BG",0.786666666666667
"40",40,0,"P02790_HPX",0.82
"41",41,0,"P62258_YWHAE",0.78
"42",42,0,"A0A087WV47_IGHG1",0.826666666666667
"43",43,0,"P18669_PGAM1",0.883333333333333
"44",44,0,"CON__P02768-1_ALB",0.853333333333333
"45",45,0,"B4E1Z4_CFB",0.753333333333333
"46",46,0,"Q9NQ38-3_SPINK5",0.76
"47",47,0,"D6RF35_GC",0.816666666666667
"48",48,0,"B7Z6Z4_MYL6",0.82
"49",49,0,"P01024_C3",0.75
"50",50,0,"A0A087WVW2_IGHG3",0.816666666666667
"51",51,0,"P01859_IGHG2",0.853333333333333
"52",52,0,"P09228_CST2",0.853333333333333
"53",53,0,"P00738_HP",0.853333333333333
"54",54,0,"P01037_CST1",0.76
"55",55,0,"Q99879_HIST1H2BM",0.78
"56",56,0,"P02787_TF",0.746666666666667
"57",57,0,"P01036_CST4",0.666666666666667
