"","presence_in_folds_and_repetitions","acc","signature"
"1",0.1,0.926666666666667,"P00330_ADH1, P00489_GPB, P02769_BSA, Q9NZL9_MAT2B, P05386_RPLP1, CON__P00761, Q06830_PRDX1, P04792_HSPB1, P62937_PPIA, A0A087WZH9, P23280_CA6"
"2",0.2,0.966666666666667,"P00330_ADH1, P00489_GPB, CON__P00761, Q06830_PRDX1"
"3",0.3,0.9,"P00330_ADH1, P00489_GPB, CON__P00761"
"4",0.4,0.816666666666667,"P00330_ADH1"
"5",0.5,0.82,"P00330_ADH1"
"6",0.6,0.82,"P00330_ADH1"
"7",0.7,0.82,"P00330_ADH1"
"8",0.8,0.82,"P00330_ADH1"
"9",0.9,0.82,"P00330_ADH1"
"10",1,0.82,"P00330_ADH1"
