CSTBintensity.front,CSTBintensity.inner,CSTBscoreCOMB.front,CSTBscoreCOMB.inner,CSTBscoreFINAL.front,CSTBscoreFINAL.inner
1,1,2,2,0,0
1,2,2,4,1,1
1,2,2,4,1,1
1,0,2,0,2,2
,,,,,
2,2,3,4,1,1
1,2,2,4,1,1
1,0,2,1,2,2
,,,,,
1,2,2,3,1,1
1,3,3,5,1,1
1,0,2,0,2,2
1,0,2,1,2,2
1,1,2,2,0,0
1,2,2,4,1,1
1,0,2,0,2,2
,,,,,
1,0,2,0,2,2
1,2,3,3,0,0
1,0,2,0,2,2
1,1,2,2,0,0
2,3,3,5,1,1
1,1,2,2,0,0
1,1,2,2,0,0
,,,,,
1,1,2,2,0,0
1,0,2,0,2,2
1,1,2,2,0,0
1,0,2,0,2,2
1,1,2,2,0,0
1,0,2,0,2,2
1,0,2,0,2,2
1,2,2,4,1,1
1,1,2,2,0,0
1,0,2,0,2,2
1,0,2,0,2,2
,,,,,
1,0,2,0,2,2
1,1,2,2,0,0
1,1,2,2,0,0
1,0,2,0,2,2
1,0,2,0,2,2
1,2,2,3,1,1
1,2,2,3,1,1
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,1,2,2,0,0
,,,,,
1,2,2,3,1,1
2,3,3,5,1,1
,,,,,
1,2,2,4,1,1
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,2,2,3,1,1
1,0,2,0,2,2
1,2,2,4,1,1
,,,,,
1,0,2,0,2,2
1,2,2,3,1,1
2,1,4,2,2,2
,,,,,
1,0,2,0,2,2
1,0,2,0,2,2
2,0,3,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,3,2,6,1,1
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,0,2,0,2,2
1,3,3,6,1,1
1,3,2,5,1,1
1,2,2,6,1,1
,,,,,
1,1,2,3,1,1
1,0,2,0,2,2
1,0,2,0,2,2
1,2,2,4,1,1
1,0,2,0,2,2
1,0,2,0,2,2
1,2,2,5,1,1
1,2,2,4,1,1
1,1,2,2,0,0
1,2,2,5,1,1
,,,,,
3,2,5,5,0,0
0,0,0,0,0,0
1,2,3,4,1,1
2,2,4,4,0,0
1,1,3,2,2,2
2,2,5,4,2,2
0,0,0,0,0,0
1,1,3,4,1,1
2,2,4,4,0,0
2,1,4,3,2,2
3,3,5,5,0,0
3,3,5,5,0,0
1,0,3,0,2,2
3,2,5,4,2,2
1,2,3,4,1,1
1,2,3,4,1,1
1,2,3,4,1,1
1,2,3,4,1,1
1,1,3,3,0,0
2,2,4,4,0,0
2,2,5,5,0,0
2,3,5,6,1,1
3,3,6,6,0,0
3,2,5,5,0,0
2,2,4,4,0,0
0,1,0,3,1,1
3,3,5,6,1,1
1,2,3,5,1,1
3,2,5,5,0,0
1,1,2,2,0,0
