peptides,Pep1,Pep2,Pep3,Pep4,Pep5,Pep6,Pep7,Pep8,Pep9,Pep10,Pep11,Pep12,Pep13,Pep14
N0,0.001033333333333,0.1869,0.032866666666667,0.0792,0.736466666666667,0.000133333333333,0.007166666666667,0.0016,0.003066666666667,0.002066666666667,0.0013,0.1396,7.96443333333333,4.71856666666667
N0,0.002433333333333,0.038533333333333,0.007533333333333,0.005433333333333,0.006566666666667,0.000166666666667,0.002166666666667,0.000766666666667,0.0009,0.000466666666667,0.0047,0.018866666666667,0.143533333333333,0.053833333333333
N0,0.001333333333333,0.357766666666667,0.0162,0.019666666666667,0.112433333333333,0.0001,0.0021,0.0013,0.0023,0.000666666666667,0.0013,0.0371,0.0098,0.009966666666667
N0,0.0007,0.0356,0.001633333333333,0.0023,0.008533333333333,6.66666666666667E-05,0.0011,0.000233333333333,0.0009,0.000533333333333,0.0028,0.012,0.257033333333333,0.142566666666667
N0,0.000466666666667,0.0124,0.000433333333333,0.0004,0.002333333333333,0.000133333333333,0.0011,0.000366666666667,0.000533333333333,0.000133333333333,0.000866666666667,0.0134,0.015233333333333,0.004166666666667
N0,0.000866666666667,0.043033333333333,0.026466666666667,0.0285,0.1701,0.0002,0.004866666666667,0.002133333333333,0.001766666666667,0.002133333333333,0.001533333333333,0.1731,0.022566666666667,0.016333333333333
N0,0.000666666666667,0.0141,0.000566666666667,0.0005,0.001933333333333,0,0.000866666666667,0.0004,0.000933333333333,0.000166666666667,0.0011,0.004366666666667,2.60926666666667,1.04003333333333
N0,0.000966666666667,0.030266666666667,0.0094,0.002833333333333,0.017266666666667,0.0002,0.001433333333333,0.001766666666667,0.0011,0.002233333333333,0.001466666666667,0.031733333333333,1.02163333333333,0.589566666666667
N0,0.001066666666667,0.011266666666667,0.0037,0.003466666666667,0.090566666666667,0.012633333333333,0.002666666666667,0.000633333333333,0.006633333333333,0.0009,0.0032,0.011866666666667,0.632733333333333,0.295566666666667
N0,0.000866666666667,0.009233333333333,0.001333333333333,0.001366666666667,0.037366666666667,0.008866666666667,0.001633333333333,0.0005,0.001066666666667,0.000866666666667,0.001766666666667,0.0066,0.498733333333333,0.2524
N0,0.000766666666667,0.006333333333333,0.002933333333333,0.001933333333333,0.0814,0.0132,0.0013,0.000933333333333,0.000966666666667,0.000466666666667,0.002433333333333,0.018433333333333,1.7502,0.7138
N+,0.0011,0.007966666666667,0.005133333333333,0.003833333333333,0.029233333333333,0.0059,0.0013,0.000366666666667,0.002933333333333,0.0007,0.001633333333333,0.0019,0.179766666666667,0.105233333333333
N+,0.000633333333333,0.0399,0.002266666666667,0.000933333333333,0.004333333333333,0,0.000933333333333,0.000233333333333,0.000533333333333,0.000333333333333,0.004166666666667,0.002366666666667,0.1521,0.0673
N+,0.001733333333333,0.061533333333333,0.010166666666667,0.006333333333333,0.126033333333333,0.0199,0.002933333333333,0.003066666666667,0.0041,0.000833333333333,0.003666666666667,0.031266666666667,1.2184,0.5025
N+,0.000866666666667,0.4103,0.010933333333333,0.013433333333333,0.104633333333333,0.000166666666667,0.0019,0.000666666666667,0.001233333333333,0.0022,0.001266666666667,0.1024,8.24316666666667,5.0771
N+,0.000766666666667,0.1082,0.002133333333333,0.0009,0.002866666666667,3.33333333333333E-05,0.000966666666667,0.000166666666667,0.000633333333333,0.0003,0.000933333333333,0.001566666666667,1.96963333333333,0.621733333333333
N+,0.000733333333333,0.0074,0.000466666666667,0.000833333333333,0.000633333333333,6.66666666666667E-05,0.0011,3.33333333333333E-05,0.000633333333333,0.0002,0.001,0.001166666666667,0.031633333333333,0.0215
N+,0.000833333333333,0.032566666666667,0.000533333333333,0.000533333333333,0.001166666666667,6.66666666666667E-05,0.0012,0.0001,0.000566666666667,0.0001,0.001033333333333,0.0012,0.008266666666667,0.004866666666667
N+,0.000733333333333,0.027033333333333,0.0031,0.002033333333333,0.005033333333333,0.000133333333333,0.001133333333333,0.000366666666667,0.000633333333333,0.000333333333333,0.001966666666667,0.006233333333333,0.046566666666667,0.006433333333333
N+,0.000766666666667,0.041466666666667,0.003833333333333,0.0027,0.009566666666667,0.0001,0.000866666666667,0.001033333333333,0.0016,0.0004,0.004266666666667,0.005066666666667,0.0097,0.005133333333333
N+,0.000566666666667,0.0111,0.000366666666667,0.0005,0.001466666666667,0.0001,0.000966666666667,0.000133333333333,0.000533333333333,0.000166666666667,0.000766666666667,0.005466666666667,0.4311,0.207433333333333
N+,0.000833333333333,0.3848,0.002066666666667,0.0027,0.003266666666667,0.0001,0.001133333333333,0.0002,0.000633333333333,0.000266666666667,0.0008,0.012133333333333,0.0054,0.005133333333333
N+,0.0009,0.2424,0.001166666666667,0.000533333333333,0.001633333333333,6.66666666666667E-05,0.001133333333333,0.000166666666667,0.000466666666667,0.000266666666667,0.0012,0.001066666666667,0.015266666666667,0.0135
N+,0.0007,0.0102,0.000533333333333,0.000566666666667,0.001366666666667,3.33333333333333E-05,0.0012,6.66666666666667E-05,0.0007,0.000133333333333,0.0011,0.001166666666667,2.26293333333333,1.25623333333333
N+,0.000766666666667,0.010166666666667,0.001166666666667,0.001166666666667,0.001333333333333,6.66666666666667E-05,0.001466666666667,3.33333333333333E-05,0.0011,0.000133333333333,0.001033333333333,0.0014,0.035233333333333,0.0231
N+,0.000666666666667,0.007433333333333,0.001166666666667,0.001133333333333,0.003166666666667,3.33333333333333E-05,0.000933333333333,0.0002,0.000633333333333,0.000333333333333,0.000766666666667,0.001833333333333,0.0116,0.008166666666667
N+,0.0007,0.0208,0.0014,0.000666666666667,0.0021,0,0.000866666666667,0.000333333333333,0.003366666666667,0.000233333333333,0.0008,0.002166666666667,0.106666666666667,0.098
N+,0.0006,0.02825,0.00045,0.00095,0.0023,0.0001,0.0015,0.0002,0.0007,0.0001,0.0009,0.004333333333333,0.015833333333333,0.0148
N+,0.000866666666667,0.219833333333333,0.001366666666667,0.0012,0.0014,3.33333333333333E-05,0.000933333333333,0.000233333333333,0.0005,0.000233333333333,0.0009,0.0011,0.010066666666667,0.0088
N+,0.000666666666667,0.0069,0.000433333333333,0.000766666666667,0.001033333333333,0,0.001266666666667,6.66666666666667E-05,0.000466666666667,0.000133333333333,0.000733333333333,0.003766666666667,3.41206666666667,2.51753333333333
N+,0.0014,0.200533333333333,0.0123,0.0099,0.145433333333333,0.000233333333333,0.001733333333333,0.003833333333333,0.003433333333333,0.001666666666667,0.003133333333333,0.062366666666667,1.3493,1.55513333333333
N+,0.000966666666667,0.2242,0.001366666666667,0.000733333333333,0.000966666666667,3.33333333333333E-05,0.001133333333333,6.66666666666667E-05,0.000566666666667,0.000133333333333,0.000833333333333,0.002733333333333,0.005266666666667,0.007566666666667
