	S104	S120	S110	S122	S57	S69	T2	W31	S129	S131	S133	S130	S126	S135	S106	S108	S114	S116	S124	S128	S32	S41	S45	S66	S70	S72	S76	S77	S80	S81	S82	S98
peptides	N0	N0	N0	N0	N0	N0	N0	N0	N0	N0	N0	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+
Pep1	0.001033333333333	0.002433333333333	0.001333333333333	0.0007	0.000466666666667	0.000866666666667	0.000666666666667	0.000966666666667	0.001066666666667	0.000866666666667	0.000766666666667	0.0011	0.000633333333333	0.001733333333333	0.000866666666667	0.000766666666667	0.000733333333333	0.000833333333333	0.000733333333333	0.000766666666667	0.000566666666667	0.000833333333333	0.0009	0.0007	0.000766666666667	0.000666666666667	0.0007	0.0006	0.000866666666667	0.000666666666667	0.0014	0.000966666666667
Pep2	0.1869	0.038533333333333	0.357766666666667	0.0356	0.0124	0.043033333333333	0.0141	0.030266666666667	0.011266666666667	0.009233333333333	0.006333333333333	0.007966666666667	0.0399	0.061533333333333	0.4103	0.1082	0.0074	0.032566666666667	0.027033333333333	0.041466666666667	0.0111	0.3848	0.2424	0.0102	0.010166666666667	0.007433333333333	0.0208	0.02825	0.219833333333333	0.0069	0.200533333333333	0.2242
Pep3	0.032866666666667	0.007533333333333	0.0162	0.001633333333333	0.000433333333333	0.026466666666667	0.000566666666667	0.0094	0.0037	0.001333333333333	0.002933333333333	0.005133333333333	0.002266666666667	0.010166666666667	0.010933333333333	0.002133333333333	0.000466666666667	0.000533333333333	0.0031	0.003833333333333	0.000366666666667	0.002066666666667	0.001166666666667	0.000533333333333	0.001166666666667	0.001166666666667	0.0014	0.00045	0.001366666666667	0.000433333333333	0.0123	0.001366666666667
Pep4	0.0792	0.005433333333333	0.019666666666667	0.0023	0.0004	0.0285	0.0005	0.002833333333333	0.003466666666667	0.001366666666667	0.001933333333333	0.003833333333333	0.000933333333333	0.006333333333333	0.013433333333333	0.0009	0.000833333333333	0.000533333333333	0.002033333333333	0.0027	0.0005	0.0027	0.000533333333333	0.000566666666667	0.001166666666667	0.001133333333333	0.000666666666667	0.00095	0.0012	0.000766666666667	0.0099	0.000733333333333
Pep5	0.736466666666667	0.006566666666667	0.112433333333333	0.008533333333333	0.002333333333333	0.1701	0.001933333333333	0.017266666666667	0.090566666666667	0.037366666666667	0.0814	0.029233333333333	0.004333333333333	0.126033333333333	0.104633333333333	0.002866666666667	0.000633333333333	0.001166666666667	0.005033333333333	0.009566666666667	0.001466666666667	0.003266666666667	0.001633333333333	0.001366666666667	0.001333333333333	0.003166666666667	0.0021	0.0023	0.0014	0.001033333333333	0.145433333333333	0.000966666666667
Pep6	0.000133333333333	0.000166666666667	0.0001	6.66666666666667E-05	0.000133333333333	0.0002	0	0.0002	0.012633333333333	0.008866666666667	0.0132	0.0059	0	0.0199	0.000166666666667	3.33333333333333E-05	6.66666666666667E-05	6.66666666666667E-05	0.000133333333333	0.0001	0.0001	0.0001	6.66666666666667E-05	3.33333333333333E-05	6.66666666666667E-05	3.33333333333333E-05	0	0.0001	3.33333333333333E-05	0	0.000233333333333	3.33333333333333E-05
Pep7	0.007166666666667	0.002166666666667	0.0021	0.0011	0.0011	0.004866666666667	0.000866666666667	0.001433333333333	0.002666666666667	0.001633333333333	0.0013	0.0013	0.000933333333333	0.002933333333333	0.0019	0.000966666666667	0.0011	0.0012	0.001133333333333	0.000866666666667	0.000966666666667	0.001133333333333	0.001133333333333	0.0012	0.001466666666667	0.000933333333333	0.000866666666667	0.0015	0.000933333333333	0.001266666666667	0.001733333333333	0.001133333333333
Pep8	0.0016	0.000766666666667	0.0013	0.000233333333333	0.000366666666667	0.002133333333333	0.0004	0.001766666666667	0.000633333333333	0.0005	0.000933333333333	0.000366666666667	0.000233333333333	0.003066666666667	0.000666666666667	0.000166666666667	3.33333333333333E-05	0.0001	0.000366666666667	0.001033333333333	0.000133333333333	0.0002	0.000166666666667	6.66666666666667E-05	3.33333333333333E-05	0.0002	0.000333333333333	0.0002	0.000233333333333	6.66666666666667E-05	0.003833333333333	6.66666666666667E-05
Pep9	0.003066666666667	0.0009	0.0023	0.0009	0.000533333333333	0.001766666666667	0.000933333333333	0.0011	0.006633333333333	0.001066666666667	0.000966666666667	0.002933333333333	0.000533333333333	0.0041	0.001233333333333	0.000633333333333	0.000633333333333	0.000566666666667	0.000633333333333	0.0016	0.000533333333333	0.000633333333333	0.000466666666667	0.0007	0.0011	0.000633333333333	0.003366666666667	0.0007	0.0005	0.000466666666667	0.003433333333333	0.000566666666667
Pep10	0.002066666666667	0.000466666666667	0.000666666666667	0.000533333333333	0.000133333333333	0.002133333333333	0.000166666666667	0.002233333333333	0.0009	0.000866666666667	0.000466666666667	0.0007	0.000333333333333	0.000833333333333	0.0022	0.0003	0.0002	0.0001	0.000333333333333	0.0004	0.000166666666667	0.000266666666667	0.000266666666667	0.000133333333333	0.000133333333333	0.000333333333333	0.000233333333333	0.0001	0.000233333333333	0.000133333333333	0.001666666666667	0.000133333333333
