NSC	SVM-RFE	Beta-Binomial
297	2	38
A0A087WZH9	P00330_ADH1	A0A087WZH9
P09960_LTA4H	P00489_PYGM	P07195_LDHB
REV__Q8NDM7	P52209_PGD	REV__Q8NDM7
P04438	P11142_HSPA8	P09960_LTA4H
P07195_LDHB	CON__P35527_KRT9	Q9UBX7_3_KLK11
CON__P19013	REV__P04280	P04004_VTN
P04004_VTN	P00924_ENO1	Q9NQ38_3_SPINK5
Q9NQ38_3_SPINK5	P04792_HSPB1	CON__P35527_KRT9
P00491_PNP	E5RHG6_TBCA	P01036_CST4
P18206_VCL	P16070_CD44	P01037_CST1
Q9UBX7_3_KLK11	P02750_LRG1	E5RHG6_TBCA
P11413_2_G6PD	P09960_LTA4H	CON__P19013
E5RHG6_TBCA	P01623	P12429_ANXA3
Q14508_WFDC2	CON__P02769_ALB	P05089_2_ARG1
P61586_RHOA	P05386_RPLP1	P04438
P05089_2_ARG1	P14550_AKR1A1	P14550_AKR1A1
Q9UG63_2_ABCF2	P09228_CST2	P06331
P01042_2_KNG1	P22532_SPRR2D	P01598
P06331	P02787_TF	P40925_3_MDH1
P01036_CST4	REV__Q8NDM7	Q14508_WFDC2
CON__P35527_KRT9	P04438	P05386_RPLP1
P01037_CST1	P18510_2_IL1RN	Q8TD19_NEK9
P05386_RPLP1	A0A087WZH9	P11413_2_G6PD
Q8TD19_NEK9	P01859_IGHG2	P02760_AMBP
P07858_CTSB	Q96DA0_ZG16B	P61586_RHOA
P09228_CST2	P07339_CTSD	P09228_CST2
Q9UBC9_SPRR3	P19961_AMY2B	P07858_CTSB
P12429_ANXA3	P01877_IGHA2	P16070_CD44
A0A0A0MS15	P01616	REV__P04280
P06737_PYGL	P32119_PRDX2	A0A0A0MS15
A0A087WVW2_IGHG3	CON__P13645_KRT10	P01042_2_KNG1
P02760_AMBP	A0A087WV23_SH3BGRL3	P35321_SPRR1A
P14550_AKR1A1	P31025_LCN1	P18206_VCL
A0A087WV23_SH3BGRL3	P01714	P04280_PRB1
