genes,P02769_BSA,P00330_ADH1,P00489_GPB,P00924_ENO1,class
12.5fmol,28.57409,27.64286,28.37638,28.03391,12.5fmol_C1
12.5fmol,26.90896,26.94257,27.25521,27.15846,12.5fmol_C10
12.5fmol,27.83792,27.21178,27.77643,28.03449,12.5fmol_C2
12.5fmol,25.69331,26.51147,26.92762,26.87455,12.5fmol_C3
12.5fmol,26.90793,26.74214,27.68392,27.09628,12.5fmol_C4
12.5fmol,28.07755,28.15132,29.11235,28.97897,12.5fmol_C5
12.5fmol,27.44095,27.16997,27.76958,26.86997,12.5fmol_C8
12.5fmol,27.50074,27.45591,28.16524,28.09914,12.5fmol_C9
12.5fmol,26.49899,25.98553,27.56326,27.13497,12.5fmol_Ro
25fmol,29.32907,29.43968,29.70484,28.95494,25fmol_semtumor_S09
25fmol,28.73538,28.93061,28.83503,27.91957,25fmol_semtumor_S36
25fmol,28.16164,28.28251,28.76338,28.43678,25fmol_semtumor_S40
25fmol,27.50347,28.02226,28.26137,27.60215,25fmol_semtumor_S49
25fmol,27.60067,28.18914,28.70491,27.96747,25fmol_semtumor_S55
25fmol,29.03005,29.4544,29.81075,29.26676,25fmol_semtumor_S57
25fmol,28.11912,28.77533,29.2541,28.24744,25fmol_semtumor_S61
25fmol,28.50294,28.68706,29.32002,28.82077,25fmol_semtumor_S64
25fmol,27.26329,27.46754,27.90644,27.44711,25fmol_semtumor_S68
25fmol,28.06825,28.54668,28.83732,28.55921,25fmol_semtumor_T16
50fmol,29.33426,29.89729,29.78958,28.99518,50fmol_T1T2_S17
50fmol,28.54399,29.18987,29.19084,28.31445,50fmol_T1T2_S57
50fmol,29.19667,29.61393,29.5549,28.38035,50fmol_T1T2_S77
50fmol,29.85442,30.22101,30.44904,29.51228,50fmol_T1T2_S78
50fmol,29.68944,30.28074,30.42702,29.19737,50fmol_T1T2_S79
50fmol,30.74383,30.94077,31.13259,30.54858,50fmol_T1T2_T12
50fmol,30.22688,30.61395,30.75947,30.05349,50fmol_T1T2_T20
50fmol,29.81546,29.87291,29.99645,29.01172,50fmol_T1T2_T22
50fmol,29.58604,29.72109,29.87395,29.44902,50fmol_T1T2_T23
