Marker	AUC	SE.AUC	LowerLimit	UpperLimit	z	p-value
Pep1	0.62338	0.10772	0.41226	0.83449	1.1454	0.25204
Pep2	0.45022	0.10736	0.2398	0.66063	-0.46371	0.64285
Pep3	0.68615	0.10366	0.48297	0.88933	1.79566	0.07255
Pep4	0.68615	0.10366	0.48297	0.88933	1.79566	0.07255
Pep5	0.79654	0.09005	0.62004	0.97303	3.29303	0.00099
Pep6	0.74459	0.0976	0.5533	0.93588	2.50604	0.01221
Pep7	0.72511	0.09989	0.52933	0.92088	2.25364	0.02422
Pep8	0.83117	0.08366	0.66719	0.99515	3.95833	8e-05
Pep9	0.69913	0.10252	0.4982	0.90007	1.94242	0.05209
Pep10	0.7684	0.09441	0.58335	0.95345	2.84276	0.00447
Pep11	0.72511	0.09989	0.52933	0.92088	2.25364	0.02422
Pep12	0.86147	0.07699	0.71058	1.01236	4.69528	0
Pep13	0.62771	0.10751	0.41699	0.83843	1.18783	0.2349
Pep14	0.61039	0.10826	0.3982	0.82258	1.01967	0.30788
