Attribute 1, Attribute 2, Pearson's Chi-squared test, Pearson's Chi-squared test with Yates' continuity correction, Pearson's Chi-squared test with simulated p-value (based on 2000 replicates)
Group_code,Gender,0.403414303452219,0.710376368207145,0.652673663168416
Group_code,Age_code,0.370166147097585,0.572583822657144,0.511244377811094
Group_code,T_code,0.0428182299512104,0.0961551821148709,0.0739630184907546
Group_code,N_code,2.07982242045561e-09,1.61310186008809e-08,0.000499750124937531
Group_code,Survival_code,0.0896878165290145,0.205420734649127,0.196901549225387
Group_code,Smoking_habit_code,0.448989723596216,0.999999999999999,1
Group_code,Drinking_habit_code,0.590150118724052,1,1
Group_code,CYTB,0.0556332531570985,0.125740230773359,0.12743628185907
Group_code,COL6A1,0.0146154368987537,0.0368076982870229,0.0359820089955022
Group_code,LKHA4,0.00598021941133381,0.0169785750318702,0.0109945027486257
Group_code,ITAV,0.0193565459193571,0.0491385961481367,0.0289855072463768
Group_code,PGK1,0.00598021941133381,0.0169785750318702,0.0109945027486257
Group_code,MB,0.0193565459193571,0.0491385961481367,0.0304847576211894
Group_code,NDRG1,0.00598021941133381,0.0169785750318702,0.00999500249875063
Gender,Age_code,0.307855304860259,0.564364719046651,0.378810594702649
Gender,T_code,0.0335176561059452,0.100448206471164,0.0529735132433783
Gender,N_code,0.492716677227088,0.81912947086654,0.650174912543728
Gender,Survival_code,0.451949889020071,0.83166293018583,0.606696651674163
Gender,Smoking_habit_code,0.587884846644063,1,1
Gender,Drinking_habit_code,0.499888837211781,0.999999999999999,1
Gender,CYTB,0.609134009051957,1,1
Gender,COL6A1,0.369109911304352,0.670519137097203,0.639180409795102
Gender,LKHA4,0.439505781778397,0.771903821255028,0.649175412293853
Gender,ITAV,0.519183916862004,0.881747163377889,0.664667666166917
Gender,PGK1,0.439505781778397,0.771903821255028,0.652673663168416
Gender,MB,0.519183916862004,0.881747163377889,0.668165917041479
Gender,NDRG1,0.439505781778397,0.771903821255028,0.645177411294353
Age_code,T_code,0.112029138116449,0.213619726541447,0.181909045477261
Age_code,N_code,0.220093821935358,0.368508313610709,0.308345827086457
Age_code,Survival_code,0.274748175612944,0.464309288150063,0.325337331334333
Age_code,Smoking_habit_code,0.0703243134647059,0.287660909985058,0.142428785607196
Age_code,Drinking_habit_code,0.310610771465269,0.693351813204741,0.540729635182409
Age_code,CYTB,0.854952726152961,1,1
Age_code,COL6A1,0.905829248418318,1,1
Age_code,LKHA4,0.835792029333333,1,1
Age_code,ITAV,0.873237331842697,1,1
Age_code,PGK1,0.835792029333333,1,1
Age_code,MB,0.873237331842697,1,1
Age_code,NDRG1,0.835792029333333,1,1
T_code,N_code,0.0747913775869447,0.154043546543748,0.152423788105947
T_code,Survival_code,0.9052177756703,1,1
T_code,Smoking_habit_code,0.537504601609116,0.999999999999999,1
T_code,Drinking_habit_code,0.442695461559661,0.999999999999998,1
T_code,CYTB,0.425556116419129,0.690328329464193,0.690154922538731
T_code,COL6A1,0.121866878082751,0.238535505752095,0.144427786106947
T_code,LKHA4,0.0707598148030573,0.152558027499679,0.137931034482759
T_code,ITAV,0.188969861871701,0.353786318121188,0.254372813593203
T_code,PGK1,0.0707598148030573,0.152558027499679,0.134932533733133
T_code,MB,0.188969861871701,0.353786318121188,0.251874062968516
T_code,NDRG1,0.0707598148030573,0.152558027499679,0.117941029485257
N_code,Survival_code,0.0491185501883128,0.119561954355924,0.0919540229885057
N_code,Smoking_habit_code,0.380491622774224,0.979421769019255,0.438780609695152
N_code,Drinking_habit_code,0.0721243227598351,0.274901337332756,0.135432283858071
N_code,CYTB,0.0896860217703642,0.18685750266304,0.133433283358321
N_code,COL6A1,0.0293266045430929,0.0671875685225636,0.039480259870065
N_code,LKHA4,0.0126156672218046,0.0325094446457196,0.0344827586206897
N_code,ITAV,0.0354752571227708,0.0823569533784088,0.0669665167416292
N_code,PGK1,0.0126156672218046,0.0325094446457196,0.0274862568715642
N_code,MB,0.0354752571227708,0.0823569533784088,0.0669665167416292
N_code,NDRG1,0.0126156672218046,0.0325094446457196,0.0239880059970015
Survival_code,Smoking_habit_code,0.210387094319856,0.60695812900937,0.488255872063968
Survival_code,Drinking_habit_code,0.11891306865415,0.343766448245705,0.239380309845077
Survival_code,CYTB,0.37470967415186,0.647744929284043,0.404297851074463
Survival_code,COL6A1,0.618401752324014,0.930536041735686,0.692653673163418
Survival_code,LKHA4,0.37470967415186,0.647744929284043,0.424287856071964
Survival_code,ITAV,0.37470967415186,0.647744929284043,0.410794602698651
Survival_code,PGK1,0.37470967415186,0.647744929284043,0.418290854572714
Survival_code,MB,0.37470967415186,0.647744929284043,0.436281859070465
Survival_code,NDRG1,0.37470967415186,0.647744929284043,0.411294352823588
Smoking_habit_code,Drinking_habit_code,3.94719167503609e-06,0.000822071824671673,0.00599700149925037
Smoking_habit_code,CYTB,0.448989723596216,0.999999999999999,1
Smoking_habit_code,COL6A1,0.40914276003224,0.999999999999999,1
Smoking_habit_code,LKHA4,0.448989723596216,0.999999999999999,1
Smoking_habit_code,ITAV,0.448989723596216,0.999999999999999,1
Smoking_habit_code,PGK1,0.448989723596216,0.999999999999999,1
Smoking_habit_code,MB,0.448989723596216,0.999999999999999,1
Smoking_habit_code,NDRG1,0.448989723596216,0.999999999999999,1
Drinking_habit_code,CYTB,0.590150118724052,1,1
Drinking_habit_code,COL6A1,0.699972952949434,1,1
Drinking_habit_code,LKHA4,0.590150118724052,1,1
Drinking_habit_code,ITAV,0.590150118724052,1,1
Drinking_habit_code,PGK1,0.590150118724052,1,1
Drinking_habit_code,MB,0.590150118724052,1,1
Drinking_habit_code,NDRG1,0.590150118724052,1,1
CYTB,COL6A1,1.4222714592819e-07,1.10170001469461e-06,0.000499750124937531
CYTB,LKHA4,2.4367256694354e-08,2.22691431832198e-07,0.000499750124937531
CYTB,ITAV,3.05023992145263e-09,3.39031217117885e-08,0.000499750124937531
CYTB,PGK1,2.4367256694354e-08,2.22691431832198e-07,0.000499750124937531
CYTB,MB,3.05023992145263e-09,3.39031217117885e-08,0.000499750124937531
CYTB,NDRG1,2.4367256694354e-08,2.22691431832198e-07,0.000499750124937531
COL6A1,LKHA4,2.41741442331915e-09,2.16074600107302e-08,0.000499750124937531
COL6A1,ITAV,1.98218032312575e-08,1.64509817720789e-07,0.000499750124937531
COL6A1,PGK1,2.41741442331915e-09,2.16074600107302e-08,0.000499750124937531
COL6A1,MB,1.98218032312575e-08,1.64509817720789e-07,0.000499750124937531
COL6A1,NDRG1,2.41741442331915e-09,2.16074600107302e-08,0.000499750124937531
LKHA4,ITAV,2.68170182401789e-09,2.64234165576479e-08,0.000499750124937531
LKHA4,PGK1,2.53962858947087e-10,2.71283304935912e-09,0.000499750124937531
LKHA4,MB,2.68170182401789e-09,2.64234165576479e-08,0.000499750124937531
LKHA4,NDRG1,2.53962858947087e-10,2.71283304935912e-09,0.000499750124937531
ITAV,PGK1,2.68170182401789e-09,2.64234165576479e-08,0.000499750124937531
ITAV,MB,2.53962858947087e-10,3.06587740557119e-09,0.000499750124937531
ITAV,NDRG1,2.68170182401789e-09,2.64234165576479e-08,0.000499750124937531
PGK1,MB,2.68170182401789e-09,2.64234165576479e-08,0.000499750124937531
PGK1,NDRG1,2.53962858947087e-10,2.71283304935912e-09,0.000499750124937531
MB,NDRG1,2.68170182401789e-09,2.64234165576479e-08,0.000499750124937531
