,12.5fmol_C1,12.5fmol_C10,12.5fmol_C2,12.5fmol_C4,12.5fmol_C5,12.5fmol_C8,12.5fmol_Ro,25fmol_semtumor_S09,25fmol_semtumor_S36,25fmol_semtumor_S49,25fmol_semtumor_S57,25fmol_semtumor_S61,25fmol_semtumor_S64,25fmol_semtumor_S68,25fmol_semtumor_T16,50fmol_T1T2_S17,50fmol_T1T2_S57,50fmol_T1T2_S77,50fmol_T1T2_T12,50fmol_T1T2_T20,50fmol_T1T2_T22,50fmol_T1T2_T23
genes,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol
A0A024R6X1_CES2,22.49417,23.05786,21.99359,23.39074,22.77583,22.99435,21.84575,22.78686,22.90042,22.1739,0,22.37528,21.78947,24.26234,21.79674,0,22.69447,0,22.14513,22.64287,21.99931,23.48038
A0A075B6L0_IGLC3,29.75856,29.05564,29.39358,29.25451,29.72441,30.26819,30.07763,29.94,30.22871,29.49846,30.3954,31.51484,30.16878,28.82256,30.18966,28.92357,29.62836,30.55773,30.09371,28.54326,29.00525,29.28335
A0A087WVW2_IGHG3,24.88832,26.17986,25.51208,26.24291,25.59118,26283,26.36281,26.85614,30.05038,26.23429,28.13448,28.47896,26.13338,27.35976,27.17016,27.05703,28.48443,27.77147,26.54572,26.00928,26.60272,27.3554
P06331,22.04584,21.56444,21.47041,21.81886,22.6548,22.12906,22.40413,0,21.41013,21.59687,22.14774,20.88859,22.28534,21.41777,22.21324,21.68974,21.29306,22.8742,22.40424,0,22.17594,21.49833
A0A075B6R9,20.58077,21.35159,0,21.15307,22.13856,21.35628,22.27975,21.70969,24.27973,20.98871,21.36506,25.20851,20.98329,21.72363,20.58123,20.18894,21.28675,21.48841,21.16515,0,21.63432,20.54557
A0A087WSX4,21.49395,20.85863,0,20.91627,21.49722,22.24467,22.31979,20.13971,22.69916,21.26934,0,23.91095,21.65905,21159,21.28563,21.22788,22.07002,24.03187,22.0806,0,21.61185,0
A0A087WT59_TTR,21.59523,20.46364,0,21.90958,0,23.50094,22.37724,22.56023,22.22317,23.05543,23.08623,22.2845,21.49277,20.35703,23.89587,0,23.4742,23.77585,22.38058,0,21.94249,23.46426
P19823_ITIH2,22.55192,0,22.07878,0,0,20.56104,22.18026,21.22359,23.79709,21.55936,0,0,0,20.90051,23.11094,21.66423,23.63412,22.20305,22.20174,0,22.36383,0
A0A087WX49_IGLL5,22.22173,23.27824,23.72338,23.99524,24.33047,24.41015,24.03297,24.14305,24.85928,22.35824,24.40152,26.00385,24.05796,23.98146,22.84282,23.59742,23.77966,24.50815,24.27782,21.07568,25.82384,23.32347
A0A0A0MS15,22.41031,21.69884,22.45483,22.26731,22.58841,21.43878,22.52337,21.65609,20.98364,21.9259,22.09841,25.76299,22.38329,21.58197,22.19289,21.6847,21.60625,21.36634,21.7157,22.62618,22.62861,21.4709
A0A087WV47_IGHG1,28.12445,28.69086,26.96994,28.28925,27.79965,29.49821,28.14662,31.31019,31.54416,28.54156,29.73025,30.24751,27.73931,29.73236,29.27985,29.30459,30.08068,30.87701,29.09172,27.35943,29.25208,29.81871
A0A087WW89,28.0774,27.15991,27.30408,26.60371,28.62951,27467,27.73937,27.42109,27.98625,26.93213,27.63222,28.92516,27.8259,27.21531,27.30835,26.79017,26.62282,27.48631,27.90098,27.99118,27.99615,26.55289
