protein, frequency
A0A024R6X1_CES2,7
A0A075B6L0_IGLC3,16
A0A087WVW2_IGHG3,83
P06331,13
A0A075B6R9,73
A0A087WSX4,22
A0A087WT59_TTR,96
P19823_ITIH2,86
A0A087WX49_IGLL5,77
A0A0A0MS15,46
A0A087WV47_IGHG1,18
A0A087WW89,94
P06753_2_TPM3,28
Q9Y6R7_FCGBP,75
A0A087WZH9,31
A0A087WZM2_RNASET2,186
A0A087WZW8,69
A0A087X130,18
A0A075B6P5,103
A0A087X2C0,24
Q06830_PRDX1,10
P13797_PLS3,49
A8K2U0_A2ML1,5
P08670_VIM,24
P15153_RAC2,59
P09429_HMGB1,64
P62258_YWHAE,63
B4E1Z4_CFB,13
B5MDF5_RAN,80
B7Z6Z4_MYL6,266
P06454_PTMA,79
P40925_3_MDH1,12
P51149_RAB7A,110
C9JC84_FGG,52
P19971_2_TYMP,20
Q9UG63_2_ABCF2,19
P30838_ALDH3A1,6
C9JV77_AHSG,153
O15145_ARPC3,91
CON__P00761,705
CON__P01966,101
CON__P02538_KRT6A,43
CON__P02768_1_ALB,80
P02769_BSA,967
CON__P08779_KRT16,34
CON__P13645_KRT10,46
CON__P13646_1,57
CON__P35527_KRT9,86
CON__P60712_ACTB,16
CON__Q3MHH8,21
O75083_WDR1,129
D6RF35_GC,5
E5RHG6_TBCA,235
E7EQR4_EZR,15
P02788_LTF,17
E7EX29_YWHAZ,66
P04406_GAPDH,29
P11413_2_G6PD,62
P55786_NPEPPS,17
O00764_PDXK,70
P0C0L5_C4B,230
P22079_LPO,90
P61160_2_ACTR2,77
Q14697_2_GANAB,121
P09382_LGALS1,26
P17858_PFKL,35
P06576_ATP5B,7
Q9NZL9_MAT2B,141
J3KPA1_CRISP3,105
P04075_2_ALDOA,112
P68431_HIST1H3A,40
O00299_CLIC1,86
O00391_QSOX1,87
O15511_2_ARPC5,73
O43707_ACTN4,61
O60888_2_CUTA,24
O75594_PGLYRP1,9
O95274_LYPD3,21
O95336_PGLS,19
P00330_ADH1,6025
P00338_3_LDHA,15
P00450_CP,58
P00489_GPB,40
P00491_PNP,63
P00558_PGK1,87
P00738_HP,78
P00924_ENO1,348
P01008_SERPINC1,33
P01009_SERPINA1,363
P01023_A2M,157
P01024_C3,139
P01033_TIMP1,54
P01034_CST3,34
P01036_CST4,6
P01037_CST1,211
P01042_2_KNG1,59
P01591_IGJ,24
P01593,16
P01598,37
P01616,105
P01622,98
P01623,60
P01624,18
P06314_IGKV4_1,35
P01714,15
P01717,185
P01763,76
P01767,23
P01779,19
P01780,41
P01833_PIGR,18
P01859_IGHG2,530
P01861_IGHG4,131
P01876_IGHA1,25
P01877_IGHA2,16
P02647_APOA1,49
P02671_FGA,97
P02675_FGB,329
P02750_LRG1,19
P02753_RBP4,72
P02760_AMBP,38
P02763_ORM1,113
P02787_TF,160
P02790_HPX,120
P02814_SMR3B,28
P03973_SLPI,79
P04004_VTN,94
P04040_CAT,34
P04080_CSTB,68
P04083_ANXA1,19
P04196_HRG,35
P04217_A1BG,22
P04264_KRT1,100
P04280_PRB1,19
P04745_AMY1A,27
P04792_HSPB1,64
P04899_4_GNAI2,55
P05109_S100A8,54
P05164_3_MPO,83
P05386_RPLP1,187
P06396_GSN,97
P06702_S100A9,73
P06733_ENO1,197
A0A0A0MTS2_GPI,94
P06870_KLK1,58
P07108_6_DBI,29
P07237_P4HB,28
P07339_CTSD,26
P07737_PFN1,21
P07858_CTSB,20
P07900_2_HSP90AA1,72
P07996_THBS1,13
P08107_HSPA1A,78
P08238_HSP90AB1,86
P08246_ELANE,68
P08311_CTSG,21
P08571_CD14,20
P08603_CFH,114
P09211_GSTP1,10
P09228_CST2,284
P09960_LTA4H,91
P0C0S8_HIST1H2AG,12
P10412_HIST1H1E,107
P10599_TXN,5
P10909_2_CLU,17
P11021_HSPA5,15
P11142_HSPA8,18
P11215_2_ITGAM,47
P12273_PIP,84
P12429_ANXA3,234
P12814_3_ACTN1,42
P13688_CEACAM1,87
P13796_LCP1,14
P14174_MIF,81
P14550_AKR1A1,82
P14618_PKM2,81
P14780_MMP9,15
P16401_HIST1H1B,73
P16402_HIST1H1D,47
P16403_HIST1H1C,41
P17174_GOT1,17
P17931_LGALS3,22
P18510_2_IL1RN,12
P18669_PGAM1,63
P19961_AMY2B,36
P20061_TCN1,41
P20160_AZU1,31
P20618_PSMB1,14
P21333_FLNA,75
P22314_UBA1,159
Q32Q12_NME1_NME2,48
P22532_SPRR2D,11
P22894_MMP8,37
P23280_CA6,59
P23284_PPIB,25
P23381_WARS,67
E9PK25_CFL1,79
P24158_PRTN3,87
P25311_AZGP1,16
P26038_MSN,53
P28325_CST5,70
P29401_2_TKT,9
P29508_SERPINB3,77
P30044_PRDX5,88
P30101_PDIA3,19
P30740_SERPINB1,14
P31025_LCN1,23
P31146_CORO1A,18
P31151_S100A7,41
P31946_2,15
P31947_SFN,56
P31949_S100A11,72
P32926_DSG3,14
P35321_SPRR1A,20
P35579_MYH9,42
P36952_SERPINB5,13
P37802_2_TAGLN2,35
P37837_TALDO1,66
P40121_CAPG,13
B1AK88_CAPZB,92
P50395_GDI2,19
P52209_PGD,173
P52566_ARHGDIB,46
P52907_CAPZA1,16
P53634_CTSC,13
P55058_PLTP,12
P59665_DEFA1,14
P59998_3_ARPC4,15
P60174_TPI1,215
P61158_ACTR3,49
P61586_RHOA,23
P61626_LYZ,15
P61769_B2M,21
P62328_TMSB4X,68
P62805_HIST1H4A,20
P62937_PPIA,73
P62942_FKBP1A,105
P63261_ACTG1,96
P63313_TMSB10,24
P68032_ACTC1,100
P68371_TUBB4B,41
P68871_HBB,98
P69905_HBA1,75
P78417_GSTO1,70
X6R8F3_LCN2,105
P80748,50
Q01469_FABP5,57
Q01518_CAP1,86
Q02413_DSG1,17
Q02487_DSC2,13
Q07654_TFF3,25
Q08188_TGM3,57
Q08380_LGALS3BP,22
Q14508_WFDC2,14
Q14847_LASP1,36
Q14974_KPNB1,71
Q14CN2_CLCA4,13
H0YBX6_UBE2V2,57
A0A087WV23_SH3BGRL3,26
Q68D86_CCDC102B,9
Q6P5S2_C6orf58,90
Q8N4F0_BPIFB2,11
Q8TAX7_MUC7,97
Q8TDL5_BPIFB1,30
Q96DA0_ZG16B,66
Q96DR5_BPIFA2,18
Q99536_VAT1,68
Q99879_HIST1H2BM,168
Q9BQR3_PRSS27,21
Q9BRA2_TXNDC17,148
Q9BRF8_CPPED1,17
Q9HC84_MUC5B,29
Q9HD89_RETN,34
Q9NQ38_3_SPINK5,238
Q9UBC9_SPRR3,11
Q9UBG3_CRNN,39
Q9UBX7_3_KLK11,32
Q9UGM3_6_DMBT1,86
Q9UIV8_SERPINB13,17
Q9UKR3_KLK13,159
V9HW75_NUCB2,35
