*N,acc_tree,groups
2,0.833333333333,Q99879_HIST1H2BM,CON__P00761
2,0.833333333333,P18669_PGAM1,P07339_CTSD
2,0.833333333333,CON__P35527_KRT9,Q9NZL9_MAT2B
2,0.888888888889,CON__P00761,P01009_SERPINA1
2,0.888888888889,CON__P00761,P01008_SERPINC1
2,0.833333333333,CON__P00761,P22314_UBA1
2,0.833333333333,CON__P00761,P02675_FGB
3,0.833333333333,A0A087WV47_IGHG1,P18669_PGAM1,P07339_CTSD
3,0.833333333333,A0A087WV47_IGHG1,P05386_RPLP1,CON__P00761
3,0.833333333333,A0A087WV47_IGHG1,P05386_RPLP1,P14174_MIF
3,0.833333333333,A0A087WV47_IGHG1,CON__P00761,P01009_SERPINA1
3,0.888888888889,A0A087WV47_IGHG1,CON__P00761,P02675_FGB
3,0.833333333333,A0A087WV47_IGHG1,P07339_CTSD,CON__P08779_KRT16
3,0.833333333333,Q14CN2_CLCA4,Q99879_HIST1H2BM,CON__P00761
3,0.944444444444,Q14CN2_CLCA4,P05386_RPLP1,CON__P00761
3,0.833333333333,Q14CN2_CLCA4,P05386_RPLP1,P14174_MIF
3,0.888888888889,Q14CN2_CLCA4,CON__P00761,P01009_SERPINA1
3,0.833333333333,Q14CN2_CLCA4,CON__P00761,P22314_UBA1
3,0.833333333333,Q14CN2_CLCA4,CON__P00761,P02675_FGB
3,0.833333333333,Q14CN2_CLCA4,CON__P00761,P07339_CTSD
3,0.833333333333,Q14CN2_CLCA4,P07339_CTSD,O00764_PDXK
3,0.833333333333,P23284_PPIB,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P23284_PPIB,Q99879_HIST1H2BM,P61586_RHOA
3,0.833333333333,P23284_PPIB,Q99879_HIST1H2BM,P14174_MIF
3,0.833333333333,P23284_PPIB,P05386_RPLP1,P14174_MIF
3,0.833333333333,P23284_PPIB,CON__P35527_KRT9,Q9NZL9_MAT2B
3,0.833333333333,P23284_PPIB,CON__P00761,P02675_FGB
3,0.833333333333,P23284_PPIB,CON__P00761,P62258_YWHAE
3,0.944444444444,P62937_PPIA,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P62937_PPIA,P05386_RPLP1,CON__P00761
3,0.833333333333,P62937_PPIA,P05386_RPLP1,P14174_MIF
3,0.944444444444,P62937_PPIA,CON__P00761,Q08188_TGM3
3,0.888888888889,P62937_PPIA,CON__P00761,P01008_SERPINC1
3,0.833333333333,P62937_PPIA,CON__P00761,B7Z6Z4_MYL6
3,0.944444444444,P62937_PPIA,CON__P00761,P22314_UBA1
3,0.833333333333,P62937_PPIA,CON__P00761,P02675_FGB
3,0.833333333333,P62937_PPIA,CON__P00761,P62258_YWHAE
3,0.833333333333,P62937_PPIA,CON__P00761,P00924_ENO1
3,0.833333333333,P62937_PPIA,CON__P00761,P07339_CTSD
3,0.833333333333,P62937_PPIA,CON__P00761,P00330_ADH1
3,0.833333333333,P62937_PPIA,CON__P00761,A0A087WV23_SH3BGRL3
3,0.833333333333,Q02413_DSG1,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,Q02413_DSG1,Q99879_HIST1H2BM,P14174_MIF
3,0.888888888889,Q02413_DSG1,P05386_RPLP1,CON__P00761
3,0.833333333333,Q02413_DSG1,P05386_RPLP1,P14174_MIF
3,0.833333333333,Q02413_DSG1,CON__P00761,P01009_SERPINA1
3,0.888888888889,Q02413_DSG1,CON__P00761,Q08188_TGM3
3,0.833333333333,Q02413_DSG1,CON__P00761,P01008_SERPINC1
3,0.888888888889,Q02413_DSG1,CON__P00761,P22314_UBA1
