*N,acc_tree,groups
2,0.833333333333,A0A024R6X1_CES2,P22079_LPO
2,0.833333333333,B7Z6Z4_MYL6,P22079_LPO
2,0.833333333333,CON__P00761,P00330_ADH1
2,0.888888888889,CON__P00761,P01009_SERPINA1
2,0.833333333333,CON__P00761,P02675_FGB
2,0.833333333333,CON__P00761,P04080_CSTB
2,0.888888888889,CON__P00761,P22314_UBA1
2,0.833333333333,CON__P00761,Q08188_TGM3
2,0.833333333333,CON__P00761,Q99879_HIST1H2BM
2,0.888888888889,CON__P35527_KRT9,Q9NZL9_MAT2B
2,0.833333333333,CON__Q3MHH8,P07339_CTSD
2,0.833333333333,P18669_PGAM1,P31946_2
