*N,acc_tree,groups
2,0.833333333333,CON__P00761,Q99879_HIST1H2BM
2,0.888888888889,CON__P00761,P04080_CSTB
2,0.888888888889,CON__P00761,P01009_SERPINA1
2,0.833333333333,CON__P00761,P01008_SERPINC1
3,0.833333333333,P00924_ENO1,CON__P00761,P05386_RPLP1
3,0.833333333333,P00924_ENO1,CON__P00761,CON__P01966
3,0.833333333333,P68431_HIST1H3A,CON__P00761,P04080_CSTB
3,0.833333333333,P68431_HIST1H3A,CON__P00761,P05386_RPLP1
3,0.888888888889,P68431_HIST1H3A,CON__P00761,P01009_SERPINA1
3,0.833333333333,O95336_PGLS,CON__P00761,P04080_CSTB
3,0.888888888889,O95336_PGLS,CON__P00761,P05386_RPLP1
3,0.888888888889,O95336_PGLS,CON__P00761,P01009_SERPINA1
3,0.833333333333,O95336_PGLS,CON__P00761,P01008_SERPINC1
3,0.833333333333,O95336_PGLS,CON__P00761,P02675_FGB
3,0.833333333333,O95336_PGLS,CON__P00761,P00330_ADH1
3,0.833333333333,P26038_MSN,CON__P00761,Q99879_HIST1H2BM
3,0.888888888889,P26038_MSN,CON__P00761,P01009_SERPINA1
3,0.833333333333,P26038_MSN,CON__P00761,P00330_ADH1
3,0.833333333333,P26038_MSN,P52209_PGD,B7Z6Z4_MYL6
3,0.833333333333,P15153_RAC2,CON__P00761,Q06830_PRDX1
3,0.944444444444,P15153_RAC2,CON__P00761,Q99879_HIST1H2BM
3,0.888888888889,P15153_RAC2,CON__P00761,P04080_CSTB
3,0.944444444444,P15153_RAC2,CON__P00761,P05386_RPLP1
3,0.833333333333,P15153_RAC2,CON__P00761,B7Z6Z4_MYL6
3,0.833333333333,P15153_RAC2,CON__P00761,P02675_FGB
3,0.833333333333,P15153_RAC2,CON__P00761,A0A087WV23_SH3BGRL3
3,0.833333333333,P15153_RAC2,P01009_SERPINA1,P16403_HIST1H1C
3,0.833333333333,P31947_SFN,CON__P00761,Q99879_HIST1H2BM
3,0.833333333333,P31947_SFN,CON__P00761,P00330_ADH1
3,0.944444444444,CON__P00761,P60174_TPI1,P05386_RPLP1
3,0.833333333333,CON__P00761,P60174_TPI1,P01009_SERPINA1
3,0.888888888889,CON__P00761,Q06830_PRDX1,Q9UGM3_6_DMBT1
3,0.833333333333,CON__P00761,Q06830_PRDX1,P30740_SERPINB1
3,0.833333333333,CON__P00761,P35579_MYH9,Q99879_HIST1H2BM
3,0.944444444444,CON__P00761,P35579_MYH9,P05386_RPLP1
3,0.833333333333,CON__P00761,P08238_HSP90AB1,Q99879_HIST1H2BM
3,0.833333333333,CON__P00761,P08238_HSP90AB1,P05386_RPLP1
3,0.833333333333,CON__P00761,P08238_HSP90AB1,P00330_ADH1
3,0.944444444444,CON__P00761,P00738_HP,Q99879_HIST1H2BM
3,0.833333333333,CON__P00761,P00738_HP,P05386_RPLP1
3,0.833333333333,CON__P00761,P00738_HP,P01008_SERPINC1
