*N,acc_tree,groups
2,0.861111111111,A0A075B6R9,P00330_ADH1
2,0.861111111111,P08670_VIM,P00330_ADH1
2,0.861111111111,P09429_HMGB1,P00330_ADH1
2,0.861111111111,B4E1Z4_CFB,P00330_ADH1
2,0.861111111111,P06454_PTMA,P00330_ADH1
2,0.861111111111,O15145_ARPC3,P00330_ADH1
2,0.861111111111,P02769_BSA,P01009_SERPINA1
2,0.861111111111,P55786_NPEPPS,P00330_ADH1
2,0.861111111111,P61160_2_ACTR2,P00330_ADH1
2,0.861111111111,P09382_LGALS1,P00330_ADH1
2,0.861111111111,O00391_QSOX1,P00330_ADH1
2,0.861111111111,O15511_2_ARPC5,P00330_ADH1
2,0.861111111111,O43707_ACTN4,P00330_ADH1
2,0.861111111111,O95336_PGLS,P00330_ADH1
2,0.861111111111,P00330_ADH1,P01008_SERPINC1
2,0.861111111111,P00330_ADH1,P01023_A2M
2,0.861111111111,P00330_ADH1,P01624
2,0.861111111111,P00330_ADH1,P01763
2,0.861111111111,P00330_ADH1,P01859_IGHG2
2,0.861111111111,P00330_ADH1,P01861_IGHG4
2,0.861111111111,P00330_ADH1,P02647_APOA1
2,0.861111111111,P00330_ADH1,P02671_FGA
2,0.861111111111,P00330_ADH1,P02675_FGB
2,0.861111111111,P00330_ADH1,P04004_VTN
2,0.861111111111,P00330_ADH1,P04196_HRG
2,0.861111111111,P00330_ADH1,P04217_A1BG
2,0.861111111111,P00330_ADH1,P05109_S100A8
2,0.861111111111,P00330_ADH1,P05386_RPLP1
2,0.861111111111,P00330_ADH1,P06396_GSN
2,0.861111111111,P00330_ADH1,P06702_S100A9
2,0.861111111111,P00330_ADH1,A0A0A0MTS2_GPI
2,0.861111111111,P00330_ADH1,P06870_KLK1
2,0.861111111111,P00330_ADH1,P08603_CFH
2,0.861111111111,P00330_ADH1,P10412_HIST1H1E
2,0.861111111111,P00330_ADH1,P14618_PKM2
2,0.861111111111,P00330_ADH1,P16403_HIST1H1C
2,0.861111111111,P00330_ADH1,P20618_PSMB1
2,0.861111111111,P00330_ADH1,P21333_FLNA
2,0.861111111111,P00330_ADH1,P23280_CA6
2,0.861111111111,P00330_ADH1,P23381_WARS
2,0.861111111111,P00330_ADH1,E9PK25_CFL1
2,0.861111111111,P00330_ADH1,P24158_PRTN3
2,0.861111111111,P00330_ADH1,P30044_PRDX5
2,0.861111111111,P00330_ADH1,P31946_2
2,0.861111111111,P00330_ADH1,P52209_PGD
2,0.861111111111,P00330_ADH1,P62328_TMSB4X
2,0.861111111111,P00330_ADH1,P63261_ACTG1
2,0.861111111111,P00330_ADH1,P68371_TUBB4B
2,0.861111111111,P00330_ADH1,A0A087WV23_SH3BGRL3
2,0.861111111111,P00330_ADH1,Q8TAX7_MUC7
2,0.861111111111,P00330_ADH1,Q99879_HIST1H2BM
2,0.861111111111,P00330_ADH1,Q9BRF8_CPPED1
