protein, frequency
A0A087WV47_IGHG1,88
A0A087WZM2_RNASET2,90
B4E1Z4_CFB,97
B7Z6Z4_MYL6,114
CON__P00761,211
CON__P02768_1_ALB,101
P02769_BSA,543
D6RF35_GC,153
P04406_GAPDH,75
P0C0L5_C4B,129
Q14697_2_GANAB,134
Q9NZL9_MAT2B,105
P00330_ADH1,657
P00450_CP,99
P00489_GPB,341
P00738_HP,73
P00924_ENO1,115
P01008_SERPINC1,133
P01023_A2M,149
P01024_C3,89
P01036_CST4,78
P01037_CST1,97
P01859_IGHG2,112
P02675_FGB,98
P02750_LRG1,45
P02763_ORM1,106
P02787_TF,119
P02790_HPX,85
P05386_RPLP1,114
P07339_CTSD,123
P09228_CST2,120
P14174_MIF,113
P23280_CA6,106
P52209_PGD,117
P61586_RHOA,95
P62937_PPIA,153
Q08188_TGM3,86
Q99879_HIST1H2BM,117
Q9NQ38_3_SPINK5,119
