*N,acc_tree,groups
2,0.861111111111,A0A087WV47_IGHG1,P00330_ADH1
2,0.861111111111,B4E1Z4_CFB,P00330_ADH1
2,0.833333333333,B7Z6Z4_MYL6,Q9NQ38_3_SPINK5
2,0.861111111111,D6RF35_GC,P00330_ADH1
2,0.861111111111,P04406_GAPDH,P00330_ADH1
2,0.861111111111,Q14697_2_GANAB,P00330_ADH1
2,0.861111111111,P00330_ADH1,P02675_FGB
2,0.861111111111,P00330_ADH1,P02763_ORM1
2,0.861111111111,P00330_ADH1,P02787_TF
2,0.861111111111,P00330_ADH1,P02790_HPX
2,0.861111111111,P00330_ADH1,P23280_CA6
2,0.861111111111,P00330_ADH1,P52209_PGD
2,0.861111111111,P00330_ADH1,P62937_PPIA
2,0.861111111111,P00330_ADH1,Q99879_HIST1H2BM
