*N,acc_tree,groups
2,0.861111111111,B4E1Z4_CFB,P00330_ADH1
2,0.861111111111,P23280_CA6,P00330_ADH1
2,0.861111111111,CON__P02768_1_ALB,P00330_ADH1
2,0.861111111111,P00330_ADH1,P52209_PGD
2,0.861111111111,P00330_ADH1,P09228_CST2
3,0.861111111111,B4E1Z4_CFB,P02787_TF,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P23280_CA6,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P01008_SERPINC1,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,P52209_PGD
3,0.861111111111,P01023_A2M,P00330_ADH1,P52209_PGD
3,0.861111111111,P01023_A2M,P00330_ADH1,P09228_CST2
3,0.861111111111,P02787_TF,P00330_ADH1,P09228_CST2
3,0.861111111111,CON__P02768_1_ALB,P00330_ADH1,P52209_PGD
3,0.861111111111,P01008_SERPINC1,P00330_ADH1,P52209_PGD
3,0.861111111111,P01008_SERPINC1,P00330_ADH1,P09228_CST2
3,0.861111111111,P00330_ADH1,P52209_PGD,P09228_CST2
