*N,acc_tree,groups
2,0.861111111111,B4E1Z4_CFB,P00330_ADH1
2,0.861111111111,P52209_PGD,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P09228_CST2,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P52209_PGD,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P23280_CA6,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P02790_HPX,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P00738_HP,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P02675_FGB,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P09228_CST2,P23280_CA6,P00330_ADH1
3,0.861111111111,P09228_CST2,P02790_HPX,P00330_ADH1
3,0.861111111111,P09228_CST2,P01859_IGHG2,P00330_ADH1
3,0.861111111111,P09228_CST2,P02675_FGB,P00330_ADH1
3,0.861111111111,P09228_CST2,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P09228_CST2,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P52209_PGD,P23280_CA6,P00330_ADH1
3,0.861111111111,P52209_PGD,P01859_IGHG2,P00330_ADH1
3,0.861111111111,P52209_PGD,P00738_HP,P00330_ADH1
3,0.861111111111,P52209_PGD,P02675_FGB,P00330_ADH1
3,0.861111111111,P52209_PGD,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P23280_CA6,P02790_HPX,P00330_ADH1
3,0.861111111111,P23280_CA6,P02675_FGB,P00330_ADH1
3,0.861111111111,P23280_CA6,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P02790_HPX,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P00738_HP,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P02675_FGB,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,Q14697_2_GANAB,P00330_ADH1,P01008_SERPINC1
