*N,acc_tree,groups
2,0.861111111111,P09228_CST2,P00330_ADH1
2,0.861111111111,P02675_FGB,P00330_ADH1
2,0.861111111111,B4E1Z4_CFB,P00330_ADH1
2,0.861111111111,P01042_2_KNG1,P00330_ADH1
2,0.861111111111,CON__P35527_KRT9,P00330_ADH1
2,0.861111111111,P02753_RBP4,P00330_ADH1
2,0.861111111111,P52209_PGD,P00330_ADH1
2,0.861111111111,P01763,P00330_ADH1
2,0.861111111111,P01859_IGHG2,P00330_ADH1
2,0.861111111111,P02760_AMBP,P00330_ADH1
2,0.861111111111,P31946_2,P00330_ADH1
2,0.861111111111,Q14697_2_GANAB,P00330_ADH1
2,0.861111111111,P00330_ADH1,C9JC84_FGG
2,0.861111111111,P00330_ADH1,Q14974_KPNB1
2,0.861111111111,P00330_ADH1,P02787_TF
3,0.861111111111,P09228_CST2,P22079_LPO,P00330_ADH1
3,0.861111111111,P09228_CST2,P62805_HIST1H4A,P00330_ADH1
3,0.861111111111,P09228_CST2,P60174_TPI1,P00330_ADH1
3,0.861111111111,P09228_CST2,A0A024R6X1_CES2,P00330_ADH1
3,0.861111111111,P09228_CST2,P22314_UBA1,P00330_ADH1
3,0.861111111111,P09228_CST2,P02675_FGB,P00330_ADH1
3,0.861111111111,P09228_CST2,P01042_2_KNG1,P00330_ADH1
3,0.861111111111,P09228_CST2,CON__P35527_KRT9,P00330_ADH1
3,0.861111111111,P09228_CST2,P02647_APOA1,P00330_ADH1
3,0.861111111111,P09228_CST2,P01763,P00330_ADH1
3,0.861111111111,P09228_CST2,P02790_HPX,P00330_ADH1
3,0.861111111111,P09228_CST2,P14174_MIF,P00330_ADH1
3,0.861111111111,P09228_CST2,P09960_LTA4H,P00330_ADH1
3,0.861111111111,P09228_CST2,P02760_AMBP,P00330_ADH1
3,0.861111111111,P09228_CST2,P31946_2,P00330_ADH1
3,0.861111111111,P09228_CST2,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P09228_CST2,P00330_ADH1,P02763_ORM1
3,0.861111111111,P09228_CST2,P00330_ADH1,C9JC84_FGG
3,0.861111111111,P09228_CST2,P00330_ADH1,Q9NQ38_3_SPINK5
3,0.861111111111,P09228_CST2,P00330_ADH1,O95274_LYPD3
3,0.861111111111,P09228_CST2,P00330_ADH1,Q9UBG3_CRNN
3,0.861111111111,P09228_CST2,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P09228_CST2,P00330_ADH1,P02769_BSA
3,0.861111111111,Q02413_DSG1,P62805_HIST1H4A,P00330_ADH1
3,0.861111111111,Q02413_DSG1,P60174_TPI1,P00330_ADH1
3,0.861111111111,Q02413_DSG1,P02675_FGB,P00330_ADH1
3,0.861111111111,Q02413_DSG1,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,Q02413_DSG1,P01042_2_KNG1,P00330_ADH1
3,0.861111111111,Q02413_DSG1,P02790_HPX,P00330_ADH1
3,0.861111111111,Q02413_DSG1,P02760_AMBP,P00330_ADH1
3,0.861111111111,Q02413_DSG1,P00489_GPB,P00330_ADH1
3,0.861111111111,Q02413_DSG1,P00330_ADH1,P01009_SERPINA1
3,0.861111111111,Q02413_DSG1,P00330_ADH1,P02763_ORM1
3,0.861111111111,Q02413_DSG1,P00330_ADH1,P02787_TF
3,0.861111111111,Q02413_DSG1,P01009_SERPINA1,P02769_BSA
3,0.861111111111,P12429_ANXA3,P02675_FGB,P00330_ADH1
3,0.861111111111,P12429_ANXA3,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P12429_ANXA3,P01859_IGHG2,P00330_ADH1
3,0.861111111111,P12429_ANXA3,P01009_SERPINA1,P02769_BSA
3,0.861111111111,P22079_LPO,P22314_UBA1,P00330_ADH1
3,0.861111111111,P22079_LPO,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P22079_LPO,P52209_PGD,P00330_ADH1
3,0.861111111111,P22079_LPO,P31946_2,P00330_ADH1
3,0.861111111111,P22079_LPO,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P62805_HIST1H4A,P22314_UBA1,P00330_ADH1
3,0.861111111111,P62805_HIST1H4A,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P62805_HIST1H4A,CON__P35527_KRT9,P00330_ADH1
3,0.861111111111,P62805_HIST1H4A,P52209_PGD,P00330_ADH1
3,0.861111111111,P62805_HIST1H4A,P01859_IGHG2,P00330_ADH1
3,0.861111111111,P62805_HIST1H4A,P02760_AMBP,P00330_ADH1
3,0.861111111111,P62805_HIST1H4A,P31946_2,P00330_ADH1
3,0.861111111111,P62805_HIST1H4A,P00330_ADH1,P02787_TF
3,0.861111111111,P60174_TPI1,P02675_FGB,P00330_ADH1
3,0.861111111111,P60174_TPI1,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P60174_TPI1,P52209_PGD,P00330_ADH1
3,0.861111111111,P60174_TPI1,P31946_2,P00330_ADH1
3,0.861111111111,P60174_TPI1,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,Q06830_PRDX1,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,Q06830_PRDX1,P02753_RBP4,P00330_ADH1
3,0.861111111111,Q06830_PRDX1,P52209_PGD,P00330_ADH1
3,0.861111111111,Q06830_PRDX1,P01859_IGHG2,P00330_ADH1
3,0.861111111111,Q06830_PRDX1,P00330_ADH1,P02787_TF
3,0.861111111111,Q06830_PRDX1,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,A0A024R6X1_CES2,B4E1Z4_CFB,P00330_ADH1
