*N,acc_tree,groups
2,0.861111111111,A0A087WV47_IGHG1,P00330_ADH1
2,0.861111111111,P02675_FGB,P00330_ADH1
2,0.861111111111,B4E1Z4_CFB,P00330_ADH1
2,0.861111111111,D6RF35_GC,P00330_ADH1
2,0.861111111111,P02787_TF,P00330_ADH1
2,0.861111111111,P52209_PGD,P00330_ADH1
3,0.861111111111,A0A087WV47_IGHG1,P02763_ORM1,P00330_ADH1
3,0.861111111111,P02763_ORM1,P04406_GAPDH,P00330_ADH1
3,0.861111111111,P02763_ORM1,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P02763_ORM1,D6RF35_GC,P00330_ADH1
3,0.861111111111,P02763_ORM1,P02787_TF,P00330_ADH1
3,0.861111111111,P02763_ORM1,P52209_PGD,P00330_ADH1
3,0.861111111111,P02763_ORM1,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P02763_ORM1,P00330_ADH1,Q99879_HIST1H2BM
3,0.861111111111,P02675_FGB,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P02675_FGB,P02787_TF,P00330_ADH1
3,0.861111111111,P02675_FGB,P52209_PGD,P00330_ADH1
3,0.861111111111,P05386_RPLP1,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P05386_RPLP1,P00489_GPB,P02769_BSA
3,0.861111111111,P05386_RPLP1,P62937_PPIA,P00330_ADH1
3,0.861111111111,P05386_RPLP1,P52209_PGD,P00330_ADH1
3,0.861111111111,P23280_CA6,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P23280_CA6,P00489_GPB,P00330_ADH1
3,0.861111111111,P23280_CA6,D6RF35_GC,P00330_ADH1
3,0.861111111111,P23280_CA6,P62937_PPIA,P00330_ADH1
3,0.861111111111,P23280_CA6,P00330_ADH1,P02790_HPX
3,0.861111111111,P04406_GAPDH,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P04406_GAPDH,P52209_PGD,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,D6RF35_GC,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P02787_TF,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P52209_PGD,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,P02790_HPX
3,0.861111111111,P00489_GPB,D6RF35_GC,P00330_ADH1
3,0.861111111111,P00489_GPB,P52209_PGD,P00330_ADH1
3,0.861111111111,D6RF35_GC,P52209_PGD,P00330_ADH1
3,0.861111111111,D6RF35_GC,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,D6RF35_GC,P00330_ADH1,P02790_HPX
3,0.861111111111,D6RF35_GC,P00330_ADH1,Q99879_HIST1H2BM
3,0.861111111111,P62937_PPIA,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P02787_TF,P00330_ADH1,Q99879_HIST1H2BM
3,0.861111111111,P02787_TF,P00330_ADH1,P02769_BSA
3,0.861111111111,P52209_PGD,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P52209_PGD,P00330_ADH1,P02790_HPX
3,0.861111111111,P52209_PGD,P00330_ADH1,Q99879_HIST1H2BM
3,0.861111111111,P52209_PGD,P00330_ADH1,P02769_BSA
3,0.861111111111,Q14697_2_GANAB,P00330_ADH1,Q99879_HIST1H2BM
