*N,acc_tree,groups
2,0.861111111111,A0A087WV47_IGHG1,P00330_ADH1
2,0.861111111111,P05386_RPLP1,P00330_ADH1
2,0.861111111111,P04406_GAPDH,P00330_ADH1
2,0.861111111111,B4E1Z4_CFB,P00330_ADH1
2,0.861111111111,P01008_SERPINC1,P00330_ADH1
2,0.861111111111,P00330_ADH1,P52209_PGD
2,0.861111111111,P00330_ADH1,P09228_CST2
3,0.861111111111,A0A087WV47_IGHG1,P00330_ADH1,P52209_PGD
3,0.861111111111,P02763_ORM1,P04406_GAPDH,P00330_ADH1
3,0.861111111111,P02763_ORM1,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P02763_ORM1,P00330_ADH1,P52209_PGD
3,0.861111111111,P05386_RPLP1,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P05386_RPLP1,P00330_ADH1,P52209_PGD
3,0.861111111111,P05386_RPLP1,P00330_ADH1,P09228_CST2
3,0.861111111111,P04406_GAPDH,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P04406_GAPDH,P01008_SERPINC1,P00330_ADH1
3,0.861111111111,P04406_GAPDH,P00330_ADH1,P52209_PGD
3,0.861111111111,P04406_GAPDH,P00330_ADH1,P09228_CST2
3,0.861111111111,B4E1Z4_CFB,P02787_TF,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P01008_SERPINC1,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,P52209_PGD
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,P09228_CST2
3,0.861111111111,P02787_TF,P01008_SERPINC1,P00330_ADH1
3,0.861111111111,P02787_TF,P00330_ADH1,P52209_PGD
3,0.861111111111,P01008_SERPINC1,P00330_ADH1,P09228_CST2
3,0.861111111111,P00330_ADH1,P52209_PGD,P09228_CST2
