*N,acc_tree,groups
2,1.0,P55786_NPEPPS,P01023_A2M
2,1.0,P01023_A2M,P62937_PPIA
2,1.0,P01023_A2M,P00330_ADH1
2,1.0,P01023_A2M,CON__P00761
2,1.0,P15153_RAC2,CON__P00761
3,1.0,P55786_NPEPPS,P00450_CP,P01023_A2M
3,1.0,P55786_NPEPPS,P01023_A2M,P15153_RAC2
3,1.0,P55786_NPEPPS,P01023_A2M,P00330_ADH1
3,1.0,P55786_NPEPPS,P01023_A2M,CON__P00761
3,1.0,P55786_NPEPPS,P15153_RAC2,CON__P00761
3,1.0,P00450_CP,P01023_A2M,P62937_PPIA
3,1.0,P00450_CP,P01023_A2M,CON__P00761
3,1.0,P00450_CP,P15153_RAC2,CON__P00761
3,1.0,P01023_A2M,P15153_RAC2,P00330_ADH1
3,1.0,P01023_A2M,P15153_RAC2,CON__P00761
3,1.0,P01023_A2M,P62937_PPIA,P00330_ADH1
3,1.0,P01023_A2M,P62937_PPIA,CON__P00761
3,1.0,P01023_A2M,P00330_ADH1,CON__P00761
3,1.0,P01023_A2M,P00330_ADH1,P02769_BSA
3,1.0,P01023_A2M,CON__P00761,P02769_BSA
3,1.0,P15153_RAC2,P62937_PPIA,CON__P00761
