*N,acc_tree,groups
2,0.822751322751,A0A087WVW2_IGHG3,P02769_BSA
2,0.849206349206,A0A075B6R9,P00330_ADH1
2,0.849206349206,A0A087WW89,P00330_ADH1
2,0.849206349206,A0A087WZW8,P00330_ADH1
2,0.849206349206,P09429_HMGB1,P00330_ADH1
2,0.878306878307,B7Z6Z4_MYL6,CON__P00761
2,0.830687830688,B7Z6Z4_MYL6,P02769_BSA
2,0.830687830688,B7Z6Z4_MYL6,P0C0L5_C4B
2,0.849206349206,P51149_RAB7A,P00330_ADH1
2,0.830687830688,P19971_2_TYMP,P00330_ADH1
2,0.830687830688,C9JV77_AHSG,P00330_ADH1
2,0.849206349206,O15145_ARPC3,P00330_ADH1
2,0.830687830688,CON__P00761,P04792_HSPB1
2,0.878306878307,CON__P00761,P05164_3_MPO
2,0.878306878307,CON__P00761,P22314_UBA1
2,0.859788359788,CON__P00761,Q99879_HIST1H2BM
2,0.849206349206,CON__P01966,P00330_ADH1
2,0.849206349206,CON__P02768_1_ALB,P00330_ADH1
2,0.820105820106,P02769_BSA,J3KPA1_CRISP3
2,0.830687830688,P02769_BSA,P01859_IGHG2
2,0.859788359788,P02769_BSA,P05386_RPLP1
2,0.820105820106,P02769_BSA,P09228_CST2
2,0.822751322751,P02769_BSA,H0YBX6_UBE2V2
2,0.822751322751,P02769_BSA,Q99879_HIST1H2BM
2,0.878306878307,P02769_BSA,Q9NQ38_3_SPINK5
2,0.867724867725,E5RHG6_TBCA,P00330_ADH1
2,0.867724867725,P0C0L5_C4B,Q9NZL9_MAT2B
2,0.849206349206,P61160_2_ACTR2,P00330_ADH1
2,0.849206349206,J3KPA1_CRISP3,P00330_ADH1
2,0.849206349206,O00299_CLIC1,P00330_ADH1
2,0.830687830688,O95336_PGLS,P00330_ADH1
2,0.867724867725,P00330_ADH1,P01024_C3
2,0.849206349206,P00330_ADH1,P01622
2,0.849206349206,P00330_ADH1,P01763
2,0.867724867725,P00330_ADH1,P01859_IGHG2
2,0.830687830688,P00330_ADH1,P01876_IGHA1
2,0.867724867725,P00330_ADH1,P02753_RBP4
2,0.849206349206,P00330_ADH1,P03973_SLPI
2,0.849206349206,P00330_ADH1,P05386_RPLP1
2,0.849206349206,P00330_ADH1,A0A0A0MTS2_GPI
2,0.849206349206,P00330_ADH1,P08107_HSPA1A
2,0.849206349206,P00330_ADH1,P08246_ELANE
2,0.830687830688,P00330_ADH1,P08311_CTSG
2,0.849206349206,P00330_ADH1,P08603_CFH
2,0.904761904762,P00330_ADH1,P09228_CST2
2,0.849206349206,P00330_ADH1,P10412_HIST1H1E
2,0.867724867725,P00330_ADH1,P11142_HSPA8
2,0.849206349206,P00330_ADH1,P14550_AKR1A1
2,0.849206349206,P00330_ADH1,P16402_HIST1H1D
2,0.849206349206,P00330_ADH1,P20618_PSMB1
2,0.849206349206,P00330_ADH1,P23381_WARS
2,0.849206349206,P00330_ADH1,E9PK25_CFL1
2,0.849206349206,P00330_ADH1,P29508_SERPINB3
2,0.849206349206,P00330_ADH1,P30044_PRDX5
2,0.849206349206,P00330_ADH1,P31949_S100A11
2,0.849206349206,P00330_ADH1,P37837_TALDO1
2,0.849206349206,P00330_ADH1,B1AK88_CAPZB
2,0.849206349206,P00330_ADH1,P52209_PGD
2,0.849206349206,P00330_ADH1,P61158_ACTR3
2,0.849206349206,P00330_ADH1,P61586_RHOA
2,0.849206349206,P00330_ADH1,P62328_TMSB4X
2,0.849206349206,P00330_ADH1,P62937_PPIA
2,0.849206349206,P00330_ADH1,Q01518_CAP1
2,0.849206349206,P00330_ADH1,H0YBX6_UBE2V2
2,0.849206349206,P00330_ADH1,Q6P5S2_C6orf58
2,0.849206349206,P00330_ADH1,Q8TAX7_MUC7
2,0.849206349206,P00330_ADH1,Q96DA0_ZG16B
2,0.849206349206,P00330_ADH1,Q99536_VAT1
2,0.849206349206,P00330_ADH1,Q99879_HIST1H2BM
2,0.867724867725,P00330_ADH1,Q9BRA2_TXNDC17
2,0.849206349206,P00330_ADH1,Q9NQ38_3_SPINK5
2,0.849206349206,P00330_ADH1,Q9UGM3_6_DMBT1
2,0.867724867725,P00330_ADH1,Q9UKR3_KLK13
