source,target,weight
P0C0L5_C4B,P00330_ADH1,1
P00330_ADH1,CON__P00761,6
P0C0L5_C4B,CON__P00761,3
P0C0L5_C4B,P05386_RPLP1,1
P05386_RPLP1,CON__P00761,13
P0C0L5_C4B,Q99879_HIST1H2BM,1
Q99879_HIST1H2BM,CON__P00761,15
P09228_CST2,P05386_RPLP1,1
P09228_CST2,CON__P00761,2
P09228_CST2,Q99879_HIST1H2BM,1
P01859_IGHG2,P01008_SERPINC1,1
P01008_SERPINC1,CON__P00761,6
P01859_IGHG2,CON__P00761,4
P01859_IGHG2,P05386_RPLP1,1
P01859_IGHG2,Q99879_HIST1H2BM,1
CON__P00761,Q9NZL9_MAT2B,6
P01859_IGHG2,Q9NZL9_MAT2B,1
B7Z6Z4_MYL6,P14174_MIF,2
P14174_MIF,P05386_RPLP1,8
B7Z6Z4_MYL6,P05386_RPLP1,1
P14174_MIF,Q99879_HIST1H2BM,6
B7Z6Z4_MYL6,Q99879_HIST1H2BM,1
B7Z6Z4_MYL6,CON__P00761,2
B7Z6Z4_MYL6,Q9NZL9_MAT2B,1
CON__P00761,P23280_CA6,3
B7Z6Z4_MYL6,P23280_CA6,1
P00330_ADH1,P14174_MIF,1
P14174_MIF,CON__P00761,3
P00330_ADH1,Q9NZL9_MAT2B,1
CON__P00761,CON__P02768_1_ALB,3
P00330_ADH1,CON__P02768_1_ALB,1
CON__P00761,P52209_PGD,3
P00330_ADH1,P52209_PGD,1
P00330_ADH1,P23280_CA6,1
P01008_SERPINC1,P02763_ORM1,1
P02763_ORM1,CON__P00761,3
P01008_SERPINC1,P14174_MIF,1
P01008_SERPINC1,P05386_RPLP1,2
P01008_SERPINC1,Q99879_HIST1H2BM,1
P01008_SERPINC1,CON__P02768_1_ALB,1
CON__P00761,P62937_PPIA,3
P01008_SERPINC1,P62937_PPIA,1
B4E1Z4_CFB,P14174_MIF,1
B4E1Z4_CFB,P05386_RPLP1,1
B4E1Z4_CFB,Q99879_HIST1H2BM,1
B4E1Z4_CFB,CON__P00761,1
P01023_A2M,P14174_MIF,2
P01023_A2M,P05386_RPLP1,2
P01023_A2M,Q99879_HIST1H2BM,2
P01023_A2M,CON__P00761,3
P01023_A2M,Q9NZL9_MAT2B,1
P02763_ORM1,P14174_MIF,1
P02763_ORM1,Q99879_HIST1H2BM,2
P02763_ORM1,P05386_RPLP1,1
P05386_RPLP1,Q99879_HIST1H2BM,2
P05386_RPLP1,Q9NZL9_MAT2B,2
P14174_MIF,Q9NZL9_MAT2B,1
P05386_RPLP1,P23280_CA6,1
P14174_MIF,P23280_CA6,1
Q99879_HIST1H2BM,P62937_PPIA,2
P14174_MIF,P62937_PPIA,1
P05386_RPLP1,CON__P02768_1_ALB,1
P05386_RPLP1,P62937_PPIA,1
CON__P00761,P02787_TF,2
P05386_RPLP1,P02787_TF,1
P05386_RPLP1,P52209_PGD,1
Q99879_HIST1H2BM,Q9NZL9_MAT2B,1
Q99879_HIST1H2BM,P02787_TF,1
Q99879_HIST1H2BM,P52209_PGD,1
Q99879_HIST1H2BM,P23280_CA6,1
CON__P00761,P02769_BSA,1
Q99879_HIST1H2BM,P02769_BSA,1
