protein,complete_train_p_value,total_freq,p-value_orig_vs_random,1,2,3,4,5,6,7,permuted,permuted,permuted,permuted,permuted,permuted,permuted,1,2,3,4,5,6,7,cv_inner,cv_inner,cv_inner,cv_inner,cv_inner,cv_inner,cv_inner
A0A024R6X1_CES2     ,0.222560708751869   ,83                  ,0.606899070689937   ,2                   ,10                  ,46                  ,13                  ,4                   ,8                   ,0                   ,45                  ,4                   ,39                  ,6                   ,2                   ,0                   ,0                   ,1                   ,0.666666666666667   ,0                   ,0.333333333333333   ,0.666666666666667   ,0                   ,0.25                ,31.5789473684211    ,73.6842105263158    ,89.4736842105263    ,63.1578947368421    ,68.4210526315789    ,57.8947368421053    ,33.3333333333333    
A0A075B6L0_IGLC3    ,0.356806439870457   ,80                  ,0.232838215742233   ,2                   ,66                  ,0                   ,0                   ,6                   ,0                   ,6                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,152                 ,1                   ,0.666666666666667   ,0                   ,0.333333333333333   ,0.666666666666667   ,0.666666666666667   ,0.5                 ,42.1052631578947    ,100                 ,89.4736842105263    ,47.3684210526316    ,52.6315789473684    ,57.8947368421053    ,72.2222222222222    
A0A087WVW2_IGHG3    ,0.0905337336822934  ,267                 ,0.0198976774779665  ,39                  ,97                  ,49                  ,17                  ,12                  ,17                  ,36                  ,1                   ,0                   ,7                   ,0                   ,0                   ,0                   ,80                  ,0.666666666666667   ,0.666666666666667   ,0                   ,0.666666666666667   ,0.333333333333333   ,0.333333333333333   ,0.5                 ,57.8947368421053    ,94.7368421052632    ,89.4736842105263    ,68.4210526315789    ,68.4210526315789    ,63.1578947368421    ,77.7777777777778    
P06331              ,0.497202563256784   ,25                  ,1                   ,0                   ,0                   ,11                  ,14                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,144                 ,0                   ,7                   ,0                   ,1                   ,0.333333333333333   ,0                   ,0.333333333333333   ,0.666666666666667   ,0.666666666666667   ,0.25                ,21.0526315789474    ,47.3684210526316    ,94.7368421052632    ,57.8947368421053    ,63.1578947368421    ,57.8947368421053    ,38.8888888888889    
A0A075B6R9          ,0.759539884005805   ,0                   ,0.0754126204649279  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,7                   ,2                   ,6                   ,0                   ,0                   ,0                   ,0                   ,1                   ,0.333333333333333   ,0                   ,0.333333333333333   ,0.666666666666667   ,0.666666666666667   ,0.25                ,42.1052631578947    ,63.1578947368421    ,63.1578947368421    ,47.3684210526316    ,68.4210526315789    ,47.3684210526316    ,44.4444444444444    
A0A087WSX4          ,0.498009632235272   ,1                   ,0.0863357178645801  ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,9                   ,4                   ,1                   ,0                   ,0                   ,0                   ,36                  ,1                   ,0.333333333333333   ,0                   ,0.333333333333333   ,0.666666666666667   ,0.666666666666667   ,0.25                ,42.1052631578947    ,63.1578947368421    ,89.4736842105263    ,52.6315789473684    ,63.1578947368421    ,52.6315789473684    ,50                  
A0A087WT59_TTR      ,0.569964854277772   ,3                   ,0.810272982684136   ,0                   ,2                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,18                  ,36                  ,1                   ,0.333333333333333   ,0                   ,0.333333333333333   ,0.666666666666667   ,0.666666666666667   ,0.25                ,36.8421052631579    ,68.4210526315789    ,73.6842105263158    ,31.5789473684211    ,57.8947368421053    ,47.3684210526316    ,33.3333333333333    
P19823_ITIH2        ,0.559140176261486   ,6                   ,0.810272982684136   ,0                   ,0                   ,4                   ,2                   ,0                   ,0                   ,0                   ,12                  ,0                   ,0                   ,0                   ,42                  ,0                   ,0                   ,1                   ,0.333333333333333   ,0                   ,0.333333333333333   ,0.666666666666667   ,0.666666666666667   ,0.25                ,36.8421052631579    ,57.8947368421053    ,84.2105263157895    ,47.3684210526316    ,57.8947368421053    ,57.8947368421053    ,33.3333333333333    
A0A087WX49_IGLL5    ,0.912585276998026   ,0                   ,0.0307212324156618  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,12                  ,42                  ,0                   ,27                  ,0                   ,0                   ,11                  ,1                   ,0.333333333333333   ,0                   ,0.333333333333333   ,0.666666666666667   ,0.666666666666667   ,0.25                ,31.5789473684211    ,57.8947368421053    ,68.4210526315789    ,47.3684210526316    ,63.1578947368421    ,52.6315789473684    ,38.8888888888889    
A0A0A0MS15          ,0.829995164819855   ,0                   ,0.01135734805108    ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,27                  ,6                   ,2                   ,0                   ,45                  ,14                  ,1                   ,0.333333333333333   ,0                   ,0.333333333333333   ,0.666666666666667   ,0.666666666666667   ,0.25                ,42.1052631578947    ,57.8947368421053    ,68.4210526315789    ,42.1052631578947    ,63.1578947368421    ,68.4210526315789    ,44.4444444444444    
