protein,protein frequency
A0A024R6X1_CES2    ,45                 
A0A075B6L0_IGLC3   ,0                  
A0A087WVW2_IGHG3   ,1                  
P06331             ,0                  
A0A075B6R9         ,7                  
A0A087WSX4         ,9                  
A0A087WT59_TTR     ,0                  
P19823_ITIH2       ,12                 
A0A087WX49_IGLL5   ,12                 
A0A0A0MS15         ,0                  
A0A087WV47_IGHG1   ,6                  
A0A087WW89         ,0                  
P06753_2_TPM3      ,32                 
Q9Y6R7_FCGBP       ,0                  
A0A087WZH9         ,18                 
A0A087WZM2_RNASET2 ,0                  
A0A087WZW8         ,0                  
A0A087X130         ,0                  
A0A075B6P5         ,207                
A0A087X2C0         ,0                  
Q06830_PRDX1       ,1                  
P13797_PLS3        ,0                  
A8K2U0_A2ML1       ,0                  
P08670_VIM         ,0                  
P15153_RAC2        ,28                 
P09429_HMGB1       ,17                 
P62258_YWHAE       ,8                  
B4E1Z4_CFB         ,0                  
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,0                  
P06454_PTMA        ,0                  
P40925_3_MDH1      ,0                  
P51149_RAB7A       ,0                  
C9JC84_FGG         ,0                  
P19971_2_TYMP      ,0                  
Q9UG63_2_ABCF2     ,0                  
P30838_ALDH3A1     ,14                 
C9JV77_AHSG        ,174                
O15145_ARPC3       ,0                  
CON__P00761        ,0                  
CON__P01966        ,0                  
CON__P02538_KRT6A  ,0                  
CON__P02768_1_ALB  ,42                 
P02769_BSA         ,0                  
CON__P08779_KRT16  ,0                  
CON__P13645_KRT10  ,0                  
CON__P13646_1      ,0                  
CON__P35527_KRT9   ,0                  
CON__P60712_ACTB   ,0                  
CON__Q3MHH8        ,0                  
O75083_WDR1        ,1                  
D6RF35_GC          ,87                 
E5RHG6_TBCA        ,0                  
E7EQR4_EZR         ,252                
P02788_LTF         ,25                 
E7EX29_YWHAZ       ,0                  
P04406_GAPDH       ,0                  
P11413_2_G6PD      ,0                  
P55786_NPEPPS      ,0                  
O00764_PDXK        ,0                  
P0C0L5_C4B         ,0                  
P22079_LPO         ,22                 
P61160_2_ACTR2     ,0                  
Q14697_2_GANAB     ,0                  
P09382_LGALS1      ,0                  
P17858_PFKL        ,33                 
P06576_ATP5B       ,0                  
Q9NZL9_MAT2B       ,0                  
J3KPA1_CRISP3      ,0                  
P04075_2_ALDOA     ,6                  
P68431_HIST1H3A    ,0                  
O00299_CLIC1       ,0                  
O00391_QSOX1       ,44                 
O15511_2_ARPC5     ,22                 
O43707_ACTN4       ,7                  
O60888_2_CUTA      ,6                  
O75594_PGLYRP1     ,0                  
O95274_LYPD3       ,252                
O95336_PGLS        ,0                  
P00330_ADH1        ,0                  
P00338_3_LDHA      ,0                  
P00450_CP          ,0                  
P00489_GPB         ,0                  
P00491_PNP         ,0                  
P00558_PGK1        ,0                  
P00738_HP          ,24                 
P00924_ENO1        ,0                  
P01008_SERPINC1    ,65                 
P01009_SERPINA1    ,0                  
P01023_A2M         ,38                 
P01024_C3          ,0                  
P01033_TIMP1       ,26                 
P01034_CST3        ,84                 
P01036_CST4        ,42                 
P01037_CST1        ,65                 
P01042_2_KNG1      ,42                 
P01591_IGJ         ,112                
P01593             ,0                  
P01598             ,0                  
P01616             ,0                  
P01622             ,0                  
P01623             ,7                  
P01624             ,0                  
P06314_IGKV4_1     ,0                  
P01714             ,0                  
P01717             ,4                  
P01763             ,0                  
P01767             ,20                 
P01779             ,0                  
P01780             ,0                  
P01833_PIGR        ,66                 
P01859_IGHG2       ,17                 
P01861_IGHG4       ,42                 
P01876_IGHA1       ,0                  
P01877_IGHA2       ,7                  
P02647_APOA1       ,6                  
P02671_FGA         ,0                  
P02675_FGB         ,115                
P02750_LRG1        ,1                  
P02753_RBP4        ,7                  
P02760_AMBP        ,0                  
P02763_ORM1        ,49                 
P02787_TF          ,2                  
P02790_HPX         ,40                 
P02814_SMR3B       ,0                  
P03973_SLPI        ,22                 
P04004_VTN         ,0                  
P04040_CAT         ,17                 
P04080_CSTB        ,7                  
P04083_ANXA1       ,0                  
P04196_HRG         ,8                  
P04217_A1BG        ,7                  
P04264_KRT1        ,0                  
P04280_PRB1        ,0                  
P04745_AMY1A       ,0                  
P04792_HSPB1       ,84                 
P04899_4_GNAI2     ,0                  
P05109_S100A8      ,42                 
P05164_3_MPO       ,0                  
P05386_RPLP1       ,2                  
P06396_GSN         ,2                  
P06702_S100A9      ,32                 
P06733_ENO1        ,0                  
A0A0A0MTS2_GPI     ,0                  
P06870_KLK1        ,90                 
P07108_6_DBI       ,42                 
P07237_P4HB        ,0                  
P07339_CTSD        ,87                 
P07737_PFN1        ,24                 
P07858_CTSB        ,0                  
P07900_2_HSP90AA1  ,3                  
P07996_THBS1       ,4                  
P08107_HSPA1A      ,0                  
P08238_HSP90AB1    ,56                 
P08246_ELANE       ,6                  
P08311_CTSG        ,0                  
P08571_CD14        ,0                  
P08603_CFH         ,0                  
P09211_GSTP1       ,0                  
P09228_CST2        ,42                 
P09960_LTA4H       ,0                  
P0C0S8_HIST1H2AG   ,0                  
P10412_HIST1H1E    ,2                  
P10599_TXN         ,26                 
P10909_2_CLU       ,84                 
P11021_HSPA5       ,0                  
P11142_HSPA8       ,0                  
P11215_2_ITGAM     ,27                 
P12273_PIP         ,16                 
P12429_ANXA3       ,0                  
P12814_3_ACTN1     ,0                  
P13688_CEACAM1     ,0                  
P13796_LCP1        ,140                
P14174_MIF         ,0                  
P14550_AKR1A1      ,0                  
P14618_PKM2        ,0                  
P14780_MMP9        ,14                 
P16401_HIST1H1B    ,0                  
P16402_HIST1H1D    ,0                  
P16403_HIST1H1C    ,0                  
P17174_GOT1        ,0                  
P17931_LGALS3      ,42                 
P18510_2_IL1RN     ,49                 
P18669_PGAM1       ,0                  
P19961_AMY2B       ,0                  
P20061_TCN1        ,1                  
P20160_AZU1        ,1                  
P20618_PSMB1       ,0                  
P21333_FLNA        ,0                  
P22314_UBA1        ,4                  
Q32Q12_NME1_NME2   ,0                  
P22532_SPRR2D      ,0                  
P22894_MMP8        ,10                 
