protein,protein frequency
A0A024R6X1_CES2    ,46                 
A0A075B6L0_IGLC3   ,0                  
A0A087WVW2_IGHG3   ,49                 
P06331             ,11                 
A0A075B6R9         ,0                  
A0A087WSX4         ,1                  
A0A087WT59_TTR     ,1                  
P19823_ITIH2       ,4                  
A0A087WX49_IGLL5   ,0                  
A0A0A0MS15         ,0                  
A0A087WV47_IGHG1   ,111                
A0A087WW89         ,0                  
P06753_2_TPM3      ,0                  
Q9Y6R7_FCGBP       ,0                  
A0A087WZH9         ,53                 
A0A087WZM2_RNASET2 ,40                 
A0A087WZW8         ,0                  
A0A087X130         ,0                  
A0A075B6P5         ,16                 
A0A087X2C0         ,0                  
Q06830_PRDX1       ,24                 
P13797_PLS3        ,0                  
A8K2U0_A2ML1       ,6                  
P08670_VIM         ,6                  
P15153_RAC2        ,68                 
P09429_HMGB1       ,2                  
P62258_YWHAE       ,26                 
B4E1Z4_CFB         ,252                
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,52                 
P06454_PTMA        ,0                  
P40925_3_MDH1      ,0                  
P51149_RAB7A       ,0                  
C9JC84_FGG         ,58                 
P19971_2_TYMP      ,0                  
Q9UG63_2_ABCF2     ,0                  
P30838_ALDH3A1     ,18                 
C9JV77_AHSG        ,0                  
O15145_ARPC3       ,0                  
CON__P00761        ,252                
CON__P01966        ,8                  
CON__P02538_KRT6A  ,0                  
CON__P02768_1_ALB  ,180                
P02769_BSA         ,252                
CON__P08779_KRT16  ,12                 
CON__P13645_KRT10  ,17                 
CON__P13646_1      ,0                  
CON__P35527_KRT9   ,26                 
CON__P60712_ACTB   ,5                  
CON__Q3MHH8        ,3                  
O75083_WDR1        ,0                  
D6RF35_GC          ,76                 
E5RHG6_TBCA        ,0                  
E7EQR4_EZR         ,0                  
P02788_LTF         ,0                  
E7EX29_YWHAZ       ,1                  
P04406_GAPDH       ,34                 
P11413_2_G6PD      ,0                  
P55786_NPEPPS      ,27                 
O00764_PDXK        ,3                  
P0C0L5_C4B         ,252                
P22079_LPO         ,0                  
P61160_2_ACTR2     ,0                  
Q14697_2_GANAB     ,112                
P09382_LGALS1      ,0                  
P17858_PFKL        ,0                  
P06576_ATP5B       ,0                  
Q9NZL9_MAT2B       ,252                
J3KPA1_CRISP3      ,0                  
P04075_2_ALDOA     ,0                  
P68431_HIST1H3A    ,0                  
O00299_CLIC1       ,0                  
O00391_QSOX1       ,7                  
O15511_2_ARPC5     ,0                  
O43707_ACTN4       ,0                  
O60888_2_CUTA      ,0                  
O75594_PGLYRP1     ,0                  
O95274_LYPD3       ,34                 
O95336_PGLS        ,0                  
P00330_ADH1        ,252                
P00338_3_LDHA      ,7                  
P00450_CP          ,252                
P00489_GPB         ,252                
P00491_PNP         ,0                  
P00558_PGK1        ,0                  
P00738_HP          ,236                
P00924_ENO1        ,252                
P01008_SERPINC1    ,243                
P01009_SERPINA1    ,182                
P01023_A2M         ,42                 
P01024_C3          ,252                
P01033_TIMP1       ,0                  
P01034_CST3        ,9                  
P01036_CST4        ,252                
P01037_CST1        ,252                
P01042_2_KNG1      ,252                
P01591_IGJ         ,0                  
P01593             ,0                  
P01598             ,2                  
P01616             ,0                  
P01622             ,0                  
P01623             ,0                  
P01624             ,3                  
P06314_IGKV4_1     ,0                  
P01714             ,21                 
P01717             ,0                  
P01763             ,20                 
P01767             ,0                  
P01779             ,0                  
P01780             ,6                  
P01833_PIGR        ,0                  
P01859_IGHG2       ,252                
P01861_IGHG4       ,3                  
P01876_IGHA1       ,0                  
P01877_IGHA2       ,0                  
P02647_APOA1       ,154                
P02671_FGA         ,66                 
P02675_FGB         ,146                
P02750_LRG1        ,220                
P02753_RBP4        ,74                 
P02760_AMBP        ,38                 
P02763_ORM1        ,135                
P02787_TF          ,252                
P02790_HPX         ,103                
P02814_SMR3B       ,0                  
P03973_SLPI        ,2                  
P04004_VTN         ,0                  
P04040_CAT         ,0                  
P04080_CSTB        ,52                 
P04083_ANXA1       ,9                  
P04196_HRG         ,60                 
P04217_A1BG        ,119                
P04264_KRT1        ,0                  
P04280_PRB1        ,0                  
P04745_AMY1A       ,0                  
P04792_HSPB1       ,1                  
P04899_4_GNAI2     ,6                  
P05109_S100A8      ,0                  
P05164_3_MPO       ,14                 
P05386_RPLP1       ,252                
P06396_GSN         ,0                  
P06702_S100A9      ,0                  
