protein,complete_data_p_value,total_freq,frq_perm,dif,p-value_orig_vs_random,1,2,3,4,5,6,7,8,9,permuted,permuted,permuted,permuted,permuted,permuted,permuted,permuted,permuted,1,2,3,4,5,6,7,8,9,cv_inner,cv_inner,cv_inner,cv_inner,cv_inner,cv_inner,cv_inner,cv_inner,cv_inner
P00330_ADH1         ,2.27123682420521E-006,45568,33,45535,0.0001624408,5184,4096,5184,5184,5184,5184,5184,5184,5184,2,18,13,0,0,0,0,0,0,0.5,0.8333333333,0.25,0.5,0.5,0.75,0.75,0.5,1,47.0588235294,71.875,52.9411764706,41.1764705882,61.7647058824,41.1764705882,32.3529411765,41.1764705882,41.1764705882
P00489_PYGM         ,6.40343312450264E-006,45568,8,45560,0.000102383,5184,4096,5184,5184,5184,5184,5184,5184,5184,0,0,8,0,0,0,0,0,0,0.75,0.8333333333,0.5,0.5,0.25,1,0.75,0.5,1,35.2941176471,78.125,50,52.9411764706,58.8235294118,50,35.2941176471,41.1764705882,35.2941176471
P00924_ENO1         ,0.00002974,45568,164,45404,0.000102383,5184,4096,5184,5184,5184,5184,5184,5184,5184,0,0,0,0,164,0,0,0,0,0.75,0.8333333333,0.75,0.25,0.5,1,0.75,0.5,1,41.1764705882,75,61.7647058824,38.2352941176,58.8235294118,55.8823529412,52.9411764706,29.4117647059,55.8823529412
CON__P02769_ALB     ,3.62813509848687E-005,45568,87,45481,0.0001341549,5184,4096,5184,5184,5184,5184,5184,5184,5184,6,0,81,0,0,0,0,0,0,0.5,0.6666666667,0.5,0.25,0,0.5,0.5,0.25,0.75,44.1176470588,43.75,47.0588235294,29.4117647059,41.1764705882,14.7058823529,38.2352941176,44.1176470588,38.2352941176
P01036_CST4         ,0.0005115033,45568,308,45260,0.0001624408,5184,4096,5184,5184,5184,5184,5184,5184,5184,0,0,0,0,55,0,0,242,11,0.25,0.8333333333,0.25,0.5,0.75,1,0.75,0.5,1,58.8235294118,62.5,73.5294117647,52.9411764706,50,41.1764705882,67.6470588235,38.2352941176,61.7647058824
P09228_CST2         ,0.0006062219,45568,808,44760,0.0002016256,5184,4096,5184,5184,5184,5184,5184,5184,5184,0,44,0,0,386,5,0,352,21,0.25,0.8333333333,0.5,0.25,0.75,1,0.5,0.5,0.75,52.9411764706,68.75,76.4705882353,58.8235294118,64.7058823529,50,58.8235294118,41.1764705882,50
P07339_CTSD         ,0.0006732443,45568,3126,42442,0.0001624408,5184,4096,5184,5184,5184,5184,5184,5184,5184,0,0,1050,0,1472,0,0,604,0,0.25,0.5,0.5,0.25,0.75,1,0.5,0.5,0.75,55.8823529412,56.25,70.5882352941,64.7058823529,58.8235294118,64.7058823529,64.7058823529,38.2352941176,52.9411764706
P19961_AMY2B        ,0.0011842819,45568,64,45504,0.0001624408,5184,4096,5184,5184,5184,5184,5184,5184,5184,0,0,23,0,0,40,0,1,0,0.5,0.6666666667,0.75,0,0.5,1,0.75,0.75,0.75,47.0588235294,68.75,70.5882352941,61.7647058824,73.5294117647,70.5882352941,50,50,52.9411764706
Q8TD19_NEK9         ,0.0011976653,45568,7064,38504,0.0009343604,5184,4096,5184,5184,5184,5184,5184,5184,5184,66,214,5184,26,658,0,916,0,0,0.75,1,0.25,0.5,0.25,0.5,0.5,0.5,1,20.5882352941,53.125,58.8235294118,41.1764705882,50,17.6470588235,50,50,47.0588235294
P01037_CST1         ,0.0012307207,45568,520,45048,0.0001836126,5184,4096,5184,5184,5184,5184,5184,5184,5184,0,0,0,1,515,2,0,2,0,0.25,0.8333333333,0.25,0.5,0.75,1,0.75,0.5,1,67.6470588235,62.5,73.5294117647,67.6470588235,50,35.2941176471,70.5882352941,47.0588235294,58.8235294118
O43707_ACTN4        ,0.0012769825,45568,1088,44480,0.0001624408,5184,4096,5184,5184,5184,5184,5184,5184,5184,0,0,1,0,955,0,0,132,0,0.5,0.8333333333,0.5,0.5,0.25,0.75,0.75,0,1,32.3529411765,71.875,61.7647058824,47.0588235294,50,26.4705882353,50,61.7647058824,44.1176470588
A0A087WVW2_IGHG3    ,0.0026544587,45544,4717,40827,0.0002533103,5184,4096,5184,5184,5184,5160,5184,5184,5184,1765,1148,0,0,756,0,25,0,1023,0.5,0.3333333333,0.25,0.25,0.75,1,0.25,0.25,0,5.8823529412,6.25,8.8235294118,14.7058823529,2.9411764706,58.8235294118,11.7647058824,8.8235294118,11.7647058824
P12429_ANXA3        ,0.0032778169,44292,325,43967,0.0002957078,5184,3840,5184,5016,4496,5184,5184,5102,5102,0,0,0,18,306,1,0,0,0,0.25,0.8333333333,0.5,0.5,0,0.75,0.5,0.5,0.5,47.0588235294,65.625,76.4705882353,61.7647058824,76.4705882353,67.6470588235,52.9411764706,55.8823529412,52.9411764706
P35579_MYH9         ,0.004064041,41792,971,40821,0.0003556301,4330,2062,5184,5166,4832,5184,5140,4732,5162,943,0,0,9,18,0,1,0,0,0.25,0.8333333333,0.75,0.5,0.25,1,1,0.75,0.5,52.9411764706,65.625,61.7647058824,73.5294117647,82.3529411765,67.6470588235,61.7647058824,67.6470588235,41.1764705882
Q9NQ38_3_SPINK5     ,0.0043675469,45082,2674,42408,0.0003093694,5184,4096,5184,5028,5184,5004,5034,5184,5184,0,15,0,0,2489,44,126,0,0,0.5,0.8333333333,0.5,0.5,0.25,1,1,0.5,0.5,50,75,70.5882352941,70.5882352941,70.5882352941,70.5882352941,64.7058823529,44.1176470588,38.2352941176
P02787_TF           ,0.0048588452,43201,6069,37132,0.0006528219,5179,2903,5184,5184,5184,4104,5184,5134,5145,436,52,0,0,1163,0,4418,0,0,0.5,0.6666666667,0.5,0.25,0.5,0.75,0.75,0.75,0.5,52.9411764706,56.25,70.5882352941,64.7058823529,70.5882352941,67.6470588235,79.4117647059,58.8235294118,64.7058823529
P00738_HP           ,0.0049047064,45121,2002,43119,0.0003331402,5184,4063,5184,5184,5184,5149,4829,5160,5184,0,44,0,55,105,362,1436,0,0,0.5,0.6666666667,0.75,0.5,0.5,1,1,0.5,1,47.0588235294,62.5,70.5882352941,44.1176470588,52.9411764706,61.7647058824,58.8235294118,52.9411764706,41.1764705882
P01023_A2M          ,0.0061223354,42255,1118,41137,0.0003331402,5184,2010,5184,5184,4966,4843,4774,4926,5184,0,505,0,0,3,38,572,0,0,0.5,0.8333333333,0.5,0.5,0.25,0.75,1,0.25,1,50,68.75,76.4705882353,44.1176470588,85.2941176471,70.5882352941,64.7058823529,55.8823529412,35.2941176471
P08238_HSP90AB1     ,0.006123114,44088,87,44001,0.0002718015,5098,4036,4968,5184,4653,5184,5180,5130,4655,4,0,0,83,0,0,0,0,0,0.25,0.6666666667,0.5,0.25,0.25,1,0.75,0.75,0.5,58.8235294118,71.875,67.6470588235,52.9411764706,79.4117647059,58.8235294118,61.7647058824,55.8823529412,47.0588235294
P05386_RPLP1        ,0.0068489858,39412,1720,37692,0.0002979539,3747,4096,5184,5184,5184,3964,5184,3197,3672,0,0,0,0,765,0,925,0,30,0.25,0.8333333333,0.75,0.25,0.75,0.75,0.75,0.5,0.5,35.2941176471,59.375,70.5882352941,58.8235294118,64.7058823529,70.5882352941,55.8823529412,58.8235294118,52.9411764706
P04792_HSPB1        ,0.008062564,36571,58,36513,0.0003116898,3932,3037,2930,5184,5184,5184,4106,3204,3810,3,0,0,53,0,2,0,0,0,0.25,0.6666666667,0.5,0.25,0.75,0.75,1,0.5,0.5,47.0588235294,62.5,61.7647058824,58.8235294118,67.6470588235,61.7647058824,52.9411764706,73.5294117647,64.7058823529
