1,2,3,4,5,6,7,8,9
X12.5fmol_C1        ,X12.5fmol_C10       ,X12.5fmol_C1        ,X12.5fmol_C1        ,X12.5fmol_C1        ,X12.5fmol_C1        ,X12.5fmol_C1        ,X12.5fmol_C1        ,X12.5fmol_C1        
X12.5fmol_C10       ,X12.5fmol_C2        ,X12.5fmol_C10       ,X12.5fmol_C2        ,X12.5fmol_C10       ,X12.5fmol_C10       ,X12.5fmol_C10       ,X12.5fmol_C10       ,X12.5fmol_C10       
X12.5fmol_C2        ,X12.5fmol_C3        ,X12.5fmol_C2        ,X12.5fmol_C3        ,X12.5fmol_C2        ,X12.5fmol_C2        ,X12.5fmol_C2        ,X12.5fmol_C3        ,X12.5fmol_C2        
X12.5fmol_C3        ,X12.5fmol_C4        ,X12.5fmol_C3        ,X12.5fmol_C4        ,X12.5fmol_C3        ,X12.5fmol_C3        ,X12.5fmol_C4        ,X12.5fmol_C4        ,X12.5fmol_C3        
X12.5fmol_C4        ,X12.5fmol_C5        ,X12.5fmol_C4        ,X12.5fmol_C5        ,X12.5fmol_C5        ,X12.5fmol_C4        ,X12.5fmol_C5        ,X12.5fmol_C5        ,X12.5fmol_C4        
X12.5fmol_C8        ,X12.5fmol_C8        ,X12.5fmol_C5        ,X12.5fmol_C8        ,X12.5fmol_C8        ,X12.5fmol_C5        ,X12.5fmol_C8        ,X12.5fmol_C8        ,X12.5fmol_C5        
X12.5fmol_C9        ,X12.5fmol_C9        ,X12.5fmol_C8        ,X12.5fmol_C9        ,X12.5fmol_C9        ,X12.5fmol_C9        ,X12.5fmol_C9        ,X12.5fmol_C9        ,X12.5fmol_C8        
X12.5fmol_Ro        ,X12.5fmol_Ro        ,X12.5fmol_C9        ,X12.5fmol_Ro        ,X12.5fmol_Ro        ,X12.5fmol_Ro        ,X12.5fmol_Ro        ,X12.5fmol_Ro        ,X12.5fmol_Ro        
X25fmol_semtumor_S09,X25fmol_semtumor_S09,X25fmol_semtumor_S09,X25fmol_semtumor_S09,X25fmol_semtumor_S09,X25fmol_semtumor_S09,X25fmol_semtumor_S09,X25fmol_semtumor_S36,X25fmol_semtumor_S09
X25fmol_semtumor_S36,X25fmol_semtumor_S36,X25fmol_semtumor_S36,X25fmol_semtumor_S36,X25fmol_semtumor_S36,X25fmol_semtumor_S36,X25fmol_semtumor_S36,X25fmol_semtumor_S40,X25fmol_semtumor_S40
X25fmol_semtumor_S40,X25fmol_semtumor_S40,X25fmol_semtumor_S40,X25fmol_semtumor_S40,X25fmol_semtumor_S40,X25fmol_semtumor_S49,X25fmol_semtumor_S40,X25fmol_semtumor_S49,X25fmol_semtumor_S49
X25fmol_semtumor_S49,X25fmol_semtumor_S49,X25fmol_semtumor_S49,X25fmol_semtumor_S55,X25fmol_semtumor_S49,X25fmol_semtumor_S55,X25fmol_semtumor_S49,X25fmol_semtumor_S55,X25fmol_semtumor_S55
X25fmol_semtumor_S57,X25fmol_semtumor_S55,X25fmol_semtumor_S55,X25fmol_semtumor_S57,X25fmol_semtumor_S55,X25fmol_semtumor_S57,X25fmol_semtumor_S55,X25fmol_semtumor_S57,X25fmol_semtumor_S57
X25fmol_semtumor_S61,X25fmol_semtumor_S57,X25fmol_semtumor_S57,X25fmol_semtumor_S64,X25fmol_semtumor_S57,X25fmol_semtumor_S61,X25fmol_semtumor_S61,X25fmol_semtumor_S61,X25fmol_semtumor_S61
X25fmol_semtumor_S64,X25fmol_semtumor_S61,X25fmol_semtumor_S61,X25fmol_semtumor_S68,X25fmol_semtumor_S61,X25fmol_semtumor_S64,X25fmol_semtumor_S64,X25fmol_semtumor_S64,X25fmol_semtumor_S64
X25fmol_semtumor_S68,X25fmol_semtumor_S64,X25fmol_semtumor_S64,X25fmol_semtumor_T16,X25fmol_semtumor_S68,X25fmol_semtumor_S68,X25fmol_semtumor_S68,X25fmol_semtumor_S68,X25fmol_semtumor_S68
X25fmol_semtumor_T16,X25fmol_semtumor_T16,X25fmol_semtumor_S68,X50fmol_T1T2_S17    ,X25fmol_semtumor_T16,X25fmol_semtumor_T16,X25fmol_semtumor_T16,X25fmol_semtumor_T16,X25fmol_semtumor_T16
X50fmol_T1T2_S17    ,X50fmol_T1T2_S17    ,X50fmol_T1T2_S57    ,X50fmol_T1T2_S57    ,X50fmol_T1T2_S17    ,X50fmol_T1T2_S17    ,X50fmol_T1T2_S17    ,X50fmol_T1T2_S17    ,X50fmol_T1T2_S17    
X50fmol_T1T2_S57    ,X50fmol_T1T2_S57    ,X50fmol_T1T2_S77    ,X50fmol_T1T2_S77    ,X50fmol_T1T2_S77    ,X50fmol_T1T2_S57    ,X50fmol_T1T2_S57    ,X50fmol_T1T2_S57    ,X50fmol_T1T2_S57    
X50fmol_T1T2_S77    ,X50fmol_T1T2_S77    ,X50fmol_T1T2_S78    ,X50fmol_T1T2_S78    ,X50fmol_T1T2_S78    ,X50fmol_T1T2_S77    ,X50fmol_T1T2_S77    ,X50fmol_T1T2_S78    ,X50fmol_T1T2_S77    
