"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"1",1,15,"P00330_ADH1",0.82
"2",2,6,"P00489_GPB",0.8
"3",3,5,"A0A087WZH9",0.793333333333333
"4",4,4,"P62937_PPIA",0.76
"5",5,4,"P14550_AKR1A1",0.82
"6",6,4,"P08311_CTSG",0.653333333333333
"7",7,4,"P01591_IGJ",0.893333333333333
"8",8,4,"CON__P00761",0.933333333333333
"9",9,3,"H0YBX6_UBE2V2",0.886666666666667
"10",10,3,"P09228_CST2",0.96
"11",11,3,"P02769_BSA",0.926666666666667
"12",12,2,"P04280_PRB1",0.966666666666667
"13",13,2,"P02750_LRG1",0.926666666666667
"14",14,2,"P01037_CST1",0.933333333333333
"15",15,2,"P01023_A2M",1
"16",16,2,"P00924_ENO1",0.933333333333333
"17",17,2,"P00738_HP",0.96
"18",18,2,"O60888-2_CUTA",0.96
"19",19,2,"Q9NZL9_MAT2B",0.966666666666667
"20",20,2,"P09429_HMGB1",0.966666666666667
"21",21,2,"Q06830_PRDX1",0.966666666666667
"22",22,2,"A0A075B6P5",0.966666666666667
"23",23,1,"P68371_TUBB4B",0.96
"24",24,1,"P31946-2",0.966666666666667
"25",25,1,"P23280_CA6",0.966666666666667
"26",26,1,"P14174_MIF",0.96
"27",27,1,"P12429_ANXA3",0.96
"28",28,1,"P12273_PIP",0.926666666666667
"29",29,1,"P11142_HSPA8",0.966666666666667
"30",30,1,"P07108-6_DBI",0.933333333333333
"31",31,1,"P04792_HSPB1",0.933333333333333
"32",32,1,"P04083_ANXA1",0.966666666666667
"33",33,1,"P02787_TF",0.926666666666667
"34",34,1,"P02675_FGB",0.966666666666667
"35",35,1,"P01877_IGHA2",0.926666666666667
"36",36,1,"P01714",0.926666666666667
"37",37,1,"P01622",0.933333333333333
"38",38,1,"P01616",0.926666666666667
"39",39,1,"P01024_C3",0.933333333333333
"40",40,1,"P22079_LPO",0.926666666666667
"41",41,1,"D6RF35_GC",0.92
"42",42,1,"P19971-2_TYMP",0.926666666666667
"43",43,1,"B4E1Z4_CFB",0.933333333333333
"44",44,1,"A0A087WW89",0.916666666666667
"45",45,1,"A0A0A0MS15",0.926666666666667
"46",46,1,"A0A087WVW2_IGHG3",0.926666666666667
"47",47,0,"V9HW75_NUCB2",0.92
"48",48,0,"Q9UKR3_KLK13",0.926666666666667
"49",49,0,"Q9UIV8_SERPINB13",0.916666666666667
"50",50,0,"Q9UGM3-6_DMBT1",0.926666666666667
"51",51,0,"Q9UBX7-3_KLK11",0.92
"52",52,0,"Q9UBG3_CRNN",0.933333333333333
"53",53,0,"Q9UBC9_SPRR3",0.9
"54",54,0,"Q9NQ38-3_SPINK5",0.926666666666667
"55",55,0,"Q9HD89_RETN",0.88
"56",56,0,"Q9HC84_MUC5B",0.9
"57",57,0,"Q9BRF8_CPPED1",0.866666666666667
"58",58,0,"Q9BRA2_TXNDC17",0.813333333333333
"59",59,0,"Q9BQR3_PRSS27",0.886666666666667
"60",60,0,"Q99879_HIST1H2BM",0.886666666666667
"61",61,0,"Q99536_VAT1",0.866666666666667
"62",62,0,"Q96DR5_BPIFA2",0.886666666666667
"63",63,0,"Q96DA0_ZG16B",0.886666666666667
"64",64,0,"Q8TDL5_BPIFB1",0.88
"65",65,0,"Q8TAX7_MUC7",0.88
"66",66,0,"Q8N4F0_BPIFB2",0.886666666666667
"67",67,0,"Q6P5S2_C6orf58",0.85
"68",68,0,"Q68D86_CCDC102B",0.926666666666667
"69",69,0,"A0A087WV23_SH3BGRL3",0.846666666666667
"70",70,0,"Q14CN2_CLCA4",0.933333333333333
"71",71,0,"Q14974_KPNB1",0.886666666666667
"72",72,0,"Q14847_LASP1",0.76
"73",73,0,"Q14508_WFDC2",0.786666666666667
"74",74,0,"Q08380_LGALS3BP",0.773333333333333
"75",75,0,"Q08188_TGM3",0.886666666666667
"76",76,0,"Q07654_TFF3",0.883333333333333
"77",77,0,"Q02487_DSC2",0.813333333333333
"78",78,0,"Q02413_DSG1",0.893333333333333
"79",79,0,"Q01518_CAP1",0.806666666666667
"80",80,0,"Q01469_FABP5",0.866666666666667
"81",81,0,"P80748",0.826666666666667
"82",82,0,"X6R8F3_LCN2",0.893333333333333
"83",83,0,"P78417_GSTO1",0.833333333333333
"84",84,0,"P69905_HBA1",0.786666666666667
"85",85,0,"P68871_HBB",0.78
"86",86,0,"P68032_ACTC1",0.846666666666667
"87",87,0,"P63313_TMSB10",0.8
"88",88,0,"P63261_ACTG1",0.766666666666667
"89",89,0,"P62942_FKBP1A",0.826666666666667
"90",90,0,"P62805_HIST1H4A",0.82
"91",91,0,"P62328_TMSB4X",0.786666666666667
"92",92,0,"P61769_B2M",0.826666666666667
"93",93,0,"P61626_LYZ",0.82
"94",94,0,"P61586_RHOA",0.746666666666667
"95",95,0,"P61158_ACTR3",0.72
"96",96,0,"P60174_TPI1",0.773333333333333
"97",97,0,"P59998-3_ARPC4",0.753333333333333
"98",98,0,"P59665_DEFA1",0.746666666666667
"99",99,0,"P55058_PLTP",0.746666666666667
"100",100,0,"P53634_CTSC",0.78
"101",101,0,"P52907_CAPZA1",0.746666666666667
"102",102,0,"P52566_ARHGDIB",0.766666666666667
"103",103,0,"P52209_PGD",0.853333333333333
"104",104,0,"P50395_GDI2",0.706666666666667
"105",105,0,"B1AK88_CAPZB",0.72
"106",106,0,"P40121_CAPG",0.74
"107",107,0,"P37837_TALDO1",0.72
"108",108,0,"P37802-2_TAGLN2",0.746666666666667
"109",109,0,"P36952_SERPINB5",0.686666666666667
"110",110,0,"P35579_MYH9",0.78
"111",111,0,"P35321_SPRR1A",0.78
"112",112,0,"P32926_DSG3",0.753333333333333
"113",113,0,"P31949_S100A11",0.706666666666667
"114",114,0,"P31947_SFN",0.706666666666667
"115",115,0,"P31151_S100A7",0.65
"116",116,0,"P31146_CORO1A",0.716666666666667
"117",117,0,"P31025_LCN1",0.673333333333333
"118",118,0,"P30740_SERPINB1",0.78
"119",119,0,"P30101_PDIA3",0.733333333333333
"120",120,0,"P30044_PRDX5",0.7
"121",121,0,"P29508_SERPINB3",0.733333333333333
"122",122,0,"P29401-2_TKT",0.733333333333333
"123",123,0,"P28325_CST5",0.706666666666667
"124",124,0,"P26038_MSN",0.793333333333333
"125",125,0,"P25311_AZGP1",0.733333333333333
"126",126,0,"P24158_PRTN3",0.726666666666667
"127",127,0,"E9PK25_CFL1",0.706666666666667
"128",128,0,"P23381_WARS",0.766666666666667
"129",129,0,"P23284_PPIB",0.733333333333333
"130",130,0,"P22894_MMP8",0.686666666666667
"131",131,0,"P22532_SPRR2D",0.706666666666667
"132",132,0,"Q32Q12_NME1-NME2",0.773333333333333
"133",133,0,"P22314_UBA1",0.706666666666667
"134",134,0,"P21333_FLNA",0.773333333333333
"135",135,0,"P20618_PSMB1",0.753333333333333
"136",136,0,"P20160_AZU1",0.753333333333333
"137",137,0,"P20061_TCN1",0.746666666666667
"138",138,0,"P19961_AMY2B",0.786666666666667
"139",139,0,"P18669_PGAM1",0.786666666666667
"140",140,0,"P18510-2_IL1RN",0.673333333333333
"141",141,0,"P17931_LGALS3",0.713333333333333
"142",142,0,"P17174_GOT1",0.673333333333333
"143",143,0,"P16403_HIST1H1C",0.753333333333333
"144",144,0,"P16402_HIST1H1D",0.733333333333333
"145",145,0,"P16401_HIST1H1B",0.65
"146",146,0,"P14780_MMP9",0.686666666666667
"147",147,0,"P14618_PKM2",0.683333333333333
"148",148,0,"P13796_LCP1",0.72
"149",149,0,"P13688_CEACAM1",0.683333333333333
