"","rank","protein"
"1",1,"P00330_ADH1"
"2",2,"P00489_GPB"
"3",3,"P01591_IGJ"
"4",4,"H0YBX6_UBE2V2"
"5",5,"P02769_BSA"
"6",6,"A0A087WZH9"
"7",7,"P05386_RPLP1"
"8",8,"Q06830_PRDX1"
"9",9,"P00924_ENO1"
"10",10,"P11142_HSPA8"
"11",11,"P00738_HP"
"12",12,"P14174_MIF"
"13",13,"A0A087X2C0"
"14",14,"P09429_HMGB1"
"15",15,"P09228_CST2"
"16",16,"P08311_CTSG"
"17",17,"A0A075B6P5"
"18",18,"P01714"
"19",19,"CON__P00761"
"20",20,"P14550_AKR1A1"
"21",21,"P62937_PPIA"
"22",22,"P01023_A2M"
"23",23,"P04280_PRB1"
"24",24,"P04792_HSPB1"
"25",25,"P02750_LRG1"
"26",26,"P01024_C3"
"27",27,"P29401-2_TKT"
"28",28,"A0A087X130"
"29",29,"P22079_LPO"
"30",30,"P07108-6_DBI"
"31",31,"P31946-2"
"32",32,"P12273_PIP"
"33",33,"P01009_SERPINA1"
"34",34,"P01037_CST1"
"35",35,"O43707_ACTN4"
"36",36,"Q14508_WFDC2"
"37",37,"P53634_CTSC"
"38",38,"P01877_IGHA2"
"39",39,"P01616"
"40",40,"A0A0A0MS15"
"41",41,"P68371_TUBB4B"
"42",42,"P01008_SERPINC1"
"43",43,"P01859_IGHG2"
"44",44,"P12429_ANXA3"
"45",45,"D6RF35_GC"
"46",46,"P01036_CST4"
"47",47,"P30838_ALDH3A1"
"48",48,"P59665_DEFA1"
"49",49,"A0A0A0MTS2_GPI"
"50",50,"P02787_TF"
"51",51,"P01876_IGHA1"
"52",52,"P04004_VTN"
"53",53,"P22532_SPRR2D"
"54",54,"P05164-3_MPO"
"55",55,"P61586_RHOA"
"56",56,"P31151_S100A7"
"57",57,"P04083_ANXA1"
"58",58,"P13688_CEACAM1"
"59",59,"P19961_AMY2B"
"60",60,"O75083_WDR1"
"61",61,"P11215-2_ITGAM"
"62",62,"P02760_AMBP"
"63",63,"A0A087WVW2_IGHG3"
"64",64,"P04264_KRT1"
"65",65,"P07339_CTSD"
"66",66,"P28325_CST5"
"67",67,"P19971-2_TYMP"
"68",68,"P23280_CA6"
"69",69,"P02814_SMR3B"
"70",70,"A0A087WW89"
"71",71,"P04406_GAPDH"
"72",72,"P06576_ATP5B"
"73",73,"P02788_LTF"
"74",74,"P60174_TPI1"
"75",75,"O15511-2_ARPC5"
"76",76,"P07858_CTSB"
"77",77,"P00450_CP"
"78",78,"Q99879_HIST1H2BM"
"79",79,"P31947_SFN"
"80",80,"P01624"
"81",81,"P06396_GSN"
"82",82,"Q07654_TFF3"
"83",83,"CON__P01966"
"84",84,"O00299_CLIC1"
"85",85,"O60888-2_CUTA"
"86",86,"CON__P02538_KRT6A"
"87",87,"P09960_LTA4H"
"88",88,"P51149_RAB7A"
"89",89,"P06733_ENO1"
"90",90,"P04080_CSTB"
"91",91,"Q32Q12_NME1-NME2"
"92",92,"P61626_LYZ"
"93",93,"P01598"
"94",94,"P04196_HRG"
"95",95,"A0A075B6L0_IGLC3"
"96",96,"P14780_MMP9"
"97",97,"P78417_GSTO1"
"98",98,"CON__P35527_KRT9"
"99",99,"P08571_CD14"
"100",100,"P16401_HIST1H1B"
"101",101,"E7EX29_YWHAZ"
"102",102,"P06870_KLK1"
"103",103,"CON__P13645_KRT10"
"104",104,"O00391_QSOX1"
"105",105,"Q8TAX7_MUC7"
"106",106,"P02763_ORM1"
"107",107,"P68871_HBB"
"108",108,"V9HW75_NUCB2"
"109",109,"P03973_SLPI"
"110",110,"B7Z6Z4_MYL6"
"111",111,"P08238_HSP90AB1"
"112",112,"O75594_PGLYRP1"
"113",113,"P31025_LCN1"
"114",114,"A8K2U0_A2ML1"
"115",115,"P00558_PGK1"
"116",116,"P16403_HIST1H1C"
"117",117,"P02671_FGA"
"118",118,"P02753_RBP4"
"119",119,"Q14847_LASP1"
"120",120,"Q8N4F0_BPIFB2"
"121",121,"P22314_UBA1"
"122",122,"P01833_PIGR"
"123",123,"P00338-3_LDHA"
"124",124,"A0A024R6X1_CES2"
"125",125,"P20061_TCN1"
"126",126,"A0A087WV47_IGHG1"
"127",127,"P15153_RAC2"
"128",128,"P07237_P4HB"
"129",129,"O15145_ARPC3"
"130",130,"E9PK25_CFL1"
"131",131,"P40121_CAPG"
"132",132,"Q99536_VAT1"
"133",133,"P40925-3_MDH1"
"134",134,"P22894_MMP8"
"135",135,"P07737_PFN1"
"136",136,"P55786_NPEPPS"
"137",137,"Q01469_FABP5"
"138",138,"P10412_HIST1H1E"
"139",139,"P63261_ACTG1"
"140",140,"A0A087WZW8"
"141",141,"P01622"
"142",142,"P37837_TALDO1"
"143",143,"P01780"
"144",144,"P01033_TIMP1"
"145",145,"P55058_PLTP"
"146",146,"P06753-2_TPM3"
"147",147,"B4E1Z4_CFB"
"148",148,"O00764_PDXK"
"149",149,"Q01518_CAP1"
"150",150,"P04075-2_ALDOA"
"151",151,"P17931_LGALS3"
"152",152,"P52566_ARHGDIB"
"153",153,"Q9HC84_MUC5B"
"154",154,"P52209_PGD"
"155",155,"C9JC84_FGG"
"156",156,"P04217_A1BG"
"157",157,"Q9UBG3_CRNN"
"158",158,"P10909-2_CLU"
"159",159,"P05109_S100A8"
"160",160,"A0A087WT59_TTR"
"161",161,"P06331"
"162",162,"Q9UG63-2_ABCF2"
"163",163,"P59998-3_ARPC4"
"164",164,"P61160-2_ACTR2"
"165",165,"P69905_HBA1"
"166",166,"O95274_LYPD3"
"167",167,"Q9UIV8_SERPINB13"
"168",168,"P11413-2_G6PD"
"169",169,"P17174_GOT1"
"170",170,"P18510-2_IL1RN"
"171",171,"P35321_SPRR1A"
"172",172,"Q9NZL9_MAT2B"
"173",173,"P23381_WARS"
"174",174,"P02675_FGB"
"175",175,"P37802-2_TAGLN2"
"176",176,"P12814-3_ACTN1"
"177",177,"CON__P60712_ACTB"
"178",178,"P09382_LGALS1"
"179",179,"P06314_IGKV4-1"
"180",180,"Q14CN2_CLCA4"
"181",181,"E5RHG6_TBCA"
"182",182,"P20160_AZU1"
"183",183,"P01034_CST3"
"184",184,"A0A087WZM2_RNASET2"
"185",185,"Q68D86_CCDC102B"
"186",186,"A0A087WV23_SH3BGRL3"
"187",187,"P62328_TMSB4X"
"188",188,"P63313_TMSB10"
"189",189,"Q08188_TGM3"
"190",190,"P21333_FLNA"
"191",191,"P04040_CAT"
"192",192,"CON__P02768-1_ALB"
"193",193,"Q9BQR3_PRSS27"
"194",194,"P31949_S100A11"
"195",195,"P08670_VIM"
"196",196,"Q9Y6R7_FCGBP"
"197",197,"P68431_HIST1H3A"
"198",198,"P08107_HSPA1A"
"199",199,"P18669_PGAM1"
"200",200,"P01861_IGHG4"
"201",201,"P19823_ITIH2"
"202",202,"P35579_MYH9"
"203",203,"P52907_CAPZA1"
"204",204,"P02647_APOA1"
"205",205,"P04745_AMY1A"
"206",206,"P01717"
"207",207,"Q9UBC9_SPRR3"
"208",208,"P25311_AZGP1"
"209",209,"X6R8F3_LCN2"
"210",210,"P62942_FKBP1A"
"211",211,"P14618_PKM2"
"212",212,"P01763"
"213",213,"P30101_PDIA3"
"214",214,"Q08380_LGALS3BP"
"215",215,"Q9UGM3-6_DMBT1"
"216",216,"P09211_GSTP1"
"217",217,"P06702_S100A9"
"218",218,"O95336_PGLS"
"219",219,"Q9BRA2_TXNDC17"
"220",220,"P10599_TXN"
"221",221,"Q6P5S2_C6orf58"
"222",222,"P08603_CFH"
"223",223,"CON__P13646-1"
"224",224,"C9JV77_AHSG"
"225",225,"B5MDF5_RAN"
"226",226,"P07996_THBS1"
"227",227,"P30740_SERPINB1"
"228",228,"P30044_PRDX5"
"229",229,"P31146_CORO1A"
"230",230,"P23284_PPIB"
"231",231,"E7EQR4_EZR"
"232",232,"Q9UKR3_KLK13"
"233",233,"CON__Q3MHH8"
"234",234,"A0A075B6R9"
"235",235,"P24158_PRTN3"
"236",236,"P07900-2_HSP90AA1"
"237",237,"P16402_HIST1H1D"
"238",238,"Q14697-2_GANAB"
"239",239,"Q9HD89_RETN"
"240",240,"Q14974_KPNB1"
"241",241,"P02790_HPX"
"242",242,"P62805_HIST1H4A"
"243",243,"P50395_GDI2"
"244",244,"J3KPA1_CRISP3"
"245",245,"P04899-4_GNAI2"
"246",246,"Q9NQ38-3_SPINK5"
"247",247,"P62258_YWHAE"
"248",248,"P61158_ACTR3"
"249",249,"A0A087WX49_IGLL5"
"250",250,"P01779"
"251",251,"P01593"
"252",252,"Q96DA0_ZG16B"
"253",253,"Q9BRF8_CPPED1"
"254",254,"P11021_HSPA5"
"255",255,"P13797_PLS3"
"256",256,"Q02413_DSG1"
"257",257,"Q9UBX7-3_KLK11"
"258",258,"P01767"
"259",259,"P01042-2_KNG1"
"260",260,"P08246_ELANE"
"261",261,"Q02487_DSC2"
"262",262,"P68032_ACTC1"
"263",263,"P13796_LCP1"
"264",264,"P32926_DSG3"
"265",265,"A0A087WSX4"
"266",266,"P0C0L5_C4B"
"267",267,"CON__P08779_KRT16"
"268",268,"P26038_MSN"
"269",269,"P20618_PSMB1"
"270",270,"P36952_SERPINB5"
"271",271,"P61769_B2M"
"272",272,"P06454_PTMA"
"273",273,"P17858_PFKL"
"274",274,"Q8TDL5_BPIFB1"
"275",275,"Q96DR5_BPIFA2"
"276",276,"P80748"
"277",277,"P01623"
"278",278,"P00491_PNP"
"279",279,"B1AK88_CAPZB"
"280",280,"P0C0S8_HIST1H2AG"
"281",281,"P29508_SERPINB3"
