"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"1",1,27,"P00330_ADH1",0
"2",2,19,"CON__P00761",0.888888888888889
"3",3,12,"P00489_GPB",0.851851851851852
"4",4,9,"P02769_BSA",0.851851851851852
"5",5,6,"H0YBX6_UBE2V2",0.888888888888889
"6",6,6,"P01714",0.888888888888889
"7",7,6,"P09429_HMGB1",0.925925925925926
"8",8,6,"Q06830_PRDX1",0.962962962962963
"9",9,6,"A0A087WZH9",0.935185185185185
"10",10,5,"P62937_PPIA",0.888888888888889
"11",11,5,"P14550_AKR1A1",0.861111111111111
"12",12,5,"P11142_HSPA8",0.888888888888889
"13",13,5,"P01591_IGJ",0.925925925925926
"14",14,5,"P01023_A2M",0.925925925925926
"15",15,4,"P09228_CST2",0.972222222222222
"16",16,4,"P02750_LRG1",1
"17",17,4,"P00924_ENO1",1
"18",18,3,"P68371_TUBB4B",0.962962962962963
"19",19,3,"P23280_CA6",0.962962962962963
"20",20,3,"P12429_ANXA3",0.962962962962963
"21",21,3,"P02787_TF",0.962962962962963
"22",22,3,"P00738_HP",0.972222222222222
"23",23,3,"A0A075B6P5",0.972222222222222
"24",24,3,"A0A087WW89",0.962962962962963
"25",25,2,"Q8N4F0_BPIFB2",0.972222222222222
"26",26,2,"P53634_CTSC",0.962962962962963
"27",27,2,"P31946-2",0.972222222222222
"28",28,2,"P14174_MIF",1
"29",29,2,"P12273_PIP",1
"30",30,2,"P08311_CTSG",1
"31",31,2,"P07858_CTSB",1
"32",32,2,"P05386_RPLP1",0.935185185185185
"33",33,2,"P04792_HSPB1",0.925925925925926
"34",34,2,"P04280_PRB1",1
"35",35,2,"P02814_SMR3B",1
"36",36,2,"P02760_AMBP",1
"37",37,2,"P02753_RBP4",0.962962962962963
"38",38,2,"P01624",1
"39",39,2,"P01024_C3",1
"40",40,2,"P01008_SERPINC1",1
"41",41,2,"P00450_CP",0.972222222222222
"42",42,2,"O75083_WDR1",1
"43",43,1,"P29401-2_TKT",1
"44",44,1,"P11215-2_ITGAM",1
"45",45,1,"P07108-6_DBI",0.972222222222222
"46",46,1,"P06870_KLK1",0.962962962962963
"47",47,1,"A0A0A0MTS2_GPI",1
"48",48,1,"P01037_CST1",1
"49",49,1,"P01009_SERPINA1",0.962962962962963
"50",50,1,"O43707_ACTN4",0.962962962962963
"51",51,1,"P22079_LPO",0.962962962962963
"52",52,1,"A0A087WZW8",0.962962962962963
"53",53,1,"A0A087WVW2_IGHG3",1
"54",54,0,"V9HW75_NUCB2",1
"55",55,0,"Q9UKR3_KLK13",0.962962962962963
"56",56,0,"Q9UIV8_SERPINB13",1
"57",57,0,"Q9UGM3-6_DMBT1",1
"58",58,0,"Q9UBX7-3_KLK11",1
"59",59,0,"Q9UBG3_CRNN",0.962962962962963
"60",60,0,"Q9UBC9_SPRR3",1
"61",61,0,"Q9NQ38-3_SPINK5",0.962962962962963
"62",62,0,"Q9HD89_RETN",0.962962962962963
"63",63,0,"Q9HC84_MUC5B",0.972222222222222
"64",64,0,"Q9BRF8_CPPED1",0.962962962962963
"65",65,0,"Q9BRA2_TXNDC17",0.944444444444444
"66",66,0,"Q9BQR3_PRSS27",0.935185185185185
"67",67,0,"Q99879_HIST1H2BM",0.962962962962963
"68",68,0,"Q99536_VAT1",0.972222222222222
"69",69,0,"Q96DR5_BPIFA2",0.925925925925926
"70",70,0,"Q96DA0_ZG16B",0.925925925925926
"71",71,0,"Q8TDL5_BPIFB1",0.925925925925926
"72",72,0,"Q8TAX7_MUC7",0.898148148148148
"73",73,0,"Q6P5S2_C6orf58",0.925925925925926
"74",74,0,"Q68D86_CCDC102B",0.898148148148148
"75",75,0,"A0A087WV23_SH3BGRL3",0.925925925925926
"76",76,0,"Q14CN2_CLCA4",0.925925925925926
"77",77,0,"Q14974_KPNB1",0.935185185185185
"78",78,0,"Q14847_LASP1",0.925925925925926
"79",79,0,"Q14508_WFDC2",0.962962962962963
