"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"1",1,15,"P00330_ADH1",0.82
"2",2,12,"P00489_GPB",0.82
"3",3,12,"CON__P00761",0.893333333333333
"4",4,11,"P02769_BSA",0.846666666666667
"5",5,10,"P09429_HMGB1",0.966666666666667
"6",6,9,"P11142_HSPA8",0.926666666666667
"7",7,9,"P00924_ENO1",0.893333333333333
"8",8,9,"Q06830_PRDX1",1
"9",9,9,"A0A087WZH9",0.966666666666667
"10",10,8,"P68371_TUBB4B",0.966666666666667
"11",11,8,"P09228_CST2",0.933333333333333
"12",12,8,"A0A075B6P5",0.966666666666667
"13",13,7,"H0YBX6_UBE2V2",0.96
"14",14,7,"P53634_CTSC",0.933333333333333
"15",15,7,"P14550_AKR1A1",0.886666666666667
"16",16,7,"P14174_MIF",1
"17",17,7,"P02750_LRG1",0.966666666666667
"18",18,7,"P01714",0.926666666666667
"19",19,7,"P01023_A2M",0.966666666666667
"20",20,7,"P00738_HP",1
"21",21,7,"O43707_ACTN4",0.933333333333333
"22",22,6,"P31946-2",0.966666666666667
"23",23,6,"P29401-2_TKT",0.926666666666667
"24",24,6,"P22532_SPRR2D",0.926666666666667
"25",25,6,"P12429_ANXA3",1
"26",26,6,"P12273_PIP",0.966666666666667
"27",27,6,"P08311_CTSG",0.926666666666667
"28",28,6,"P07108-6_DBI",0.96
"29",29,6,"P04792_HSPB1",0.96
"30",30,6,"P04280_PRB1",0.926666666666667
"31",31,6,"P01591_IGJ",0.966666666666667
"32",32,6,"P01037_CST1",0.96
"33",33,6,"P01036_CST4",0.966666666666667
"34",34,6,"P01024_C3",0.966666666666667
"35",35,6,"P01009_SERPINA1",0.966666666666667
"36",36,6,"P01008_SERPINC1",0.966666666666667
"37",37,6,"P00450_CP",0.966666666666667
"38",38,6,"P22079_LPO",0.933333333333333
"39",39,6,"D6RF35_GC",0.926666666666667
"40",40,5,"P62937_PPIA",0.96
"41",41,5,"P31151_S100A7",1
"42",42,5,"P31025_LCN1",0.966666666666667
"43",43,5,"P13688_CEACAM1",0.96
"44",44,5,"P06870_KLK1",0.916666666666667
"45",45,5,"P05386_RPLP1",0.893333333333333
"46",46,5,"P02814_SMR3B",0.933333333333333
"47",47,5,"P02787_TF",0.92
"48",48,5,"P01877_IGHA2",0.926666666666667
"49",49,5,"P01859_IGHG2",0.9
"50",50,5,"P01616",0.933333333333333
"51",51,5,"O60888-2_CUTA",0.933333333333333
"52",52,5,"CON__P35527_KRT9",0.926666666666667
"53",53,5,"CON__P01966",0.933333333333333
"54",54,5,"A0A087X2C0",0.933333333333333
"55",55,5,"A0A087WW89",0.933333333333333
"56",56,5,"A0A0A0MS15",0.893333333333333
"57",57,5,"A0A087WVW2_IGHG3",0.893333333333333
"58",58,4,"V9HW75_NUCB2",0.933333333333333
"59",59,4,"Q99879_HIST1H2BM",0.966666666666667
"60",60,4,"Q14847_LASP1",0.96
"61",61,4,"P61626_LYZ",0.966666666666667
"62",62,4,"P61586_RHOA",0.933333333333333
"63",63,4,"P60174_TPI1",0.933333333333333
"64",64,4,"P59665_DEFA1",0.926666666666667
"65",65,4,"P40121_CAPG",0.933333333333333
"66",66,4,"P31947_SFN",0.933333333333333
"67",67,4,"E9PK25_CFL1",0.926666666666667
"68",68,4,"P23280_CA6",0.816666666666667
"69",69,4,"P19961_AMY2B",0.78
"70",70,4,"P16401_HIST1H1B",0.933333333333333
"71",71,4,"P11215-2_ITGAM",0.933333333333333
"72",72,4,"P07858_CTSB",0.933333333333333
"73",73,4,"A0A0A0MTS2_GPI",0.853333333333333
"74",74,4,"P06733_ENO1",0.916666666666667
"75",75,4,"P06396_GSN",0.933333333333333
"76",76,4,"P05164-3_MPO",0.82
"77",77,4,"P04083_ANXA1",0.933333333333333
"78",78,4,"P04080_CSTB",0.916666666666667
"79",79,4,"P04004_VTN",0.9
"80",80,4,"P01876_IGHA1",0.926666666666667
"81",81,4,"Q9NZL9_MAT2B",0.893333333333333
"82",82,4,"P06576_ATP5B",0.886666666666667
"83",83,4,"P04406_GAPDH",0.9
"84",84,4,"CON__P13645_KRT10",0.926666666666667
"85",85,4,"P30838_ALDH3A1",0.866666666666667
"86",86,4,"P19971-2_TYMP",0.886666666666667
"87",87,4,"P40925-3_MDH1",0.85
"88",88,4,"P15153_RAC2",0.893333333333333
"89",89,3,"Q9UIV8_SERPINB13",0.893333333333333
"90",90,3,"Q9UBG3_CRNN",0.926666666666667
"91",91,3,"Q9HC84_MUC5B",0.853333333333333
"92",92,3,"Q8TAX7_MUC7",0.853333333333333
"93",93,3,"Q8N4F0_BPIFB2",0.9
"94",94,3,"Q14508_WFDC2",0.833333333333333
"95",95,3,"P62942_FKBP1A",0.9
"96",96,3,"P52209_PGD",0.853333333333333
