"","id","name","12.5fmol-score","25fmol-score","50fmol-score"
"1","P00330_ADH1","P00330_ADH1","-0.8325","0.0054","0.8265"
"2","P09228_CST2","P09228_CST2","0.5111","-0.7259","0.2955"
"3","P01037_CST1","P01037_CST1","0.4626","-0.6828","0.296"
"4","P05386_RPLP1","P05386_RPLP1","0.6738","-0.5151","-0.1014"
"5","P02769_BSA","P02769_BSA","-0.5838","-0.08","0.6727"
"6","P01023_A2M","P01023_A2M","-0.6496","0.4062","0.1983"
"7","P00489_GPB","P00489_GPB","-0.6266","-0.0177","0.6463"
"8","P01036_CST4","P01036_CST4","0.4435","-0.6367","0.2639"
"9","P00738_HP","P00738_HP","-0.5583","0.3874","0.1278"
"10","B7Z6Z4_MYL6","B7Z6Z4_MYL6","0.3853","0.1457","-0.5472"
"11","P02787_TF","P02787_TF","-0.5101","0.383","0.0846"
"12","P00924_ENO1","P00924_ENO1","-0.4332","-0.0373","0.4747"
"13","P01008_SERPINC1","P01008_SERPINC1","-0.4671","0.216","0.2271"
"14","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","-0.4519","0.4317","-0.0278"
"15","P01859_IGHG2","P01859_IGHG2","-0.4234","0.3653","0.0175"
"16","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","0.4196","-0.1961","-0.2018"
"17","P01024_C3","P01024_C3","-0.4107","0.2717","0.1088"
"18","Q99879_HIST1H2BM","Q99879_HIST1H2BM","0.3981","0.0063","-0.4051"
"19","D6RF35_GC","D6RF35_GC","-0.3875","0.3116","0.0413"
"20","P07339_CTSD","P07339_CTSD","0.3015","-0.3696","0.1092"
"21","CON__P00761","CON__P00761","0.0393","-0.3157","0.3115"
"22","Q9NZL9_MAT2B","Q9NZL9_MAT2B","0.2465","-0.2599","0.0422"
