"","presence_in_folds_and_repetitions","acc","signature"
"1",0.1,0.753333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P01036_CST4, Q9NZL9_MAT2B, P02787_TF, Q99879_HIST1H2BM, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P01008_SERPINC1, P01859_IGHG2, P05386_RPLP1, P07339_CTSD, A0A087WVW2_IGHG3, P01024_C3, B7Z6Z4_MYL6, D6RF35_GC, CON__P00761, Q9NQ38-3_SPINK5"
"2",0.2,0.733333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P01036_CST4, Q9NZL9_MAT2B, P02787_TF, Q99879_HIST1H2BM, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P01008_SERPINC1, P01859_IGHG2, P05386_RPLP1, P07339_CTSD, A0A087WVW2_IGHG3, P01024_C3, B7Z6Z4_MYL6, D6RF35_GC, CON__P00761, Q9NQ38-3_SPINK5"
"3",0.3,0.833333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P01036_CST4, Q9NZL9_MAT2B, P02787_TF, Q99879_HIST1H2BM, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P01008_SERPINC1, P01859_IGHG2, P05386_RPLP1, P07339_CTSD, A0A087WVW2_IGHG3, P01024_C3, B7Z6Z4_MYL6, D6RF35_GC, CON__P00761, Q9NQ38-3_SPINK5"
"4",0.4,0.606666666666667,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, Q9NZL9_MAT2B, P02787_TF, Q99879_HIST1H2BM, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P01008_SERPINC1, P01859_IGHG2, P05386_RPLP1, P07339_CTSD, A0A087WVW2_IGHG3, P01024_C3, D6RF35_GC, CON__P00761, Q9NQ38-3_SPINK5"
"5",0.5,0.816666666666667,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, Q99879_HIST1H2BM, P09228_CST2, P01008_SERPINC1, P01859_IGHG2, P05386_RPLP1, A0A087WVW2_IGHG3, CON__P00761"
"6",0.6,0.813333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P01859_IGHG2, P05386_RPLP1, A0A087WVW2_IGHG3, CON__P00761"
"7",0.7,0.933333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P05386_RPLP1, A0A087WVW2_IGHG3, CON__P00761"
"8",0.8,0.886666666666667,"P00330_ADH1, P00489_GPB, P02769_BSA, P05386_RPLP1, CON__P00761"
"9",0.9,0.826666666666667,"P00330_ADH1"
"10",1,0.8,"P00330_ADH1"
