"","rank","freq","gene","avg_cv_acc_after_nsc"
"1",1,15,"X25fmol_semtumor_S40",-1
"2",2,14,"X12_5fmol_C1",0.666666666666667
"3",3,13,"X25fmol_semtumor_S57",0.666666666666667
"4",4,13,"X25fmol_semtumor_S09",0.833333333333333
"5",5,11,"X50fmol_T1T2_T22",0.666666666666667
"6",6,11,"X12_5fmol_C4",0.666666666666667
"7",7,10,"X12_5fmol_C2",0.25
"8",8,9,"X12_5fmol_C10",0.666666666666667
"9",9,7,NA,0.8
"10",10,7,"X25fmol_semtumor_T16",0.666666666666667
"11",11,6,NA,0.4
"12",12,6,NA,1
"13",13,6,NA,0.833333333333333
"14",14,6,"X25fmol_semtumor_S36",0.666666666666667
"15",15,6,"X12_5fmol_Ro",0.75
"16",16,5,NA,0.6
"17",17,5,NA,0.6
"18",18,5,NA,0.833333333333333
"19",19,5,NA,0.666666666666667
"20",20,5,NA,0.666666666666667
"21",21,5,"X25fmol_semtumor_S64",0.8
"22",22,4,NA,0.833333333333333
"23",23,4,NA,0.666666666666667
"24",24,4,NA,0.5
"25",25,4,NA,0.666666666666667
"26",26,4,NA,0.833333333333333
"27",27,4,NA,0.666666666666667
"28",28,4,"X50fmol_T1T2_T20",0.5
"29",29,4,"X50fmol_T1T2_S77",0.5
"30",30,4,"X25fmol_semtumor_S61",0.666666666666667
"31",31,4,"X25fmol_semtumor_S49",0.4
"32",32,4,"X12_5fmol_C9",0.5
"33",33,4,"X12_5fmol_C8",0.666666666666667
"34",34,4,"X12_5fmol_C3",0.8
"35",35,3,NA,0.5
"36",36,3,NA,0.8
"37",37,3,"X50fmol_T1T2_T23",0.5
"38",38,3,"X50fmol_T1T2_S78",0.5
"39",39,3,"X25fmol_semtumor_S55",0.666666666666667
"40",40,2,NA,0.6
"41",41,2,NA,1
"42",42,2,NA,0.8
"43",43,2,"X50fmol_T1T2_S57",0.833333333333333
"44",44,2,"X50fmol_T1T2_S17",1
"45",45,1,NA,1
"46",46,1,NA,0.6
"47",47,1,NA,0.5
"48",48,1,NA,0.833333333333333
"49",49,1,NA,0.666666666666667
"50",50,1,NA,1
"51",51,1,NA,1
"52",52,1,NA,0.5
"53",53,1,NA,0.8
"54",54,1,"X50fmol_T1T2_T12",0.6
"55",55,1,"X50fmol_T1T2_S79",0.4
"56",56,1,"X25fmol_semtumor_S68",0.4
"57",57,1,"X12_5fmol_C5",0.833333333333333
