"","id","name","12_5fmol-score","25fmol-score","50fmol-score"
"1","P09228_CST2","P09228_CST2","0.4751","-0.6748","0.2747"
"2","P01037_CST1","P01037_CST1","0.4326","-0.6385","0.2769"
"3","P05386_RPLP1","P05386_RPLP1","0.6308","-0.4823","-0.0949"
"4","P00330_ADH1","P00330_ADH1","-0.6097","0.0039","0.6053"
"5","P01036_CST4","P01036_CST4","0.4122","-0.5917","0.2452"
"6","P01009_SERPINA1","P01009_SERPINA1","-0.5914","0.2795","0.2808"
"7","O00391_QSOX1","O00391_QSOX1","0.5474","-0.3461","-0.1629"
"8","P01023_A2M","P01023_A2M","-0.5108","0.3194","0.1559"
"9","P12429_ANXA3","P12429_ANXA3","0.5034","-0.4102","-0.0477"
"10","P02769_BSA","P02769_BSA","-0.4354","-0.0596","0.5017"
"11","B7Z6Z4_MYL6","B7Z6Z4_MYL6","0.3524","0.1333","-0.5005"
"12","P00489_GPB","P00489_GPB","-0.46","-0.013","0.4744"
"13","P30838_ALDH3A1","P30838_ALDH3A1","0.4587","-0.1299","-0.3144"
"14","P28325_CST5","P28325_CST5","0.1439","-0.4535","0.36"
"15","Q08188_TGM3","Q08188_TGM3","0.3201","0.1177","-0.4509"
"16","P00738_HP","P00738_HP","-0.436","0.3025","0.0998"
"17","P02763_ORM1","P02763_ORM1","-0.4292","0.242","0.1603"
"18","P02671_FGA","P02671_FGA","-0.4219","0.1762","0.2261"
"19","P01008_SERPINC1","P01008_SERPINC1","-0.4162","0.1925","0.2024"
"20","P02760_AMBP","P02760_AMBP","-0.4098","0.2997","0.0767"
"21","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","0.3919","-0.1831","-0.1884"
"22","P02787_TF","P02787_TF","-0.3888","0.2919","0.0645"
"23","P02647_APOA1","P02647_APOA1","-0.3835","0.3223","0.0255"
"24","P18669_PGAM1","P18669_PGAM1","0.1941","0.1683","-0.3811"
"25","P04196_HRG","P04196_HRG","-0.3441","0.376","-0.0737"
"26","P04217_A1BG","P04217_A1BG","-0.3672","0.2337","0.1075"
"27","Q99879_HIST1H2BM","Q99879_HIST1H2BM","0.3588","0.0057","-0.3652"
"28","P00450_CP","P00450_CP","-0.3552","0.2305","0.0992"
"29","P07996_THBS1","P07996_THBS1","0.3522","-0.2302","-0.0964"
"30","P00924_ENO1","P00924_ENO1","-0.321","-0.0277","0.3517"
"31","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","-0.3504","0.3348","-0.0215"
"32","P02790_HPX","P02790_HPX","-0.3455","0.2753","0.0396"
"33","P01042-2_KNG1","P01042-2_KNG1","-0.2347","0.3423","-0.1457"
"34","P02750_LRG1","P02750_LRG1","-0.3382","0.3141","-0.0108"
"35","P04792_HSPB1","P04792_HSPB1","0.3185","-0.3311","0.0494"
"36","P07339_CTSD","P07339_CTSD","0.2691","-0.3299","0.0974"
"37","P01859_IGHG2","P01859_IGHG2","-0.3257","0.281","0.0134"
"38","P05164-3_MPO","P05164-3_MPO","0.3244","-0.1257","-0.1847"
"39","P01024_C3","P01024_C3","-0.314","0.2078","0.0832"
"40","D6RF35_GC","D6RF35_GC","-0.3013","0.2422","0.0321"
"41","A0A087WV47_IGHG1","A0A087WV47_IGHG1","-0.2989","0.2855","-0.0183"
"42","B4E1Z4_CFB","B4E1Z4_CFB","-0.295","0.2713","-0.0064"
"43","P04083_ANXA1","P04083_ANXA1","0.1949","-0.2944","0.1322"
"44","P23280_CA6","P23280_CA6","0.2872","-0.1726","-0.0955"
"45","Q06830_PRDX1","Q06830_PRDX1","0.2626","-0.2758","0.0438"
"46","CON__P02768-1_ALB","CON__P02768-1_ALB","-0.2613","0.2229","0.0136"
"47","A0A0A0MTS2_GPI","A0A0A0MTS2_GPI","0.163","0.082","-0.2541"
"48","P22314_UBA1","P22314_UBA1","0.252","-0.2067","-0.0223"
"49","P02675_FGB","P02675_FGB","-0.2427","0.1454","0.0812"
"50","Q9NZL9_MAT2B","Q9NZL9_MAT2B","0.2231","-0.2352","0.0382"
"51","CON__P00761","CON__P00761","0.0291","-0.234","0.2309"
"52","P07237_P4HB","P07237_P4HB","0.2277","-0.1026","-0.1137"
"53","P62937_PPIA","P62937_PPIA","0.1022","0.1023","-0.2159"
"54","P31946-2","P31946-2","0.1818","-0.1975","0.0376"
"55","P01714","P01714","-0.188","0.0904","0.0876"
"56","A0A087WZH9","A0A087WZH9","-0.1827","0.0347","0.1441"
"57","P62258_YWHAE","P62258_YWHAE","-0.021","0.1277","-0.1209"
