"","rank","freq","gene","avg_cv_acc_after_nsc"
"1",1,13,"P09228_CST2",-1
"2",2,11,"P01037_CST1",0.5
"3",3,10,"P05386_RPLP1",0.666666666666667
"4",4,9,"P04280_PRB1",0.833333333333333
"5",5,9,"P01036_CST4",1
"6",6,8,"P04004_VTN",0.666666666666667
"7",7,8,"O00391_QSOX1",0.5
"8",8,7,"P61586_RHOA",0.666666666666667
"9",9,7,"P53634_CTSC",0.4
"10",10,7,"P12429_ANXA3",0.666666666666667
"11",11,7,"P02760_AMBP",0.833333333333333
"12",12,6,"Q08188_TGM3",0.6
"13",13,6,"P28325_CST5",0.833333333333333
"14",14,6,"P09960_LTA4H",0.4
"15",15,6,"P07108-6_DBI",1
"16",16,6,"P02814_SMR3B",0.333333333333333
"17",17,6,"P02671_FGA",0.666666666666667
"18",18,6,"P01624",0.833333333333333
"19",19,6,"P01042-2_KNG1",0.833333333333333
"20",20,6,"P01009_SERPINA1",0.333333333333333
"21",21,6,"O95274_LYPD3",0.333333333333333
"22",22,6,"O60888-2_CUTA",0.5
"23",23,6,"P30838_ALDH3A1",0.8
"24",24,6,"P51149_RAB7A",0.666666666666667
"25",25,6,"B4E1Z4_CFB",0.5
"26",26,6,"P15153_RAC2",0.5
"27",27,6,"A0A087X130",0.5
"28",28,5,"Q9UBG3_CRNN",0.666666666666667
"29",29,5,"Q9NQ38-3_SPINK5",0.8
"30",30,5,"Q02413_DSG1",0.6
"31",31,5,"P14550_AKR1A1",0.833333333333333
"32",32,5,"P11215-2_ITGAM",0.833333333333333
"33",33,5,"P04196_HRG",0.666666666666667
"34",34,5,"P01780",0.5
"35",35,5,"P01008_SERPINC1",0.833333333333333
"36",36,5,"B7Z6Z4_MYL6",0.666666666666667
"37",37,5,"P09429_HMGB1",1
"38",38,5,"A0A087WT59_TTR",0.333333333333333
"39",39,5,"A0A024R6X1_CES2",1
"40",40,4,"Q9BRF8_CPPED1",0.333333333333333
"41",41,4,"Q96DA0_ZG16B",0.666666666666667
"42",42,4,"Q8TAX7_MUC7",0.6
"43",43,4,"P68371_TUBB4B",0.6
"44",44,4,"P52907_CAPZA1",0.333333333333333
"45",45,4,"P37802-2_TAGLN2",0.75
"46",46,4,"P20160_AZU1",0.666666666666667
"47",47,4,"P18669_PGAM1",0.666666666666667
"48",48,4,"P17931_LGALS3",0.5
"49",49,4,"P17174_GOT1",0.8
"50",50,4,"P10412_HIST1H1E",0.666666666666667
"51",51,4,"P07996_THBS1",0.8
"52",52,4,"P07900-2_HSP90AA1",0.5
"53",53,4,"P04217_A1BG",0.8
"54",54,4,"P02753_RBP4",0.5
"55",55,4,"P01033_TIMP1",0.666666666666667
"56",56,4,"O75594_PGLYRP1",0.75
"57",57,4,"O15511-2_ARPC5",0.6
"58",58,4,"E7EQR4_EZR",0.833333333333333
"59",59,4,"O75083_WDR1",0.666666666666667
"60",60,4,"CON__Q3MHH8",0.4
"61",61,4,"CON__P35527_KRT9",0.666666666666667
"62",62,4,"P40925-3_MDH1",0.833333333333333
"63",63,4,"Q9Y6R7_FCGBP",0.666666666666667
"64",64,3,"Q9UKR3_KLK13",0.666666666666667
"65",65,3,"Q9UBX7-3_KLK11",0.6
