"","presence_in_folds_and_repetitions","acc","signature"
"1",0.1,0.713333333333333,"A0A024R6X1_CES2, A0A075B6L0_IGLC3, A0A087WVW2_IGHG3, A0A0A0MS15, A0A087WV47_IGHG1, A0A087WW89, P06753-2_TPM3, Q9Y6R7_FCGBP, A0A087WZH9, A0A087WZM2_RNASET2, A0A087X130, A0A075B6P5, A0A087X2C0, Q06830_PRDX1, P08670_VIM, P15153_RAC2, P09429_HMGB1, P62258_YWHAE, B7Z6Z4_MYL6, P40925-3_MDH1, P51149_RAB7A, C9JC84_FGG, P19971-2_TYMP, P30838_ALDH3A1, O15145_ARPC3, CON__P00761, CON__P01966, CON__P02538_KRT6A, CON__P02768-1_ALB, P02769_BSA, CON__P13645_KRT10, CON__P13646-1, CON__P35527_KRT9, CON__P60712_ACTB, O75083_WDR1, D6RF35_GC, P02788_LTF, E7EX29_YWHAZ, P04406_GAPDH, P11413-2_G6PD, P55786_NPEPPS, O00764_PDXK, P22079_LPO, P09382_LGALS1, P06576_ATP5B, Q9NZL9_MAT2B, O00299_CLIC1, O15511-2_ARPC5, O43707_ACTN4, O60888-2_CUTA, O95274_LYPD3, O95336_PGLS, P00330_ADH1, P00450_CP, P00489_GPB, P00558_PGK1, P00738_HP, P00924_ENO1, P01008_SERPINC1, P01009_SERPINA1, P01023_A2M, P01024_C3, P01033_TIMP1, P01036_CST4, P01037_CST1, P01042-2_KNG1, P01591_IGJ, P01593, P01598, P01616, P01622, P01624, P01714, P01717, P01780, P01859_IGHG2, P01876_IGHA1, P01877_IGHA2, P02675_FGB, P02750_LRG1, P02760_AMBP, P02763_ORM1, P02787_TF, P02814_SMR3B, P03973_SLPI, P04004_VTN, P04080_CSTB, P04083_ANXA1, P04196_HRG, P04217_A1BG, P04264_KRT1, P04280_PRB1, P04792_HSPB1, P05164-3_MPO, P05386_RPLP1, P06396_GSN, P06733_ENO1, A0A0A0MTS2_GPI, P06870_KLK1, P07108-6_DBI, P07237_P4HB, P07339_CTSD, P07737_PFN1, P07858_CTSB, P08311_CTSG, P08571_CD14, P09228_CST2, P09960_LTA4H, P10412_HIST1H1E, P11142_HSPA8, P11215-2_ITGAM, P12273_PIP, P12429_ANXA3, P12814-3_ACTN1, P13688_CEACAM1, P14174_MIF, P14550_AKR1A1, P14780_MMP9, P16401_HIST1H1B, P16403_HIST1H1C, P17174_GOT1, P19961_AMY2B, P22314_UBA1, Q32Q12_NME1-NME2, P22532_SPRR2D, P22894_MMP8, P23280_CA6, E9PK25_CFL1, P28325_CST5, P29401-2_TKT, P31025_LCN1, P31151_S100A7, P31946-2, P31947_SFN, P35321_SPRR1A, P40121_CAPG, P52209_PGD, P52566_ARHGDIB, P53634_CTSC, P59665_DEFA1, P60174_TPI1, P61586_RHOA, P61626_LYZ, P62937_PPIA, P62942_FKBP1A, P63261_ACTG1, P63313_TMSB10, P68371_TUBB4B, P68871_HBB, P78417_GSTO1, Q07654_TFF3, Q14508_WFDC2, Q14847_LASP1, Q14CN2_CLCA4, H0YBX6_UBE2V2, A0A087WV23_SH3BGRL3, Q8N4F0_BPIFB2, Q8TAX7_MUC7, Q99879_HIST1H2BM, Q9HC84_MUC5B, Q9HD89_RETN, Q9UBG3_CRNN, Q9UGM3-6_DMBT1, Q9UIV8_SERPINB13, V9HW75_NUCB2"
"2",0.2,0.9,"A0A087WVW2_IGHG3, A0A0A0MS15, A0A087WW89, A0A087WZH9, A0A075B6P5, A0A087X2C0, Q06830_PRDX1, P15153_RAC2, P09429_HMGB1, P40925-3_MDH1, P19971-2_TYMP, P30838_ALDH3A1, CON__P00761, CON__P01966, P02769_BSA, CON__P13645_KRT10, CON__P35527_KRT9, D6RF35_GC, P04406_GAPDH, P22079_LPO, P06576_ATP5B, Q9NZL9_MAT2B, O43707_ACTN4, O60888-2_CUTA, P00330_ADH1, P00450_CP, P00489_GPB, P00738_HP, P00924_ENO1, P01008_SERPINC1, P01009_SERPINA1, P01023_A2M, P01024_C3, P01036_CST4, P01037_CST1, P01591_IGJ, P01616, P01714, P01859_IGHG2, P01876_IGHA1, P01877_IGHA2, P02750_LRG1, P02787_TF, P02814_SMR3B, P04004_VTN, P04080_CSTB, P04083_ANXA1, P04280_PRB1, P04792_HSPB1, P05164-3_MPO, P05386_RPLP1, P06396_GSN, P06733_ENO1, A0A0A0MTS2_GPI, P06870_KLK1, P07108-6_DBI, P07858_CTSB, P08311_CTSG, P09228_CST2, P11142_HSPA8, P11215-2_ITGAM, P12273_PIP, P12429_ANXA3, P13688_CEACAM1, P14174_MIF, P14550_AKR1A1, P16401_HIST1H1B, P19961_AMY2B, P22532_SPRR2D, P23280_CA6, E9PK25_CFL1, P29401-2_TKT, P31025_LCN1, P31151_S100A7, P31946-2, P31947_SFN, P40121_CAPG, P53634_CTSC, P59665_DEFA1, P60174_TPI1, P61586_RHOA, P61626_LYZ, P62937_PPIA, P68371_TUBB4B, Q14847_LASP1, H0YBX6_UBE2V2, Q99879_HIST1H2BM, V9HW75_NUCB2"
"3",0.3,0.933333333333333,"A0A087WVW2_IGHG3, A0A0A0MS15, A0A087WW89, A0A087WZH9, A0A075B6P5, A0A087X2C0, Q06830_PRDX1, P09429_HMGB1, CON__P00761, CON__P01966, P02769_BSA, CON__P35527_KRT9, D6RF35_GC, P22079_LPO, O43707_ACTN4, O60888-2_CUTA, P00330_ADH1, P00450_CP, P00489_GPB, P00738_HP, P00924_ENO1, P01008_SERPINC1, P01009_SERPINA1, P01023_A2M, P01024_C3, P01036_CST4, P01037_CST1, P01591_IGJ, P01616, P01714, P01859_IGHG2, P01877_IGHA2, P02750_LRG1, P02787_TF, P02814_SMR3B, P04280_PRB1, P04792_HSPB1, P05386_RPLP1, P06870_KLK1, P07108-6_DBI, P08311_CTSG, P09228_CST2, P11142_HSPA8, P12273_PIP, P12429_ANXA3, P13688_CEACAM1, P14174_MIF, P14550_AKR1A1, P22532_SPRR2D, P29401-2_TKT, P31025_LCN1, P31151_S100A7, P31946-2, P53634_CTSC, P62937_PPIA, P68371_TUBB4B, H0YBX6_UBE2V2"
"4",0.4,0.926666666666667,"A0A087WZH9, A0A075B6P5, Q06830_PRDX1, P09429_HMGB1, CON__P00761, P02769_BSA, O43707_ACTN4, P00330_ADH1, P00489_GPB, P00738_HP, P00924_ENO1, P01023_A2M, P01714, P02750_LRG1, P09228_CST2, P11142_HSPA8, P14174_MIF, P14550_AKR1A1, P53634_CTSC, P68371_TUBB4B, H0YBX6_UBE2V2"
"5",0.5,1,"A0A087WZH9, A0A075B6P5, Q06830_PRDX1, P09429_HMGB1, CON__P00761, P02769_BSA, P00330_ADH1, P00489_GPB, P00924_ENO1, P09228_CST2, P11142_HSPA8, P68371_TUBB4B"
"6",0.6,0.96,"A0A087WZH9, Q06830_PRDX1, P09429_HMGB1, CON__P00761, P02769_BSA, P00330_ADH1, P00489_GPB, P00924_ENO1, P11142_HSPA8"
"7",0.7,0.866666666666667,"CON__P00761, P02769_BSA, P00330_ADH1, P00489_GPB"
"8",0.8,0.826666666666667,"P00330_ADH1"
"9",0.9,0.816666666666667,"P00330_ADH1"
"10",1,0.813333333333333,"P00330_ADH1"
