"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"1",1,15,"P00330_ADH1",0.826666666666667
"2",2,11,"CON__P00761",0.886666666666667
"3",3,9,"P00489_GPB",0.9
"4",4,9,"P02769_BSA",0.86
"5",5,9,"Q06830_PRDX1",0.96
"6",6,8,"P29401-2_TKT",0.9
"7",7,8,"P01023_A2M",0.846666666666667
"8",8,8,"P00924_ENO1",0.816666666666667
"9",9,8,"P09429_HMGB1",0.866666666666667
"10",10,8,"A0A087WZH9",0.866666666666667
"11",11,7,"P62937_PPIA",0.833333333333333
"12",12,7,"P14550_AKR1A1",0.786666666666667
"13",13,7,"P11142_HSPA8",1
"14",14,7,"P04792_HSPB1",0.806666666666667
"15",15,7,"P01714",0.82
"16",16,7,"P01616",0.96
"17",17,7,"P01009_SERPINA1",0.966666666666667
"18",18,7,"A0A087X2C0",0.886666666666667
"19",19,6,"H0YBX6_UBE2V2",0.893333333333333
"20",20,6,"P68371_TUBB4B",0.926666666666667
"21",21,6,"P19961_AMY2B",0.853333333333333
"22",22,6,"P12429_ANXA3",1
"23",23,6,"P07108-6_DBI",1
"24",24,6,"P04280_PRB1",0.933333333333333
"25",25,6,"P02750_LRG1",1
"26",26,6,"P01591_IGJ",1
"27",27,6,"O43707_ACTN4",1
"28",28,6,"P30838_ALDH3A1",1
"29",29,6,"A0A075B6P5",1
"30",30,5,"P53634_CTSC",1
"31",31,5,"P31946-2",0.966666666666667
"32",32,5,"P09228_CST2",1
"33",33,5,"P08311_CTSG",1
"34",34,5,"P06870_KLK1",1
"35",35,5,"A0A0A0MTS2_GPI",1
"36",36,5,"P05386_RPLP1",1
"37",37,5,"P04004_VTN",1
"38",38,5,"P01877_IGHA2",0.933333333333333
"39",39,5,"P01037_CST1",0.95
"40",40,5,"P01008_SERPINC1",0.933333333333333
"41",41,5,"P00738_HP",0.96
"42",42,5,"P22079_LPO",0.966666666666667
"43",43,5,"D6RF35_GC",0.96
"44",44,5,"A0A087WVW2_IGHG3",0.966666666666667
"45",45,4,"Q9UBG3_CRNN",0.966666666666667
"46",46,4,"Q9HC84_MUC5B",0.933333333333333
"47",47,4,"Q07654_TFF3",0.96
"48",48,4,"P14174_MIF",0.966666666666667
"49",49,4,"P13688_CEACAM1",0.966666666666667
"50",50,4,"P12273_PIP",0.95
"51",51,4,"P11215-2_ITGAM",0.96
"52",52,4,"P05164-3_MPO",0.96
"53",53,4,"P01876_IGHA1",0.966666666666667
"54",54,4,"P01036_CST4",0.926666666666667
"55",55,4,"P01024_C3",0.96
"56",56,4,"O60888-2_CUTA",0.926666666666667
"57",57,4,"Q9NZL9_MAT2B",0.926666666666667
"58",58,4,"P04406_GAPDH",0.9
"59",59,4,"P02788_LTF",0.933333333333333
"60",60,4,"P15153_RAC2",0.886666666666667
"61",61,4,"A0A087X130",0.893333333333333
"62",62,4,"A0A0A0MS15",0.886666666666667
"63",63,4,"A0A075B6L0_IGLC3",0.933333333333333
"64",64,3,"Q8TAX7_MUC7",0.933333333333333
"65",65,3,"Q14508_WFDC2",0.92
"66",66,3,"P62942_FKBP1A",0.786666666666667
"67",67,3,"P61626_LYZ",0.833333333333333
"68",68,3,"P59665_DEFA1",0.86
"69",69,3,"P31947_SFN",0.85
"70",70,3,"P31151_S100A7",0.86
"71",71,3,"P28325_CST5",0.886666666666667
"72",72,3,"P22532_SPRR2D",0.886666666666667
"73",73,3,"P16401_HIST1H1B",0.886666666666667
"74",74,3,"P09960_LTA4H",0.833333333333333
"75",75,3,"P08571_CD14",0.9
"76",76,3,"P07858_CTSB",0.886666666666667
"77",77,3,"P07237_P4HB",0.9
"78",78,3,"P06396_GSN",0.926666666666667
"79",79,3,"P04264_KRT1",0.893333333333333
"80",80,3,"P04196_HRG",0.86
"81",81,3,"P04083_ANXA1",0.846666666666667
"82",82,3,"P04080_CSTB",0.853333333333333
"83",83,3,"P02814_SMR3B",0.813333333333333
"84",84,3,"P02763_ORM1",0.866666666666667
"85",85,3,"P02671_FGA",0.883333333333333
"86",86,3,"P01859_IGHG2",0.926666666666667
"87",87,3,"P01598",0.9
"88",88,3,"P00450_CP",0.886666666666667
"89",89,3,"O15511-2_ARPC5",0.926666666666667
"90",90,3,"O75083_WDR1",0.853333333333333
"91",91,3,"CON__P02538_KRT6A",0.933333333333333
"92",92,3,"CON__P01966",0.893333333333333
"93",93,3,"P19971-2_TYMP",0.853333333333333
"94",94,3,"P51149_RAB7A",0.916666666666667
"95",95,3,"B7Z6Z4_MYL6",0.826666666666667
"96",96,3,"A0A087WZW8",0.893333333333333
"97",97,3,"A0A087WW89",0.916666666666667
"98",98,2,"V9HW75_NUCB2",0.926666666666667
"99",99,2,"Q9HD89_RETN",0.82
"100",100,2,"Q9BQR3_PRSS27",0.893333333333333
"101",101,2,"Q99536_VAT1",0.96
"102",102,2,"Q8N4F0_BPIFB2",0.9
"103",103,2,"A0A087WV23_SH3BGRL3",0.926666666666667
"104",104,2,"Q14CN2_CLCA4",0.893333333333333
"105",105,2,"Q08188_TGM3",0.883333333333333
"106",106,2,"Q01518_CAP1",0.926666666666667
"107",107,2,"P78417_GSTO1",0.92
"108",108,2,"P63261_ACTG1",0.9
"109",109,2,"P61586_RHOA",0.933333333333333
"110",110,2,"P60174_TPI1",0.9
"111",111,2,"P52566_ARHGDIB",0.893333333333333
"112",112,2,"P31146_CORO1A",0.9
"113",113,2,"P31025_LCN1",0.886666666666667
"114",114,2,"E9PK25_CFL1",0.866666666666667
"115",115,2,"P23280_CA6",0.86
"116",116,2,"Q32Q12_NME1-NME2",0.85
"117",117,2,"P22314_UBA1",0.893333333333333
"118",118,2,"P20061_TCN1",0.866666666666667
"119",119,2,"P18669_PGAM1",0.893333333333333
"120",120,2,"P17174_GOT1",0.9
"121",121,2,"P14780_MMP9",0.9
"122",122,2,"P10599_TXN",0.893333333333333
"123",123,2,"P10412_HIST1H1E",0.733333333333333
"124",124,2,"P09211_GSTP1",0.853333333333333
"125",125,2,"P07737_PFN1",0.826666666666667
"126",126,2,"P07339_CTSD",0.786666666666667
"127",127,2,"P06733_ENO1",0.85
"128",128,2,"P05109_S100A8",0.893333333333333
"129",129,2,"P04217_A1BG",0.893333333333333
"130",130,2,"P03973_SLPI",0.846666666666667
"131",131,2,"P02787_TF",0.893333333333333
"132",132,2,"P02760_AMBP",0.893333333333333
"133",133,2,"P02753_RBP4",0.886666666666667
"134",134,2,"P02675_FGB",0.893333333333333
"135",135,2,"P01780",0.893333333333333
"136",136,2,"P01763",0.846666666666667
"137",137,2,"P01624",0.85
"138",138,2,"P01622",0.846666666666667
"139",139,2,"P01033_TIMP1",0.866666666666667
"140",140,2,"O95274_LYPD3",0.9
"141",141,2,"O75594_PGLYRP1",0.933333333333333
"142",142,2,"P06576_ATP5B",0.883333333333333
"143",143,2,"P61160-2_ACTR2",0.926666666666667
"144",144,2,"O00764_PDXK",0.786666666666667
"145",145,2,"P55786_NPEPPS",0.68
"146",146,2,"E7EQR4_EZR",0.793333333333333
"147",147,2,"E5RHG6_TBCA",0.853333333333333
"148",148,2,"CON__Q3MHH8",0.816666666666667
"149",149,2,"CON__P35527_KRT9",0.86
"150",150,2,"CON__P13645_KRT10",0.813333333333333
"151",151,2,"O15145_ARPC3",0.8
"152",152,2,"C9JC84_FGG",0.78
"153",153,2,"P40925-3_MDH1",0.773333333333333
"154",154,2,"Q9Y6R7_FCGBP",0.78
"155",155,2,"P06753-2_TPM3",0.84
"156",156,2,"A0A087WT59_TTR",0.753333333333333
"157",157,2,"A0A087WSX4",0.82
"158",158,2,"A0A024R6X1_CES2",0.793333333333333
"159",159,1,"Q9UGM3-6_DMBT1",0.753333333333333
"160",160,1,"Q9UBC9_SPRR3",0.686666666666667
"161",161,1,"Q9BRF8_CPPED1",0.726666666666667
"162",162,1,"Q99879_HIST1H2BM",0.74
"163",163,1,"Q96DA0_ZG16B",0.6
"164",164,1,"Q6P5S2_C6orf58",0.64
"165",165,1,"Q14974_KPNB1",0.746666666666667
"166",166,1,"Q14847_LASP1",0.86
"167",167,1,"Q02487_DSC2",0.7
"168",168,1,"Q01469_FABP5",0.786666666666667
"169",169,1,"P80748",0.786666666666667
"170",170,1,"X6R8F3_LCN2",0.68
"171",171,1,"P63313_TMSB10",0.666666666666667
"172",172,1,"P62805_HIST1H4A",0.64
"173",173,1,"P62328_TMSB4X",0.783333333333333
"174",174,1,"P61769_B2M",0.7
"175",175,1,"P61158_ACTR3",0.683333333333333
"176",176,1,"P59998-3_ARPC4",0.766666666666667
"177",177,1,"P55058_PLTP",0.76
"178",178,1,"P52907_CAPZA1",0.7
"179",179,1,"P52209_PGD",0.783333333333333
"180",180,1,"P50395_GDI2",0.86
"181",181,1,"P37837_TALDO1",0.82
"182",182,1,"P37802-2_TAGLN2",0.753333333333333
"183",183,1,"P35321_SPRR1A",0.72
"184",184,1,"P31949_S100A11",0.766666666666667
"185",185,1,"P30740_SERPINB1",0.766666666666667
"186",186,1,"P30101_PDIA3",0.793333333333333
"187",187,1,"P26038_MSN",0.65
"188",188,1,"P25311_AZGP1",0.74
"189",189,1,"P24158_PRTN3",0.826666666666667
"190",190,1,"P23381_WARS",0.746666666666667
"191",191,1,"P23284_PPIB",0.72
"192",192,1,"P22894_MMP8",0.666666666666667
"193",193,1,"P21333_FLNA",0.66
"194",194,1,"P20618_PSMB1",0.686666666666667
"195",195,1,"P20160_AZU1",0.746666666666667
"196",196,1,"P18510-2_IL1RN",0.593333333333333
"197",197,1,"P17931_LGALS3",0.746666666666667
"198",198,1,"P16403_HIST1H1C",0.666666666666667
"199",199,1,"P16402_HIST1H1D",0.74
"200",200,1,"P14618_PKM2",0.633333333333333
"201",201,1,"P13796_LCP1",0.746666666666667
"202",202,1,"P12814-3_ACTN1",0.713333333333333
"203",203,1,"P11021_HSPA5",0.673333333333333
"204",204,1,"P10909-2_CLU",0.646666666666667
"205",205,1,"P08603_CFH",0.6
"206",206,1,"P08246_ELANE",0.64
"207",207,1,"P08238_HSP90AB1",0.7
"208",208,1,"P08107_HSPA1A",0.653333333333333
"209",209,1,"P07996_THBS1",0.7
"210",210,1,"P07900-2_HSP90AA1",0.653333333333333
"211",211,1,"P06702_S100A9",0.666666666666667
"212",212,1,"P04899-4_GNAI2",0.74
"213",213,1,"P04745_AMY1A",0.74
"214",214,1,"P04040_CAT",0.56
"215",215,1,"P02790_HPX",0.64
"216",216,1,"P02647_APOA1",0.713333333333333
"217",217,1,"P01833_PIGR",0.68
"218",218,1,"P06314_IGKV4-1",0.713333333333333
"219",219,1,"P01623",0.733333333333333
"220",220,1,"P01593",0.686666666666667
"221",221,1,"P01034_CST3",0.68
"222",222,1,"P00558_PGK1",0.68
"223",223,1,"P00338-3_LDHA",0.6
"224",224,1,"O95336_PGLS",0.74
"225",225,1,"O00391_QSOX1",0.673333333333333
"226",226,1,"O00299_CLIC1",0.706666666666667
"227",227,1,"P68431_HIST1H3A",0.733333333333333
"228",228,1,"P04075-2_ALDOA",0.686666666666667
"229",229,1,"J3KPA1_CRISP3",0.706666666666667
"230",230,1,"P17858_PFKL",0.653333333333333
"231",231,1,"P09382_LGALS1",0.613333333333333
"232",232,1,"P11413-2_G6PD",0.616666666666667
"233",233,1,"E7EX29_YWHAZ",0.693333333333333
"234",234,1,"CON__P08779_KRT16",0.686666666666667
"235",235,1,"CON__P02768-1_ALB",0.62
"236",236,1,"C9JV77_AHSG",0.706666666666667
"237",237,1,"Q9UG63-2_ABCF2",0.68
"238",238,1,"P06454_PTMA",0.58
"239",239,1,"B5MDF5_RAN",0.766666666666667
"240",240,1,"B4E1Z4_CFB",0.753333333333333
"241",241,1,"P62258_YWHAE",0.72
"242",242,1,"P08670_VIM",0.713333333333333
"243",243,1,"A8K2U0_A2ML1",0.65
"244",244,1,"P13797_PLS3",0.653333333333333
"245",245,1,"A0A087WZM2_RNASET2",0.616666666666667
"246",246,1,"A0A087WV47_IGHG1",0.466666666666667
"247",247,1,"A0A087WX49_IGLL5",0.653333333333333
"248",248,1,"P19823_ITIH2",0.646666666666667
"249",249,1,"P06331",0.633333333333333
"250",250,0,"Q9UKR3_KLK13",0.546666666666667
"251",251,0,"Q9UIV8_SERPINB13",0.72
"252",252,0,"Q9UBX7-3_KLK11",0.616666666666667
"253",253,0,"Q9NQ38-3_SPINK5",0.6
"254",254,0,"Q9BRA2_TXNDC17",0.666666666666667
"255",255,0,"Q96DR5_BPIFA2",0.693333333333333
"256",256,0,"Q8TDL5_BPIFB1",0.54
"257",257,0,"Q68D86_CCDC102B",0.683333333333333
"258",258,0,"Q08380_LGALS3BP",0.616666666666667
"259",259,0,"Q02413_DSG1",0.56
"260",260,0,"P69905_HBA1",0.606666666666667
"261",261,0,"P68871_HBB",0.56
"262",262,0,"P68032_ACTC1",0.72
"263",263,0,"B1AK88_CAPZB",0.753333333333333
"264",264,0,"P40121_CAPG",0.6
"265",265,0,"P36952_SERPINB5",0.713333333333333
"266",266,0,"P35579_MYH9",0.533333333333333
"267",267,0,"P32926_DSG3",0.55
"268",268,0,"P30044_PRDX5",0.713333333333333
"269",269,0,"P29508_SERPINB3",0.606666666666667
"270",270,0,"P0C0S8_HIST1H2AG",0.616666666666667
"271",271,0,"P01861_IGHG4",0.666666666666667
"272",272,0,"P01779",0.56
"273",273,0,"P01767",0.633333333333333
"274",274,0,"P01717",0.613333333333333
"275",275,0,"P01042-2_KNG1",0.56
"276",276,0,"P00491_PNP",0.65
"277",277,0,"Q14697-2_GANAB",0.58
"278",278,0,"P0C0L5_C4B",0.673333333333333
"279",279,0,"CON__P60712_ACTB",0.613333333333333
"280",280,0,"CON__P13646-1",0.613333333333333
"281",281,0,"A0A075B6R9",0.54
