"","presence_in_folds_and_repetitions","acc","signature"
"1",0.1,0.966666666666667,"A0A087WZH9, A0A075B6P5, Q06830_PRDX1, P09429_HMGB1, CON__P00761, P02769_BSA, Q9NZL9_MAT2B, O60888-2_CUTA, P00330_ADH1, P00489_GPB, P00738_HP, P00924_ENO1, P01023_A2M, P01037_CST1, P01591_IGJ, P02750_LRG1, P04280_PRB1, P08311_CTSG, P09228_CST2, P14550_AKR1A1, P62937_PPIA, H0YBX6_UBE2V2"
"2",0.2,0.96,"A0A087WZH9, CON__P00761, P00330_ADH1, P00489_GPB, P01591_IGJ, P08311_CTSG, P14550_AKR1A1, P62937_PPIA"
"3",0.3,0.766666666666667,"A0A087WZH9, P00330_ADH1, P00489_GPB"
"4",0.4,0.813333333333333,"P00330_ADH1"
"5",0.5,0.816666666666667,"P00330_ADH1"
"6",0.6,0.813333333333333,"P00330_ADH1"
"7",0.7,0.8,"P00330_ADH1"
"8",0.8,0.8,"P00330_ADH1"
"9",0.9,0.826666666666667,"P00330_ADH1"
"10",1,0.82,"P00330_ADH1"
