*N,acc_tree,groups
2,0.822751322751,A0A087WVW2_IGHG3,P02769_BSA
2,0.878306878307,B7Z6Z4_MYL6,CON__P00761
2,0.867724867725,B7Z6Z4_MYL6,P0C0L5_C4B
2,0.849206349206,B7Z6Z4_MYL6,P00330_ADH1
2,0.822751322751,C9JV77_AHSG,P02769_BSA
2,0.830687830688,C9JV77_AHSG,P00330_ADH1
2,0.822751322751,CON__P00761,P00489_GPB
2,0.915343915344,CON__P00761,P05164_3_MPO
2,0.84126984127,CON__P00761,P05386_RPLP1
2,0.878306878307,CON__P00761,P22314_UBA1
2,0.822751322751,CON__P00761,Q99879_HIST1H2BM
2,0.849206349206,CON__P01966,P00330_ADH1
2,0.849206349206,CON__P02768_1_ALB,P00330_ADH1
2,0.867724867725,P02769_BSA,P01009_SERPINA1
2,0.830687830688,P02769_BSA,P01859_IGHG2
2,0.822751322751,P02769_BSA,P02647_APOA1
2,0.859788359788,P02769_BSA,P05386_RPLP1
2,0.820105820106,P02769_BSA,P09228_CST2
2,0.822751322751,P02769_BSA,Q99879_HIST1H2BM
2,0.867724867725,E5RHG6_TBCA,P00330_ADH1
2,0.867724867725,P0C0L5_C4B,Q9NZL9_MAT2B
2,0.849206349206,P22079_LPO,P00330_ADH1
2,0.822751322751,Q9NZL9_MAT2B,P05386_RPLP1
2,0.849206349206,P00330_ADH1,P01023_A2M
2,0.867724867725,P00330_ADH1,P01024_C3
2,0.849206349206,P00330_ADH1,P01042_2_KNG1
2,0.867724867725,P00330_ADH1,P01859_IGHG2
2,0.867724867725,P00330_ADH1,P02753_RBP4
2,0.849206349206,P00330_ADH1,P05386_RPLP1
2,0.849206349206,P00330_ADH1,P08238_HSP90AB1
2,0.830687830688,P00330_ADH1,P08311_CTSG
2,0.904761904762,P00330_ADH1,P09228_CST2
2,0.849206349206,P00330_ADH1,P09960_LTA4H
2,0.867724867725,P00330_ADH1,P11142_HSPA8
2,0.849206349206,P00330_ADH1,P13688_CEACAM1
2,0.849206349206,P00330_ADH1,P24158_PRTN3
2,0.849206349206,P00330_ADH1,P52209_PGD
2,0.849206349206,P00330_ADH1,P63261_ACTG1
2,0.867724867725,P00330_ADH1,Q9BRA2_TXNDC17
