*N,acc_tree,groups
2,0.833333333333,P00330_ADH1,CON__P00761
2,0.833333333333,P14174_MIF,P05386_RPLP1
2,0.944444444444,P05386_RPLP1,CON__P00761
2,0.833333333333,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P0C0L5_C4B,P00330_ADH1,CON__P00761
3,0.888888888889,P0C0L5_C4B,P05386_RPLP1,CON__P00761
3,0.833333333333,P0C0L5_C4B,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P09228_CST2,P05386_RPLP1,CON__P00761
3,0.833333333333,P09228_CST2,Q99879_HIST1H2BM,CON__P00761
3,0.888888888889,P01859_IGHG2,P01008_SERPINC1,CON__P00761
3,0.833333333333,P01859_IGHG2,P05386_RPLP1,CON__P00761
3,0.833333333333,P01859_IGHG2,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P01859_IGHG2,CON__P00761,Q9NZL9_MAT2B
3,0.888888888889,B7Z6Z4_MYL6,P14174_MIF,P05386_RPLP1
3,0.833333333333,B7Z6Z4_MYL6,P14174_MIF,Q99879_HIST1H2BM
3,0.888888888889,B7Z6Z4_MYL6,CON__P00761,Q9NZL9_MAT2B
3,0.833333333333,B7Z6Z4_MYL6,CON__P00761,P23280_CA6
3,0.833333333333,P00330_ADH1,P14174_MIF,CON__P00761
3,0.833333333333,P00330_ADH1,CON__P00761,Q9NZL9_MAT2B
3,0.833333333333,P00330_ADH1,CON__P00761,CON__P02768_1_ALB
3,0.833333333333,P00330_ADH1,CON__P00761,P52209_PGD
3,0.833333333333,P00330_ADH1,CON__P00761,P23280_CA6
3,0.888888888889,P01008_SERPINC1,P02763_ORM1,CON__P00761
3,0.833333333333,P01008_SERPINC1,P14174_MIF,P05386_RPLP1
3,0.888888888889,P01008_SERPINC1,P05386_RPLP1,CON__P00761
3,0.888888888889,P01008_SERPINC1,Q99879_HIST1H2BM,CON__P00761
3,0.888888888889,P01008_SERPINC1,CON__P00761,CON__P02768_1_ALB
3,0.833333333333,P01008_SERPINC1,CON__P00761,P62937_PPIA
3,0.888888888889,B4E1Z4_CFB,P14174_MIF,P05386_RPLP1
3,0.944444444444,B4E1Z4_CFB,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P01023_A2M,P14174_MIF,P05386_RPLP1
3,0.833333333333,P01023_A2M,P14174_MIF,Q99879_HIST1H2BM
3,0.833333333333,P01023_A2M,P05386_RPLP1,CON__P00761
3,0.833333333333,P01023_A2M,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P01023_A2M,CON__P00761,Q9NZL9_MAT2B
3,0.833333333333,P02763_ORM1,P14174_MIF,Q99879_HIST1H2BM
3,0.888888888889,P02763_ORM1,P05386_RPLP1,CON__P00761
3,0.944444444444,P02763_ORM1,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P14174_MIF,P05386_RPLP1,Q99879_HIST1H2BM
3,0.833333333333,P14174_MIF,P05386_RPLP1,CON__P00761
3,0.833333333333,P14174_MIF,P05386_RPLP1,Q9NZL9_MAT2B
3,0.833333333333,P14174_MIF,P05386_RPLP1,P23280_CA6
3,0.833333333333,P14174_MIF,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P14174_MIF,Q99879_HIST1H2BM,P62937_PPIA
3,0.833333333333,P05386_RPLP1,Q99879_HIST1H2BM,CON__P00761
3,0.833333333333,P05386_RPLP1,CON__P00761,Q9NZL9_MAT2B
3,0.944444444444,P05386_RPLP1,CON__P00761,CON__P02768_1_ALB
3,0.944444444444,P05386_RPLP1,CON__P00761,P62937_PPIA
3,0.944444444444,P05386_RPLP1,CON__P00761,P02787_TF
3,0.833333333333,P05386_RPLP1,CON__P00761,P52209_PGD
3,0.833333333333,Q99879_HIST1H2BM,CON__P00761,Q9NZL9_MAT2B
3,0.833333333333,Q99879_HIST1H2BM,CON__P00761,P62937_PPIA
3,0.944444444444,Q99879_HIST1H2BM,CON__P00761,P02787_TF
3,0.944444444444,Q99879_HIST1H2BM,CON__P00761,P52209_PGD
3,0.833333333333,Q99879_HIST1H2BM,CON__P00761,P23280_CA6
3,0.833333333333,Q99879_HIST1H2BM,CON__P00761,P02769_BSA
