*N,acc_tree,groups
2,0.833333333333,P15153_RAC2,P62937_PPIA
2,0.861111111111,P09429_HMGB1,P00330_ADH1
2,0.861111111111,P62258_YWHAE,P00330_ADH1
2,0.861111111111,B4E1Z4_CFB,P00330_ADH1
2,0.833333333333,B7Z6Z4_MYL6,Q9NQ38_3_SPINK5
2,0.861111111111,C9JC84_FGG,P00330_ADH1
2,0.833333333333,CON__P00761,P31947_SFN
2,0.861111111111,CON__P02768_1_ALB,P00330_ADH1
2,0.861111111111,P02769_BSA,P01009_SERPINA1
2,0.861111111111,P04406_GAPDH,P00330_ADH1
2,0.861111111111,P17858_PFKL,P00330_ADH1
2,0.861111111111,O00391_QSOX1,P00330_ADH1
2,0.861111111111,P00330_ADH1,P00738_HP
2,0.861111111111,P00330_ADH1,P01008_SERPINC1
2,0.861111111111,P00330_ADH1,P01023_A2M
2,0.861111111111,P00330_ADH1,P01042_2_KNG1
2,0.861111111111,P00330_ADH1,P01624
2,0.861111111111,P00330_ADH1,P02675_FGB
2,0.861111111111,P00330_ADH1,P02763_ORM1
2,0.861111111111,P00330_ADH1,P02787_TF
2,0.861111111111,P00330_ADH1,P02790_HPX
2,0.861111111111,P00330_ADH1,P04217_A1BG
2,0.861111111111,P00330_ADH1,P04899_4_GNAI2
2,0.861111111111,P00330_ADH1,P08246_ELANE
2,0.861111111111,P00330_ADH1,P08603_CFH
2,0.861111111111,P00330_ADH1,P09960_LTA4H
2,0.861111111111,P00330_ADH1,P16401_HIST1H1B
2,0.861111111111,P00330_ADH1,P16403_HIST1H1C
2,0.861111111111,P00330_ADH1,P22314_UBA1
2,0.861111111111,P00330_ADH1,P23280_CA6
2,0.861111111111,P00330_ADH1,P23284_PPIB
2,0.861111111111,P00330_ADH1,P23381_WARS
2,0.861111111111,P00330_ADH1,P24158_PRTN3
2,0.861111111111,P00330_ADH1,P31946_2
2,0.861111111111,P00330_ADH1,P52209_PGD
2,0.861111111111,P00330_ADH1,P63261_ACTG1
2,0.861111111111,P00330_ADH1,Q14974_KPNB1
2,0.861111111111,P00330_ADH1,A0A087WV23_SH3BGRL3
2,0.833333333333,P00924_ENO1,P05164_3_MPO
