source,target,weight
A0A087WV47_IGHG1,P18669_PGAM1,1
P18669_PGAM1,P07339_CTSD,4
A0A087WV47_IGHG1,P07339_CTSD,2
A0A087WV47_IGHG1,P05386_RPLP1,2
P05386_RPLP1,CON__P00761,80
A0A087WV47_IGHG1,CON__P00761,3
P05386_RPLP1,P14174_MIF,40
A0A087WV47_IGHG1,P14174_MIF,1
CON__P00761,P01009_SERPINA1,64
A0A087WV47_IGHG1,P01009_SERPINA1,1
CON__P00761,P02675_FGB,55
A0A087WV47_IGHG1,P02675_FGB,1
P07339_CTSD,CON__P08779_KRT16,13
A0A087WV47_IGHG1,CON__P08779_KRT16,1
Q14CN2_CLCA4,Q99879_HIST1H2BM,1
Q99879_HIST1H2BM,CON__P00761,81
Q14CN2_CLCA4,CON__P00761,6
Q14CN2_CLCA4,P05386_RPLP1,2
Q14CN2_CLCA4,P14174_MIF,1
Q14CN2_CLCA4,P01009_SERPINA1,1
CON__P00761,P22314_UBA1,55
Q14CN2_CLCA4,P22314_UBA1,1
Q14CN2_CLCA4,P02675_FGB,1
CON__P00761,P07339_CTSD,32
Q14CN2_CLCA4,P07339_CTSD,2
P07339_CTSD,O00764_PDXK,3
Q14CN2_CLCA4,O00764_PDXK,1
P23284_PPIB,Q99879_HIST1H2BM,3
P23284_PPIB,CON__P00761,3
Q99879_HIST1H2BM,P61586_RHOA,4
P23284_PPIB,P61586_RHOA,1
Q99879_HIST1H2BM,P14174_MIF,19
P23284_PPIB,P14174_MIF,2
P23284_PPIB,P05386_RPLP1,1
P23284_PPIB,CON__P35527_KRT9,1
CON__P35527_KRT9,Q9NZL9_MAT2B,24
P23284_PPIB,Q9NZL9_MAT2B,1
P23284_PPIB,P02675_FGB,1
CON__P00761,P62258_YWHAE,31
P23284_PPIB,P62258_YWHAE,1
P62937_PPIA,Q99879_HIST1H2BM,1
P62937_PPIA,CON__P00761,12
P62937_PPIA,P05386_RPLP1,2
P62937_PPIA,P14174_MIF,1
CON__P00761,Q08188_TGM3,42
P62937_PPIA,Q08188_TGM3,1
CON__P00761,P01008_SERPINC1,48
P62937_PPIA,P01008_SERPINC1,1
CON__P00761,B7Z6Z4_MYL6,16
P62937_PPIA,B7Z6Z4_MYL6,1
P62937_PPIA,P22314_UBA1,1
P62937_PPIA,P02675_FGB,1
P62937_PPIA,P62258_YWHAE,1
CON__P00761,P00924_ENO1,7
P62937_PPIA,P00924_ENO1,1
P62937_PPIA,P07339_CTSD,1
CON__P00761,P00330_ADH1,36
P62937_PPIA,P00330_ADH1,1
CON__P00761,A0A087WV23_SH3BGRL3,12
P62937_PPIA,A0A087WV23_SH3BGRL3,1
Q02413_DSG1,Q99879_HIST1H2BM,2
Q02413_DSG1,CON__P00761,8
Q02413_DSG1,P14174_MIF,2
Q02413_DSG1,P05386_RPLP1,2
Q02413_DSG1,P01009_SERPINA1,1
Q02413_DSG1,Q08188_TGM3,1
Q02413_DSG1,P01008_SERPINC1,1
Q02413_DSG1,P22314_UBA1,1
Q02413_DSG1,P02675_FGB,1
Q02413_DSG1,P62258_YWHAE,1
P12429_ANXA3,Q99879_HIST1H2BM,1
P12429_ANXA3,CON__P00761,5
P12429_ANXA3,P18669_PGAM1,1
P18669_PGAM1,P31946_2,4
P12429_ANXA3,P31946_2,2
P12429_ANXA3,CON__P35527_KRT9,1
P12429_ANXA3,Q9NZL9_MAT2B,2
P12429_ANXA3,Q08188_TGM3,1
P12429_ANXA3,P22314_UBA1,1
P12429_ANXA3,P02675_FGB,1
P12429_ANXA3,P62258_YWHAE,1
P12429_ANXA3,P68871_HBB,1
P68871_HBB,Q9NZL9_MAT2B,8
P12429_ANXA3,B7Z6Z4_MYL6,1
B7Z6Z4_MYL6,P31946_2,1
P63313_TMSB10,Q99879_HIST1H2BM,1
P63313_TMSB10,CON__P00761,3
P63313_TMSB10,P05386_RPLP1,2
P63313_TMSB10,P14174_MIF,1
P63313_TMSB10,P01009_SERPINA1,1
P15153_RAC2,Q99879_HIST1H2BM,1
P15153_RAC2,CON__P00761,5
P15153_RAC2,P05386_RPLP1,2
P05386_RPLP1,P16403_HIST1H1C,3
P15153_RAC2,P16403_HIST1H1C,2
CON__P00761,P01780,5
