*N,acc_tree,groups
2,1.0,P55786_NPEPPS,P01023_A2M
2,1.0,P01023_A2M,CON__P00761
2,1.0,P01023_A2M,P62937_PPIA
3,1.0,P55786_NPEPPS,P01023_A2M,P06331
3,1.0,P55786_NPEPPS,P01023_A2M,P01622
3,1.0,P55786_NPEPPS,P01023_A2M,CON__P00761
3,1.0,P55786_NPEPPS,P01023_A2M,P62937_PPIA
3,1.0,P01023_A2M,P06331,CON__P00761
3,1.0,P01023_A2M,P06331,P04264_KRT1
3,1.0,P01023_A2M,P06331,P62937_PPIA
3,1.0,P01023_A2M,P01622,CON__P00761
3,1.0,P01023_A2M,P01622,P62937_PPIA
3,1.0,P01023_A2M,CON__P00761,CON__P13645_KRT10
3,1.0,P01023_A2M,CON__P00761,P04264_KRT1
3,1.0,P01023_A2M,CON__P00761,P62937_PPIA
3,1.0,P01023_A2M,P04264_KRT1,P62937_PPIA
