*N,acc_tree,groups
2,0.888888888889,A0A087WZM2_RNASET2,P00738_HP
2,0.833333333333,A0A087WZM2_RNASET2,P23280_CA6
2,0.833333333333,B4E1Z4_CFB,P01036_CST4
2,0.833333333333,CON__P00761,P01023_A2M
2,0.833333333333,CON__P00761,P01714
2,0.861111111111,P02769_BSA,P0C0L5_C4B
2,0.888888888889,P02769_BSA,P01036_CST4
2,0.833333333333,P02769_BSA,P02787_TF
2,0.888888888889,P02769_BSA,P09228_CST2
2,0.833333333333,O75083_WDR1,P01036_CST4
2,0.888888888889,P0C0L5_C4B,P01036_CST4
2,0.833333333333,P09382_LGALS1,Q9NZL9_MAT2B
2,0.833333333333,P00330_ADH1,P09228_CST2
2,0.833333333333,P01009_SERPINA1,P04792_HSPB1
2,0.833333333333,P01717,Q8N4F0_BPIFB2
2,0.861111111111,P23280_CA6,P80748
