protein,protein frequency
A0A024R6X1_CES2    ,2                  
A0A075B6L0_IGLC3   ,0                  
A0A087WVW2_IGHG3   ,0                  
P06331             ,0                  
A0A075B6R9         ,0                  
A0A087WSX4         ,0                  
A0A087WT59_TTR     ,0                  
P19823_ITIH2       ,42                 
A0A087WX49_IGLL5   ,0                  
A0A0A0MS15         ,0                  
A0A087WV47_IGHG1   ,0                  
A0A087WW89         ,0                  
P06753_2_TPM3      ,2                  
Q9Y6R7_FCGBP       ,4                  
A0A087WZH9         ,0                  
A0A087WZM2_RNASET2 ,0                  
A0A087WZW8         ,0                  
A0A087X130         ,0                  
A0A075B6P5         ,252                
A0A087X2C0         ,0                  
Q06830_PRDX1       ,2                  
P13797_PLS3        ,0                  
A8K2U0_A2ML1       ,192                
P08670_VIM         ,18                 
P15153_RAC2        ,0                  
P09429_HMGB1       ,0                  
P62258_YWHAE       ,0                  
B4E1Z4_CFB         ,0                  
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,0                  
P06454_PTMA        ,0                  
P40925_3_MDH1      ,0                  
P51149_RAB7A       ,0                  
C9JC84_FGG         ,7                  
P19971_2_TYMP      ,0                  
Q9UG63_2_ABCF2     ,0                  
P30838_ALDH3A1     ,12                 
C9JV77_AHSG        ,0                  
O15145_ARPC3       ,0                  
CON__P00761        ,7                  
CON__P01966        ,0                  
CON__P02538_KRT6A  ,7                  
CON__P02768_1_ALB  ,6                  
P02769_BSA         ,0                  
CON__P08779_KRT16  ,0                  
CON__P13645_KRT10  ,0                  
CON__P13646_1      ,2                  
CON__P35527_KRT9   ,1                  
CON__P60712_ACTB   ,0                  
CON__Q3MHH8        ,1                  
O75083_WDR1        ,0                  
D6RF35_GC          ,2                  
E5RHG6_TBCA        ,0                  
E7EQR4_EZR         ,0                  
P02788_LTF         ,43                 
E7EX29_YWHAZ       ,1                  
P04406_GAPDH       ,0                  
P11413_2_G6PD      ,160                
P55786_NPEPPS      ,0                  
O00764_PDXK        ,0                  
P0C0L5_C4B         ,0                  
P22079_LPO         ,4                  
P61160_2_ACTR2     ,0                  
Q14697_2_GANAB     ,0                  
P09382_LGALS1      ,0                  
P17858_PFKL        ,0                  
P06576_ATP5B       ,0                  
Q9NZL9_MAT2B       ,17                 
J3KPA1_CRISP3      ,35                 
P04075_2_ALDOA     ,0                  
P68431_HIST1H3A    ,0                  
O00299_CLIC1       ,0                  
O00391_QSOX1       ,4                  
O15511_2_ARPC5     ,11                 
O43707_ACTN4       ,0                  
O60888_2_CUTA      ,0                  
O75594_PGLYRP1     ,14                 
O95274_LYPD3       ,2                  
O95336_PGLS        ,1                  
P00330_ADH1        ,0                  
P00338_3_LDHA      ,0                  
P00450_CP          ,0                  
P00489_GPB         ,0                  
P00491_PNP         ,0                  
P00558_PGK1        ,0                  
P00738_HP          ,0                  
P00924_ENO1        ,0                  
P01008_SERPINC1    ,0                  
P01009_SERPINA1    ,0                  
P01023_A2M         ,11                 
P01024_C3          ,18                 
P01033_TIMP1       ,42                 
P01034_CST3        ,13                 
P01036_CST4        ,10                 
P01037_CST1        ,3                  
P01042_2_KNG1      ,0                  
P01591_IGJ         ,78                 
P01593             ,0                  
P01598             ,0                  
P01616             ,0                  
P01622             ,2                  
P01623             ,0                  
P01624             ,0                  
P06314_IGKV4_1     ,0                  
P01714             ,6                  
P01717             ,0                  
P01763             ,0                  
P01767             ,0                  
P01779             ,0                  
P01780             ,252                
P01833_PIGR        ,49                 
P01859_IGHG2       ,15                 
P01861_IGHG4       ,0                  
P01876_IGHA1       ,4                  
P01877_IGHA2       ,0                  
P02647_APOA1       ,0                  
P02671_FGA         ,6                  
P02675_FGB         ,24                 
P02750_LRG1        ,0                  
P02753_RBP4        ,0                  
P02760_AMBP        ,0                  
P02763_ORM1        ,128                
P02787_TF          ,0                  
P02790_HPX         ,1                  
P02814_SMR3B       ,0                  
P03973_SLPI        ,42                 
P04004_VTN         ,0                  
P04040_CAT         ,12                 
P04080_CSTB        ,26                 
P04083_ANXA1       ,0                  
P04196_HRG         ,0                  
P04217_A1BG        ,0                  
P04264_KRT1        ,0                  
P04280_PRB1        ,0                  
P04745_AMY1A       ,0                  
P04792_HSPB1       ,38                 
P04899_4_GNAI2     ,0                  
P05109_S100A8      ,73                 
P05164_3_MPO       ,0                  
P05386_RPLP1       ,0                  
P06396_GSN         ,53                 
P06702_S100A9      ,43                 
P06733_ENO1        ,0                  
A0A0A0MTS2_GPI     ,0                  
P06870_KLK1        ,4                  
P07108_6_DBI       ,0                  
P07237_P4HB        ,3                  
P07339_CTSD        ,0                  
P07737_PFN1        ,13                 
P07858_CTSB        ,0                  
P07900_2_HSP90AA1  ,0                  
P07996_THBS1       ,10                 
P08107_HSPA1A      ,0                  
P08238_HSP90AB1    ,0                  
P08246_ELANE       ,0                  
P08311_CTSG        ,0                  
P08571_CD14        ,0                  
P08603_CFH         ,0                  
P09211_GSTP1       ,0                  
P09228_CST2        ,0                  
P09960_LTA4H       ,15                 
P0C0S8_HIST1H2AG   ,0                  
P10412_HIST1H1E    ,0                  
P10599_TXN         ,2                  
P10909_2_CLU       ,1                  
P11021_HSPA5       ,1                  
P11142_HSPA8       ,12                 
P11215_2_ITGAM     ,0                  
P12273_PIP         ,4                  
P12429_ANXA3       ,0                  
P12814_3_ACTN1     ,0                  
P13688_CEACAM1     ,0                  
P13796_LCP1        ,2                  
P14174_MIF         ,0                  
P14550_AKR1A1      ,0                  
