1,2,3,4,5,6,7
V2 ,V2 ,V2 ,V2 ,V2 ,V3 ,V2 
V3 ,V3 ,V3 ,V4 ,V3 ,V4 ,V3 
V5 ,V4 ,V4 ,V5 ,V4 ,V5 ,V4 
V6 ,V5 ,V5 ,V6 ,V5 ,V6 ,V6 
V7 ,V6 ,V6 ,V7 ,V7 ,V7 ,V7 
V8 ,V8 ,V7 ,V8 ,V8 ,V8 ,V8 
V9 ,V9 ,V9 ,V9 ,V9 ,V10,V9 
V10,V10,V10,V10,V10,V11,V11
V12,V11,V11,V11,V11,V12,V13
V13,V12,V12,V12,V12,V13,V14
V14,V13,V13,V13,V14,V14,V15
V15,V14,V15,V14,V15,V15,V16
V16,V16,V16,V15,V16,V16,V17
V17,V17,V17,V17,V17,V18,V18
V18,V18,V18,V18,V19,V19,V20
V19,V19,V19,V19,V20,V20,V21
V20,V21,V20,V20,V21,V21,V22
V21,V22,V21,V22,V22,V22,V23
V23,V23,V22,V23,V23,V23,V2 
